都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
222127,0000000001,静岡県,焼津市,市役所本館,シヤクショホンカン,静岡県焼津市本町2-16-32,,34.866918,138.323171,２階正面入口,(054)626-1139,,,管財課,,,,,有,,
222127,0000000002,静岡県,焼津市,市役所本館,シヤクショホンカン,静岡県焼津市本町2-16-32,,34.866918,138.323171,４階管財課,(054)626-1139,,,管財課,,,,,有,,
222127,0000000003,静岡県,焼津市,アトレ庁舎,アトレチョウシャ,静岡県焼津市本町5-6-1,,34.863094,138.320351,１階フロア,(054)626-2171,,,土木管理課,,,,,有,,
222127,0000000004,静岡県,焼津市,消防防災センター,ショウボウボウサイセンター,静岡県焼津市石津728-2,,34.843061,138.309570,１階受付,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000000005,静岡県,焼津市,総合福祉会館,ソウゴウフクシカイカン,静岡県焼津市大覚寺3-2-2,,34.875941,138.304625,１階正面入口,(054)627-2111,,,地域福祉課,,,,,有,,
222127,0000000006,静岡県,焼津市,アトレ庁舎,アトレチョウシャ,静岡県焼津市本町5-6-1,,34.863594,138.320851,１受付カウンター付近,(054)627-4111,,,健康づくり課,,,,,有,,
222127,0000000007,静岡県,焼津市,総合体育館,ソウゴウタイイクカン,静岡県焼津市保福島1050,,34.863392,138.281432,１階ロビー,(054)628-5740,,,スポーツ課,,,,,有,,
222127,0000000008,静岡県,焼津市,野球場,ヤキュウジョウ,静岡県焼津市保福島950-1,,34.864471,138.280055,１階医務室前,(054)628-5740,,,スポーツ課,,,,,有,,
222127,0000000009,静岡県,焼津市,陸上競技場,リクジョウキョウギジョウ,静岡県焼津市保福島950-2,,34.864207,138.278065,１階大会本部室入口,(054)628-5740,,,スポーツ課,,,,,有,,
222127,0000000010,静岡県,焼津市,市民体育館,シミンタイイクカン,静岡県焼津市焼津2-7-3,,34.864243,138.3109994,１階ロビー,(054)620-4301,,,スポーツ課,,,,,有,,
222127,0000000011,静岡県,焼津市,ﾃﾞｨｽｶﾊﾞﾘｰﾊﾟｰｸ焼津水夢館,ディスカバリーパークヤイヅスイムカン,静岡県焼津市田尻2968-1,,34.821132,138.330008,１階ロビー,(054)625-0801,,,スポーツ課,,,,,有,,
222127,0000000012,静岡県,焼津市,ﾃﾞｨｽｶﾊﾞﾘｰﾊﾟｰｸ焼津天文科学館,ディスカバリーパークヤイヅテンモンカガクカン,静岡県焼津市田尻2968-1,,34.822781,138.331608,１階ロビー,(054)625-0800,,,文化振興課,,,,,有,,
222127,0000000013,静岡県,焼津市,文化会館,ブンカカイカン,静岡県焼津市三ケ名1550,,34.864534,138.30517,１階事務室横,(054)627-3111,,,文化振興課,,,,,有,,
222127,0000000014,静岡県,焼津市,焼津地域交流センター,ヤイヅチイキコウリュウセンター,静岡県焼津市本町5-6-1,,34.863094,138.320351,３階事務室,(054)626-0888,,,スマイルライフ推進課,,,,,有,,
222127,0000000015,静岡県,焼津市,小川地域交流センター,コガワチイキコウリュウセンター,静岡県焼津市小川2724-1,,34.848955,138.313030,１階ロビー,(054)624-8191,,,スマイルライフ推進課,,,,,有,,
