都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,区分1,区分2,休業日,最大収容人数,バリアフリー対応,身障者用駐車場有り,車イスでの入店可能,車イストイレあり,多目的トイレあり,バリアフリーその他,バリアフリー詳細情報_他_備考,HP有無,焼津温泉,宿泊施設_部屋数,宿泊施設_温泉,タグ1,タグ2,タグ3,ふるさと納税
222127,2024000001,静岡県,焼津市,焼津港　金寿し本店,ヤイヅコウキンズシホンテン,,,静岡県焼津市中港4-1-12,,34.87377,138.324198,,,,11:00～14:00（LO.13:30）　17:00～21:00は10名様以上の予約のみ,,,"焼津に来たならまず鮪握り。15貫1,100円より。
鮪丼1,100円より。夜と土日祝日は要予約。
",,,普15台/大型2台,,,054-627-0933　,,,,https://kinzusi.com/,【掲載先】焼津マップ,お食事,すし,火曜・水曜　,70人,有,,〇,,,,車いす用の簡易スロープあり。車いすのまま食事ができる。,有,,,,,マグロ;カツオ;桜エビ;シラス;サバ,,
222127,2024000002,静岡県,焼津市,松乃寿司,マツノズシ,,,静岡県焼津市本町4-6-3,,34.86473,138.320935,,,,11:00～14:00(LO.13:30)/17:00～21:00（LO.20:30）,,,味にこだわり、シャリとネタ絶妙。近海物魚介類多く良心的な価格。一度は行ってみたい店（要予約）。,,,普10台/大型1台,,,054-627-6666,,,,https://yaizu-matsunosushi.com/,【掲載先】焼津マップ,お食事,すし,水曜,40人,有,,〇,,,,入口にスロープ有り。車いすのまま食事ができる。,有,,,,,マグロ;カツオ;桜エビ;シラス,,
222127,2024000003,静岡県,焼津市,勇喜寿司,ユウキズシ,,,静岡県焼津市西小川2-5-16,,34.860281,138.309899,,,,11:00～13:30 ※日曜ランチはなし/17:00～22:00（LO.21:30）,,,"地魚と産地直送の寿司ネタを吟味。
極上南鮪もご賞味下さい。
",,,普9台/大型可　,,,054-627-3739,,,,http://www.yuki-zushi.com/,【掲載先】焼津マップ,お食事,すし,月曜・第3日曜,32人,有,,〇,,,,段差なく店内に入れる。カウンター、テーブルとも車イスのまま食事ができる。,有,,,,,マグロ;カツオ;シラス,,
222127,2024000004,静岡県,焼津市,五金,ゴキン,,,静岡県焼津市柳新屋996-4,,34.860062,138.2918208,,,,11:30～LO.13:30 /16:30～LO.21:00,,,地元 焼津の魚だけでなく、旬のおいしい物にこだわり全国より仕入れをしています。お寿司はもちろんですが焼物、揚物、煮物などさまざまなお料理の楽しめるお店です。,,,普20台,,,054-627-5856,,,,https://gokin.jp/,【掲載先】焼津マップ,お食事,すし,年中無休,90人,有,,〇,,,,車いすでの来店はカウンター席のみ,有,,,,,マグロ;カツオ;サバ,,
222127,2024000005,静岡県,焼津市,焼津港のめし処 与作鮨,ヤイヅコウノメシドコロヨサクズシ,,,静岡県焼津市道原690-1,,34.835497,138.307914,,,,10:00～14:00 /17:00～20:00　※月曜・水曜・木曜は昼営業のみ,,,地元の方々に愛されてきた【与作鮨】が移転し復活！圧倒的なコストパフォーマンスで、寿司や多彩な海鮮料理をご提供します。,,,普5台、軽1台,,,054-660-5235,,,,https://sushi-yosaku.jimdosite.com/,【掲載先】焼津マップ,お食事,すし,火曜（祝日の場合は翌日休）,25人,有,,〇,,,,,有,,,,,マグロ;カツオ;シラス;サバ,,
222127,2024000006,静岡県,焼津市,寿司実本店,スシミホンテン,,,静岡県焼津市三和1167-2,,34.82795,138.297794,,,,11:00～14:00（LO.13:45）/17:00～21:00（LO.20:30）　　　　　,,,寿司ネタは天然の魚介類にこだわりを持つ店。昼定食各種、ふぐ料理(10月～3月)有り。,,,普20台/大型2台,,,054-624-3030,,,,http://www.sushimi-honten.com/,【掲載先】焼津マップ,お食事,すし,水曜,110人,有,,〇,〇,〇,,段差なく車イスのまま店内には入れる。テーブル席、座敷も車いすにて食事ができる。車イス対応トイレ有り。店内に手すりもあり。車いすの場合は先に電話をください。席を用意します。,有,,,,,マグロ;カツオ;桜エビ;シラス;サバ,,
222127,2024000007,静岡県,焼津市,食事処　かどや,ショクジドコロカドヤ,,,静岡県焼津市中港3-4-31,,34.87393,138.325808,,,,11:00～14:00（LO.13:30）/17:00～20:00（LO.19:30）,,,旧焼津港近（サンライフ焼津隣）。刺身類に自信を持つ漁師の町らしい店。気軽な食事処。さしみ定食など。 ,,,普15台/大型要予約,,,054-628-4951,,,,https://www.yaizu.gr.jp/spot/1349,【掲載先】焼津マップ,お食事,和食,月曜(祝日の場合は翌日休)・火曜(月２回),40人,有,,〇,,,,玄関前スロープ有り。トイレに手すり有り。車いすのお客様も対応できるテーブル有り。,無,,,,,マグロ;カツオ;シラス,,
222127,2024000008,静岡県,焼津市,ひとすき,ヒトスキ,,,静岡県焼津市栄町1-8-13,,34.87115,138.316868,,,,11:00～14:00/17:00～22:00,,,お一人様でも美味しいすき焼きと各種お鍋を楽しめます。グループでもお一人様ずつのお鍋でご用意。ご予約歓迎。,,,普2台,,,054-629-8011,,,,https://www.instagram.com/hitosuki8011/,【掲載先】焼津マップ,お食事,和食,不定休,20人,無,,,,,,,無,,,,,,,
222127,2024000009,静岡県,焼津市,磯料理　黒潮,イソリョウリクロシオ,,,静岡県焼津市栄町6-7-8,,34.869172,138.316828,,,,11:30～15:00（LO.14:00）/17:00～22:30（LO21:00）　日曜17:00～21:00（LO20:00）,,,"鮪・鰹料理（鮪の頭焼等）など魚料理が充実！昼定食1,000円、2,000円　夜定食2,420円～　カブト（大）8,250円（要予約）カブト（小）2,750円　",,,普20台/大型可,,,054-628-3918,,,,http://www.yaizu-kuroshio.com/,【掲載先】焼津マップ,お食事,和食,月曜(祝日の場合は翌日休),70人,有,,〇,,,,車いす入店可。車いす用トイレなし,有,,,,,マグロ;カツオ;桜エビ,,
222127,2024000010,静岡県,焼津市,旬魚や　魚いち,シュンギョヤウオイチ,,,静岡県焼津市栄町4-3-3,,34.869247,138.320254,,,,11:00～14:00　夜は予約のみ,,,焼津・小川港直送の鮪・鰹・地魚あります。海鮮丼・まぐろ丼・お刺身盛合せ定食各種定食・丼物あり。,,,普8台,,,054-628-3662,,,,https://www.yaizu.gr.jp/spot/2130,【掲載先】焼津マップ,お食事,和食,月曜(祝日の場合は翌日休),23人,無,,,,,,,無,,,,,マグロ;カツオ,,
