都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,区分1,区分2,休業日,最大収容人数,バリアフリー対応,身障者用駐車場有り,車イスでの入店可能,車イストイレあり,多目的トイレあり,バリアフリーその他,バリアフリー詳細情報_他_備考,HP有無,焼津温泉,宿泊施設_部屋数,宿泊施設_温泉,タグ1,タグ2,タグ3,ふるさと納税
222127,2024000056,静岡県,焼津市,焼津PORTERS,ヤイヅポーターズ,,,静岡県焼津市中港3‐1-16,,34.8731446,138.324673,,,,10:00～18:00,,,旧漁港にある、漁具倉庫をリノベーションした焼津の新たな交流拠点！フードコート、お仕事や会議のできるコワーキングスペースなど、今後も様々な機能を拡張します！,,,普20台,,,054-631-6016,,,,https://yaizuporters.jp/,【掲載先】焼津マップ,スポーツその他,その他施設,火曜,46人(1Fフードコート),有,,,,〇,,,有,,,,,,,
222127,2024000176,静岡県,焼津市,深層水体験施設アクアスやいづ,シンソウスイタイケンシセツアクアスヤイヅ,,,静岡県焼津市鰯ケ島136-26,,34.857051,138.326705,,,,火曜～金曜9:00～22:00/土曜9:00～21:00/日曜・祝日9:00～18:00,,,深層水や海泥・海藻などの海の恵みを使った健康法「タラソテラピー」とエアロビクス・ヨガ・ピラティスなど。,,,普162台/大型3台,,,054-621-0200,,,,https://aquas.blueearth.co.jp/,【掲載先】焼津マップ,スポーツその他,スポーツ施設,月曜,,有,〇,〇,〇,〇,,入口にスロープ有り。車いす対応トイレ有り。,有,,,,,,,
222127,2024000177,静岡県,焼津市,（有）焼津マリン,ヤイヅマリン,,,静岡県焼津市中港5-18-5,,34.875039,138.329049,,,,9:00～18:00,,,ボート免許をお持ちなら便利で安心、レンタルボートをどうぞ。海から見る、大崩海岸・富士山は最高ですよ。,,,ご相談ください,,,054-627-6171,,,,http://www.yaizumarine.co.jp/,【掲載先】焼津マップ,スポーツその他,その他施設,火曜,,無,,,,,,,有,,,,,,,
222127,2024000178,静岡県,焼津市,アンビア　ツアーズ,アンビアツアーズ,,,静岡県焼津市栄町2-2-21　アンビアパークビル２F,,34.871799,138.319502,,,,10:00～15:00,,,個人旅行から団体貸切まで旅の感動をお手伝い！こだわりの国内・海外旅行をご提案致します。,,,普236台,,,054-620-7731,,,,http://www.ambia.co.jp/,【掲載先】焼津マップ,スポーツその他,その他施設,水曜・土曜・日曜・祝日,,有,〇,〇,,,,エレベーター有。段差がなく車いすにて来店可能。,有,,,,,,,
222127,2024000179,静岡県,焼津市,PLAY BALL！CAFE,プレイボールカフェ,,,静岡県焼津市栄町4-２-６,,34.869721,138.320031,,,,10:00～18:00（日による）,,,カフェ＆コミュニティスペース。何かをプレイボールできる場を目指して、イベントやワークショップなども開催しています。,,,商店街共通駐車場,,,070-9235-0157,,,,https://playball.cafe/,【掲載先】焼津マップ,スポーツその他,その他施設,不定休,,無,,,,,,,有,,,,,,,
222127,2024000180,静岡県,焼津市,みんなの図書館さんかく,ミンナノトショカンサンカク,,,静岡県焼津市栄町3-3-33,,34.86984,138.320248,,,,通常14:00～18:00,,,駅前通り商店街の私設図書館。50以上ある一箱本棚には各オーナーが選書した本が並び、貸出もしています。,,,商店街の駐車場または付近の有料駐車場をご利用ください,,,090-6099-3313,,,,https://www.sancacu.com/,【掲載先】焼津マップ,スポーツその他,その他施設,不定休※開館日時はHPの営業カレンダーをご覧ください。,,無,,,,,,,有,,,,,,,
222127,2024000203,静岡県,焼津市,（一社）焼津市観光協会,ヤイヅシカンコウキョウカイ,,,静岡県焼津市栄町1-2-14,,34.871561,138.318783,,,,8:30～17:15,,,焼津駅南口より徒歩1分。市内の観光案内やレンタサイクル、荷物預かりなど。地場産品や温泉の素「やいづの湯」、やいちゃんグッズも販売中！,,,商店街の駐車場をご利用ください,,,054-626-6266,,,,,【掲載先】焼津マップ,スポーツその他,その他施設,年末年始,,有,,〇,,,,,有,,,,,,,
222127,2024900001,静岡県,焼津市,みsora 福祉タクシー,ミソラフクシタクシー,,,静岡県焼津市三右衛門新田216-8,,34.8482841,138.3019098,月火水木金,08:00,17:00,08:00～17:00 タクシーは事前予約制ですので、土日祝または時間外についてはご相談ください。,,運賃に別途介助料(700円～)をいただきます。,福祉タクシーをはじめ、移動のサービスを提供しています。外出先での付添が可能ですので、あなたのおでかけをトータル的にサポートします。,,,なし,,,054-659-6012,,,,https://misoranr2019.wixsite.com/website,一般募集で情報提供いただいた情報です。,スポーツその他,その他施設,日土祝,,有,,,,,,タクシー車両は、車椅子のまま乗降できます。同乗者様も1～2名乗車できます。,有,,,,,,,
222127,2024900002,静岡県,焼津市,スタジオ　ピクチャーズ,スタジオ　ピクチャーズ,,,静岡県焼津市小土1140-11,,34.8622808,138.2914511,日月火水金土祝,09:30,19:00,09:30～19:00 ,,,オシャレな自然光の溢れるフォトスタジオです。家族写真から就活写真、七五三、成人式、ベビーまで可愛い写真ならお任せ下さい。特に七五三衣装は着物、ドレス、スーツまで豊富に取り揃えております。,,,普通車6台,,,054-621-2558,,,,http://s-pictures6512.juno.bindsite.jp,一般募集で情報提供いただいた情報です。,スポーツその他,その他施設,木,,無,,,,,,,有,,,,,,,
222127,2024900030,静岡県,焼津市,SB石津接骨院,エスビーイシズセッコツイン,,,静岡県焼津市石津253-16,,34.838628,138.3107941,日月火木金土祝,08:30,20:00,08:30～20:00 土日祝　9:00～20:30,,,4/8新規オープン！癒しの空間を御提供！身も心もリラックスできるよう1人1人の患者様に寄り添って施術していきます！買い物帰り、仕事終わり、学校帰りに是非一度立ち寄ってみて下さい♪　,,,3台　隣併設店舗共有5台,,,054-639-5911,,,,https://sb.ishizu.com,一般募集で情報提供いただいた情報です。,スポーツその他,その他施設,水,,有,,,,,手摺あり,,有,,,,,,,
