ID,経度,緯度,名称
1,138.3052955,34.80107603,アンダーパス
2,138.3338713,34.89271088,アンダーパス
3,138.3256203,34.88684964,アンダーパス
4,138.3208965,34.88274501,アンダーパス
5,138.3189458,34.88134082,アンダーパス
6,138.3155476,34.8801133,アンダーパス
7,138.3107745,34.87894318,アンダーパス
8,138.3264449,34.88016511,アンダーパス
9,138.3229386,34.87463594,アンダーパス
10,138.3058208,34.87768313,アンダーパス
11,138.3019162,34.87657368,アンダーパス
12,138.2995698,34.87439335,アンダーパス
13,138.2999416,34.86727414,アンダーパス
14,138.3005308,34.86595728,アンダーパス
15,138.3006789,34.86455622,アンダーパス
16,138.3008488,34.86310748,アンダーパス
17,138.3009907,34.86127707,アンダーパス
18,138.3011253,34.85944665,アンダーパス
19,138.3170133,34.87174704,アンダーパス
20,138.3161417,34.8713319,アンダーパス
21,138.3146976,34.87064157,アンダーパス
22,138.3069265,34.86716617,アンダーパス
23,138.3169122,34.86903253,アンダーパス
24,138.2974778,34.86357777,アンダーパス
25,138.2928492,34.86298321,アンダーパス
26,138.2876699,34.86047458,アンダーパス
27,138.300772,34.85713601,アンダーパス
28,138.3002174,34.85556801,アンダーパス
29,138.299833,34.85418158,アンダーパス
30,138.2995098,34.85145476,アンダーパス
31,138.2997898,34.84694956,アンダーパス
32,138.2998989,34.84488415,アンダーパス
33,138.3000672,34.84227262,アンダーパス
34,138.3002434,34.84001173,アンダーパス
35,138.3004401,34.83641276,アンダーパス
36,138.3006468,34.83346737,アンダーパス
37,138.300921,34.83013582,アンダーパス
38,138.2996535,34.84948183,アンダーパス
39,138.2563493,34.81634033,アンダーパス
40,138.2533422,34.81362783,アンダーパス
41,138.2516832,34.81231259,アンダーパス
42,138.3101712,34.80634749,アンダーパス
43,138.3157668,34.8719721,アンダーパス
44,138.3043129,34.82334074,アンダーパス
45,138.3110115,34.8158856,アンダーパス
46,138.3110648,34.81024701,アンダーパス
47,138.3069046,34.82085472,アンダーパス
48,138.3012845,34.82789134,アンダーパス
