全国地方公共団体コード,法人番号,ID,地方公共団体名,イベント名,言語コード,イベント通称,サブタイトル,イベント名_カナ,イベント名_英語,コンテンツURL,状態,キーワード,タグ,対象となる産業,開催パターン,開始日,終了日,開始時間,終了時間,開始日時特記事項,所要時間,掲載開始日,掲載終了日,概要,説明,サブイベント,イベント種類,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催団体,関連組織,対象者,対象者備考,場所名称,集合（受付）場所,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,アクセス方法,駐車場情報,駐車場料金,駐輪場情報,Web開催,Web開催URL,ツール・環境,定員,定員備考,料金種別,決済種別,外国語対応,外国語対応備考,開催条件,参加申込終了日,参加申込終了時間,参加申込方法,申込開始日,申込開始時刻,申込URL,URL,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,画像,画像_ライセンス,備考,イベントジャンル
222127,1.00E+12,18268,焼津市,手話奉仕員養成講座【満員につき受付終了】,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00016.html,,ろう者;言語;手話奉仕員養成講座,,,,2026/4/2,2027/3/18,0:00,0:00,,,2026/5/13,2029/5/13,,この講座は、聴覚障害者の生活及び関連する法律・制度についての理解と認識を深めるとともに、コミュニケーションにおいて活用できる基礎的な手話の技能を身につけることを目標とした講座です。（厚生労働省策定奉仕員養成カリキュラムに準じて実施）,,,,受講料は無料。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,18269,焼津市,静岡県要約筆記者養成講座,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00017.html,,要約筆記;要約;手書き;パソコン;文字通訳,,,,2026/5/17,2026/11/29,10:00,15:00,,,2026/3/1,2026/11/29,,聴覚障害者へのコミュニケーション支援としてその場の話を文字で伝える要約筆記者を養成する講座が、静岡県主催で開催されます。難聴者等の多様なニーズに対応できる要約筆記を行うに必要な知識や技術が習得できます。,,,,受講料は無料。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,18314,焼津市,子育て教室,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00024.html,,,,,,2026/5/28,2027/3/5,13:30,14:30,,,2026/4/1,2029/3/27,,小児科の医師による講話を聴くことができます。病気や事故の予防、予防接種など、日々の子育てに役立つ情報が満載です。また、子育て教室終了後、親子ふれあい広場体験ツアー（希望者のみ）を開催します。,,,,無料,焼津市こども家庭センター（健康づくり課母子保健担当）,054-627-4115,,,,,どなたでも,,焼津市役所アトレ庁舎1階,,,,静岡県焼津市本町5丁目6-1,,,,,,34.86329188,138.3204005,,,,,,,,,15組（申込順）,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,18315,焼津市,離乳食教室,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00025.html,,,,,,2026/2/6,2027/3/19,13:30,15:00,,,2026/2/2,2037/12/31,,管理栄養士による離乳食初期の講座とミニ実習を開催します。,,,,無料,こども家庭センター（健康づくり課）,054-627-4115,,,,,対象者検索対象外,,焼津市役所アトレ庁舎1階 ,,,,静岡県焼津市本町5丁目6-1,,,,,,34.86285767,138.3203419,,,,,,,,,10組（申込順）,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,18770,焼津市,いちまるマルシェ,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00073.html,,いちまる;マルシェ,,,,2026/9/5,2026/9/6,9:00,15:00,,,2026/8/27,2026/12/31,,いちまる商店にて、地元の作り手の想いが詰まったおいしいものを直接販売するマルシェが開催されます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,18775,焼津市,不動産鑑定士による不動産無料相談会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00074.html,,,,,,2026/10/2,2026/10/2,10:00,16:00,,,2026/8/12,2026/10/3,,地価公示、地価調査をはじめ、不動産の鑑定評価制度について広く知ってもらうため、県下3会場で不動産鑑定士による無料相談会を開催します。,,,,,公益社団法人静岡県不動産鑑定士協会,054-253-6715,,,,,どなたでも,,東部会場 沼津労政会館2階第2会議室（沼津市高島本町1ー3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,18823,焼津市,陶芸・竹工芸合同作品展,JA,,,,,https://www.city.yaizu.lg.jp/event/info-togei-takekogei.html,,陶芸;竹工芸;作品;作品展,,,,2026/9/16,2026/9/20,13:00,12:00,,,2026/8/4,2029/8/4,,焼津市陶芸クラブ、竹工芸クラブが制作した作品の展示会を開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,18871,焼津市,パートタイム就職相談会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00082.html,,,,,,2026/9/7,2026/9/7,13:30,15:30,,,2026/9/2,2037/12/31,,パートタイム勤務の希望がある方を対象とした相談会です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19019,焼津市,焼津駅前通り商店街小石川ナイトマルシェ,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00109.html,,焼津駅前通り商店街;マルシェ;小石川,,,,2026/9/12,2026/9/12,16:00,19:00,,,2026/6/29,2026/9/13,,焼津駅前通り商店街（小石川めがね橋付近）で、小石川マルシェが開催されます。焼津市商店街連合会による出店や、音楽ステージが開催されます。ぜひ、焼津駅前通り商店街へお越しください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19062,焼津市,はなまるきっずパーク,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00116.html,,,,,,2026/9/27,2026/9/27,10:00,15:00,,,2026/7/15,2026/10/31,,ニジマスのつかみ取りをはじめ、楽しいイベント盛りだくさん。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19256,焼津市,やいづビーチクリーン大作戦,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00175.html,,,,,,2026/11/22,2026/11/22,8:30,9:30,,,2026/9/1,2037/12/31,,焼津市では、焼津市まちをきれいにする運動推進協議会の趣旨に基づき、日頃より慣れ親しんでいる海岸線美化のための市内海岸の一斉清掃を行っています。,,,,,環境課,054-626-1130,,,,,どなたでも,,浜当目海岸、石津海岸公園付近の海岸、原浜児童遊園地付近の海岸、ディスカバリーパーク焼津付近の海岸、一色清掃工場付近の海岸、藤守浜スポーツ広場付近の海岸、下小杉第2町内会海岸地区グラウンド付近の海岸、高新田第2町内会多目的広場付近の海岸、吉永ふれあい広場付近の海岸、利右衛門、吉永放水門付近の海岸、旧大井川河口野鳥園付近の海岸,,,,浜当目、石津、田尻、一色、藤守、下小杉、高新田、吉永、利右衛門、飯淵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他
222127,1.00E+12,19447,焼津市,健康見える化コーナーイベント！自律神経を整える体操,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00215.html,,,,,,2026/9/15,2026/9/15,10:00,11:00,,,2026/7/15,2029/7/15,,大井川庁舎健康見える化コーナーで、毎年大好評の自律神経を整える体操を行います。楽しく体操をしながら、自律神経を整えて腸の動きを活発にしましょう！お土産もご用意しています。,,,,無料,健康づくり課,054-627-4111,,,,,どなたでも,,焼津市役所大井川庁舎1階健康見える化コーナー,,,,静岡県焼津市宗高900,,,,,,34.80399447,138.2844581,,,,,,,,,20人（申込順）,,,,,,,,2026年9月3日（木曜日）午前9時30分から電話か窓口で,,,,,,,,,,,,,健康・福祉
222127,1.00E+12,19542,焼津市,ウェルネスビジネスイノベーションセミナー,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00235.html,,ウェルネス;セミナー,,,,2026/9/14,2026/9/14,13:30,16:30,,,2026/8/13,2026/9/19,,国内外のウェルネス市場の動向や地域・異業種連携の事例を紹介しながら、既存事業をウェルネスの視点で捉え直す方法を考えます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19657,焼津市,【市制75周年】魚（とと）フェス～焼津超大漁祭～,JA,,,,,https://www.city.yaizu.lg.jp/event/totofes2026.html,,魚フェス;ととフェス;トトフェス;焼津イベント,,,,2026/11/14,2026/11/15,10:00,15:00,,,2026/7/17,2029/7/17,,「さかなのまち焼津」の食や漁業、水産文化等の魅力を広く発信するイベント「魚（とと）フェス～焼津超大漁祭～」を開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19659,焼津市,令和8年度和田ぴよぴよこっこの会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00254.html,,,,,,2026/5/14,2027/3/11,10:00,11:30,,,2026/4/7,2037/12/31,,月に一度（原則第2木曜日）、和田地域交流センターふれあいルームで出張相談会を行っています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19662,焼津市,令和8年度大富ぴよぴよこっこの会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00255.html,,,,,,2026/5/22,2027/3/26,10:00,11:30,,,2026/4/7,2037/12/31,,月に一度（原則第4金曜日）、大富地域交流センター和室で出張相談会を行っています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19663,焼津市,双子・三つ子の会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00256.html,,,,,,2026/8/5,2027/3/10,0:00,0:00,,,2026/7/16,2029/7/16,,月に一度、総合福祉会館2階大広間で、「双子・三つ子の会」を行っています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19670,焼津市,令和8年度リトル赤ちゃんの会（第3期）,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00258.html,,,,,,2026/8/24,2026/9/11,10:00,11:30,,,2026/3/6,2029/3/2,,子育てをしていく中で感じる疑問や不安を話したり、これからの子育てに必要な知識を一緒に学んだりしませんか？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19786,焼津市,ガーデンパーティー&マルシェGOAT,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00283.html,,マルシェ;ガーデン;焼津;PORTERS;GOAT,,,,2026/9/27,2026/9/27,10:00,15:00,,,2026/8/28,2029/8/28,,「穏やかで人のやさしさを感じる最高なガーデンパーティーとマルシェ空間で素敵なひとときを。」をコンセプトに、地元や静岡県内のおいしいものや素敵な雑貨など様々な出店とライブペイントでアートを楽しんでいただくとともに、人と人とがつながるパーティー空間で、誰もが幸せな時間を過ごしていただきます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,19825,焼津市,【市制75周年】第51回焼津海上花火大会,JA,,,,,https://www.city.yaizu.lg.jp/event/fireflower.html,,焼津海上花火大会;花火大会;海上花火;花火,,,,2026/10/24,2026/10/24,0:00,0:00,,,2026/3/2,2029/3/2,,第51回焼津海上花火大会を開催します。本年は市制施行75周年にあたることから、記念大会として内容を検討しています。詳細は決定次第、焼津市観光協会ホームページ等でお知らせします。,,,,,焼津海上花火大会実行委員会（事務局：焼津市観光協会）,054-626-6266,,,,,どなたでも,,焼津漁港新港地区（打ち上げ場所：焼津外港南防波堤）,,,,静岡県焼津市城之腰付近,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,まつり・催し
222127,1.00E+12,19843,焼津市,初級・中級点字講習会,JA,,,,,https://www.city.yaizu.lg.jp/event/tennji2025.html,,点字;点字講習会,,,,2026/9/5,2027/1/9,9:30,11:00,,,2026/7/17,2029/7/17,,点字講習会（初級・中級）を開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
