都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,区分1,区分2,休業日,最大収容人数,バリアフリー対応,身障者用駐車場有り,車イスでの入店可能,車イストイレあり,多目的トイレあり,バリアフリーその他,バリアフリー詳細情報_他_備考,HP有無,焼津温泉,宿泊施設_部屋数,宿泊施設_温泉,タグ1,タグ2,タグ3,ふるさと納税
222127,2024000017,静岡県,焼津市,ヤマクニ水産焼津さかなセンター店,ヤマクニスイサンヤイヅサカナセンター,,,静岡県焼津市八楠4-13-7,,34.88019874,138.3028146,,,,9:00～15:00,,,【オープンデータ用】毎朝開いている干したてのひものを販売。「塩糀」に漬けて干す独自の製法で旨みの強いひものに仕上がっています。,,,焼津さかなセンターに準じる,,,054-626-8400,,,,https://www.yamakuni.info/,【掲載先】焼津マップ,お買い物,魚・水産加工品,隔週水曜,,有,〇,〇,〇,〇,,さかなセンターに準ずる,有,,,,,,,
222127,2024000058,静岡県,焼津市,焼津さかなセンター,ヤイヅサカナセンター,,,静岡県焼津市八楠4-13-7,,34.880115,138.303253,,,,9:00～17:00,,,東名焼津ＩＣ隣接。約50店舗の専門店。おいしい魚盛り沢山。水曜は臨時営業　場内半分の店舗で営業。,,,普600台/大型25台,,,054-628-1137,,,,https://www.sakana-center.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,元日・他施設点検臨時休業あり,,有,〇,〇,〇,〇,貸出用車イスあり,身障者用駐車場有。場内で入り口に段差無し身障者トイレ３ヶ所有。。,有,,,,,マグロ;カツオ;桜エビ;シラス;サバ,,
222127,2024000062,静岡県,焼津市,まぐろの魚二,マグロノウオニ,,,静岡県焼津市八楠4丁目13-7　焼津さかなセンター店,,34.88043731,138.3036209,,,,9:00～17:00,,,まぐろ専門として天然鮪を主にまぐろの希少部位も取り揃え、煮魚も豊富に店頭に並んでいます。,,,さかなセンターに準ずる,,,054-627-0222,,,,https://uoni.co.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,隔週水曜,,有,〇,〇,〇,〇,,,有,,,,,マグロ,,
222127,2024000063,静岡県,焼津市,（株）川直　焼津さかなセンター店,カワナオヤイヅサカナセンターテン,,,焼津市八楠4-13-7,,34.879721,138.303291,,,,9:00～17:00,,,鰹なまり節を主に水産加工食品を製造直売しています。つくりたてなまり節を是非ご賞味ください。,,,さかなセンターに準ずる,,,054-627-7928,,,,https://kawanao.shopinfo.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,隔週水曜,,有,〇,〇,〇,〇,,,有,,,,,カツオ,,
222127,2024000064,静岡県,焼津市,（株）川直　工場直売店,カワナオコウジョウチョクバイテン,,,静岡県焼津市城之腰15,,34.860247,138.323534,,,,7:00～17:00,,,鰹なまり節を主に水産加工食品を製造直売しています。つくりたてなまり節を是非ご賞味ください。,,,普2台,,,054-628-2306,,,,https://kawanao.shopinfo.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,不定休,,無,,,,,,,有,,,,,カツオ,,
222127,2024000065,静岡県,焼津市,焼津プリン商店,ヤイヅプリンショウテン,,,静岡県焼津市八楠4-13-7,,34.880498,138.303379,,,,9:00～17:00,,,"日本初！焼きプリンを中心としたプリン専門店。
選び抜かれた素材で、なめらかな触感の究極の焼きプリンが誕生！",,,さかなセンターに準じる,,,080-6165-9279,,,,https://www.yaizu-purin.com/,【掲載先】焼津マップ,お買い物,お菓子,水曜（さかなセンターのカレンダー参照）,,有,,〇,〇,,,焼津さかなセンター内の店舗です。　,有,,,,,,,
222127,2024000068,静岡県,焼津市,（株）ヤイヅツナコープ　焼津漁協直販店,ヤイヅギョキョウチョクハンテンヤイヅツナコープ,,,静岡県焼津市鰯ケ島136-26うみえ～る焼津１F,,34.856827,138.326573,,,,8:00～17:00,,,マグロ、カツオ、海産物お土産品。まぐろ丼及び冷凍品等販売。,,,普162台/大型3台,,,054-629-7393,,,,https://www.yaizu-gyokyo.or.jp/tunacoop/,【掲載先】焼津マップ;【その他連絡先】054-629-7388,お買い物,魚・水産加工品,月曜（祝日の場合は翌日休）・年始（1/1～3）,,有,〇,〇,〇,〇,, ※うみえ～るに準ずる,有,,,,,マグロ;カツオ,,
222127,2024000069,静岡県,焼津市,やいづとくさんプラザ,ヤイヅトクサンプラザ,,,静岡県焼津市鰯ヶ島136-26　うみえ～る焼津１F,,34.856844,138.326553,,,,9:00～17:30,,,毎日が焼津物産展のお店。焼津の特産品をはじめ、魅力あふれる商品をたくさん取り揃えています。,,,普162台/大型3台,,,054-626-1561,,,,https://www.yaizu-uonaka.or.jp/plaza/,【掲載先】焼津マップ,お買い物,その他買い物,なし　※年始休業,,有,〇,〇,〇,〇,,,無,,,,,,,
222127,2024000107,静岡県,焼津市,（有）丸生食品,マルセイショクヒン,,,静岡県焼津市中港3-5-1,,34.873334,138.326103,,,,13:00～15:30　（年末は要予約）,,,魚と卵がたっぷり入った栄養満点の伊達巻を、普段と違った贈り物やご自宅用にいかがでしょうか。,,,普3台,,,054-629-2068,,,,https://datemaki-marusei.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,年中無休,,無,,,,,,,有,,,,,,,
222127,2024000108,静岡県,焼津市,中源商店,ナカゲンショウテン,,,静岡県焼津市大栄町1-5-18,,34.872426,138.31274,,,,8:00～16:30,,,創業昭和31年。焼津名産つくだ煮を製造・販売しております。お気軽に足を運んで下さいませ。,,,普6台,,,054-628-4520,,,,https://nakagen-tsukudani.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・祝日,,無,,,,,,,有,,,,,マグロ;カツオ;サバ,,
222127,2024000109,静岡県,焼津市,カネイチ水産,カネイチスイサン,,,静岡県焼津市本町1-6-23,,34.869697,138.323213,,,,9:00～17:00,,,魚仲買人の店。鮮魚・冷凍水産品専門店。旧焼津港近く。,,,普8台/大型要相談,,,054-627-7596,,,,https://www.yaizu.gr.jp/spot/2843,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・8/14～16・年始,,有,,〇,,,,スロープ有り、店内段差無いが、水で滑る可能性有り。,無,,,,,マグロ;カツオ;桜エビ;シラス,,
222127,2024000110,静岡県,焼津市,（株）ＳＴＩサンヨー　（旧三洋食品）,エスティーアイサンヨー,,,静岡県焼津市焼津5-7-3,,34.861651,138.317749,,,,8:00～17:00,,,創業70年、日本で最も歴史あるプリンス印ツナ缶詰を焼津の自社工場直売所で販売中。お土産にも。,,,普５台,,,054-628-7211,,,,https://www.stisanyo.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,土曜・日曜・祝日（土曜は不定期営業）,,無,,,,,,,有,,,,,マグロ,,
222127,2024000111,静岡県,焼津市,（株）久星商店,キュウボシショウテン,,,静岡県焼津市焼津6-5-7,,34.864166,138.318596,,,,8:00～17:00,,,鰹生利節専門店。添加物を使用していないので安心安全な商品です。鰹塩辛、ハラモ、ヘソ味噌煮等販売。https://kyuboshi.com/,,,普2台,,,054-628-3279,,,,https://kyuboshi.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,火曜・土曜・休前日,,無,,,,,,※車椅子入店はOKだが工場前は砂利                 ,有,,,,,カツオ,,
222127,2024000112,静岡県,焼津市,（有）マルイ水産,マルイスイサン,,,静岡県焼津市北浜通78-1,,34.865083,138.324517,,,,8:30～17:30,,,焼津小川港で水揚げされた寒鯖を使ったオレンジ風味しめさば【無添加】直売所になります。地産水産品他あり。,,,普3台,,,054-621-1112,,,,https://maruiyaizu.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,火曜・土曜,,有,,〇,,,,出入り口、床がフラットで車イスでも移動できる。ドアが簡単にあけられる。,有,,,,,マグロ;サバ,,
222127,2024000113,静岡県,焼津市,金虎　昭和通り店,カネトラショウワドオリテン,,,静岡県焼津市本町4-12-10,,34.863879,138.321996,,,,9:30～18:00,,,"創業110年の老舗鰹節屋。鰹節の他に無添加だしパックなどを販売。高品質ドッグフードおさかな・鰹犬販売中！
",,,普4台,,,054-628-3252,,,,https://kanetora.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・祝日,,無,,,,,,,有,,,,,カツオ,,
222127,2024000114,静岡県,焼津市,岩清（IWASEI）,イワセイ,,,静岡県焼津市本町5-14-9,,34.861742,138.322629,,,,9:00～17:00,,,創業天保三年。鯖のことなら焼津の岩清。鯖寿司（要予約）・しめ鯖・鯖麹漬など取り揃えております。,,,普3台,,,054-629-2025,,,,https://www.iwasei.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・祝日・年末年始・その他臨時休業あり,,無,,,,,,,有,,,,,マグロ;カツオ;サバ,,
222127,2024000115,静岡県,焼津市,丸又直売店,マルマタチョクバイテン,,,静岡県焼津市東小川1-4-3,,34.860053,138.316147,,,,10:00～16:00,,,焼津名産の黒はんぺんをはじめ、ちくわ、揚物等、素材と水にこだわり、無添加でおいしい練り物をお届けします。,,,普5台,,,054-627-1161,,,,https://www.marumata.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,水曜・日曜,,有,,〇,,,,車いすでの来店可能。,有,,,,,,,
222127,2024000116,静岡県,焼津市,足平,アシヘイ,,,静岡県焼津市本町6-7-9,,34.860965,138.321003,,,,9:00～17:00,,,全国名品取り寄せに選ばれる江戸時代創業の練り製品老舗。手間をかけた味と品質で全国にファンが多い。https://www.ashihei.net/,,,普2台,,,054-628-3008,,,,https://www.ashihei.net/,【掲載先】焼津マップ,お買い物,魚・水産加工品,月曜・お盆・年始,,無,,,,,,入り口と店内がすぐ近くなので入れます。,有,,,,,,,
222127,2024000117,静岡県,焼津市,海味工房　ぬかや　斎藤商店,ウミアジコウボウヌカヤサイトウショウテン,,,静岡県焼津市城之腰109-1,,34.861496,138.32385,,,,10:30～17:00,,,無添加安心、味自慢の真鯛のかま味噌漬け・なまり節・鰹塩辛・佃煮等製造販売。魚河岸シャツも好評！,,,普2台,,,054-628-4239,,,,https://www.nukaya.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,不定休,,有,,〇,,,,１F店舗は車いす入店可。,有,,,,,マグロ;カツオ,,
222127,2024000118,静岡県,焼津市,だしの専門店　マルハチ村松　浜通り店,ダシノセンモンテンマルハチムラマツハマドオリテン,,,静岡県焼津市城之腰108-1-1,,34.861427,138.323764,,,,9:00～17:00,,,だし専門メーカーの直営店。焼津で昔から親しまれているだしの素「パウミー」等、こだわりの逸品多数。,,,普30台,,,054-628-7371,,,,http://www.08m.jp/,【掲載先】焼津マップ,お買い物,魚・水産加工品,日曜・会社指定休日あり,,無,,,,,,,有,,,,,カツオ,,
222127,2024000119,静岡県,焼津市,福一焼津流通センター,フクイチヤイヅリュウツウセンター,,,静岡県焼津市八楠170,,34.882281,138.299643,,,,5:30～17:00,,,東名焼津ICすぐ。マグロのオブジェが目印。船元直営「南まぐろの旨い店」！目利き厳選、鮮度抜群の魚。,,,普42台/大型応相談,,,054-628-2913,,,,https://fukuichi-world.jp/ryutu/,【掲載先】焼津マップ,お買い物,魚・水産加工品,年中無休,,有,〇,〇,〇,〇,,,有,,,,,マグロ;カツオ;桜エビ;シラス;サバ,,
222127,2024000120,静岡県,焼津市,漬魚専門店 魚魚toto,ツケギョセンモンテントト,,,静岡県焼津市八楠4-15-28,,34.879903,138.304026,,,,10:00～15:00,,,さわら西京漬、銀ダラ粕漬等御贈答用漬魚詰合せや、御家庭のおかず用規格外お買得商品を多数取り揃えております。さかなセンター入口横。,,,普2台,,,054-628-0781,,,,https://imaru-toto.com/,【掲載先】焼津マップ,お買い物,魚・水産加工品,水曜・日曜・祝日　　その他臨時休業あり,,無,,,,,,,有,,,,,マグロ;サバ,,
