都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,10932,静岡県,焼津市,田尻スポーツ広場,タジリスポーツヒロバ,,,静岡県焼津市田尻2058,,34.826354,138.322557,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】年末年始,,,,グラウンド
222127,10933,静岡県,焼津市,ディスカバリーパーク焼津温水プール（水夢館）,ディスカバリーパークヤイヅオンスイプールスイムカン,,,静岡県焼津市田尻2968-1,,34.82114277,138.3299794,,,,スポーツ課,,,,【開館時間】10:00～20:30 【休館日】月曜日,,,,プール
222127,10934,静岡県,焼津市,大井川体育館,オオイガワタイイクカン,,,静岡県焼津市中島1183,,34.79676822,138.2725785,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】毎週月曜日、年末年始,,,,体育館
222127,10935,静岡県,焼津市,大島体育館,オオジマタイイクカン,,,静岡県焼津市大島738,,34.822034,138.288261,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,体育館
222127,11011,静岡県,焼津市,漁船員テニス場,ギョセンインテニスジョウ,,,静岡県焼津市中港5-20,,34.873777,138.330001,,,,スポーツ課,,,,【開館時間】8:00～21:00 【休館日】毎週月曜日、年末年始,,,,テニス場
222127,11035,静岡県,焼津市,駿河湾深層水体験施設アクアスやいづ,スルガワンシンソウスイタイケンシセツアクアスヤイヅ,,,静岡県焼津市鰯ケ島136-26,,34.857099,138.326688,,,,漁港振興課,,,,【開館時間】9:00～22：00 【休館日】月曜日,,,,プール
222127,11067,静岡県,焼津市,焼津体育館,ヤイヅタイイクカン,,,静岡県焼津市焼津2-7-3,,34.86429997,138.3132022,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】毎週月曜日、年末年始,,,,体育館
222127,11068,静岡県,焼津市,勤労会館サンライフ焼津,キンロウカイカンサンライフヤイヅ,,,静岡県焼津市中港3-3-12,,34.873882,138.325299,,,,商工課,,,,【開館時間】午前９時　から　午後９時 【休館日】月曜日（祝日又は臨時休館日の場合は、翌日を旧館とする。）、　12月29日～翌月１月３日（年末年始）,,,,トレーニング室
222127,11156,静岡県,焼津市,総合体育館（シーガルドーム）,ソウゴウタイイクカンシーガルドーム,,,静岡県焼津市保福島1050,,34.863669,138.281142,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】毎週月曜日、年末年始,,,,体育館
222127,11157,静岡県,焼津市,総合グラウンドテニス場,ソウゴウグラウンドテニスジョウ,,,静岡県焼津市保福島1050,,34.864093,138.276653,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】毎週月曜日、年末年始,,,,テニス場
222127,11158,静岡県,焼津市,総合グラウンド陸上競技場,ソウゴウグラウンドリクジョウキョウギジョウ,,,静岡県焼津市保福島1050,,34.864262,138.278126,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】毎週月曜日、年末年始,,,,陸上競技場
222127,11159,静岡県,焼津市,総合グラウンド野球場,ソウゴウグラウンドヤキュウジョウ,,,静岡県焼津市小土1278-1,,34.864394,138.280031,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】毎週月曜日、年末年始,,,,野球場
222127,11167,静岡県,焼津市,飯淵グラウンド,ハブチグラウンド,,,静岡県焼津市飯淵1246,,34.782441,138.284493,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】年末年始,,,,グラウンド
222127,11168,静岡県,焼津市,相撲場,スモウジョウ,,,静岡県焼津市2-7-5,,34.864196,138.313565,,,,スポーツ課,,,,【開館時間】不定期,,,,相撲場
222127,109691,静岡県,焼津市,大井川河川敷運動公園 スポーツ広場,オオイガワカセンジキウンドウコウエン スポーツヒロバ,,,静岡県焼津市西島538,,34.797308,138.262672,,,,スポーツ課,,,,【開館時間】8:30～17:00 【休館日】年末年始,,,,グラウンド
222127,109692,静岡県,焼津市,大井川河川敷運動公園 陸上競技場,オオイガワカセンジキウンドウコウエン リクジョウキョウギジョウ,,,静岡県焼津市西島538,,34.794899,138.266229,,,,スポーツ課,,,,【開館時間】8:30～17:00 【休館日】年末年始,,,,陸上競技場
