original_name, display_name
SAFIELD000,リンクID
SAFIELD001,回答番号
SAFIELD002,受付番号
SAFIELD003,回答日時
SAFIELD004,申請状況
SAFIELD005,申請状況補足
SAFIELD006,申請方式
SAFIELD007,処理状況
SAFIELD008,処理状況補足
SAFIELD009,利用者番号
SAFIELD010,10:text
SAFIELD011,11:text
SAFIELD012,12:zipcode
SAFIELD013,12:prefecture
SAFIELD014,12:address1
SAFIELD015,12:address2
SAFIELD016,12:address3
SAFIELD017,緯度
SAFIELD018,経度
SAFIELD019,14:checkbox
SAFIELD020,15:time
SAFIELD021,16:time
SAFIELD022,17:text
SAFIELD023,18:text
SAFIELD024,19:text
SAFIELD025,44:text
SAFIELD026,20:text
SAFIELD027,32:select
SAFIELD028,21:tel
SAFIELD029,41:file
SAFIELD030,22:text
SAFIELD031,23:select
SAFIELD032,24:select
SAFIELD033,45:checkbox
SAFIELD034,45:text
SAFIELD035,28:text
