都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.874405,138.299574,スマホ使用,1,"https://www.google.com/maps?q=34.874405,138.299574"
静岡県,22,焼津市,212,34.868989,138.299607,スマホ使用,1,"https://www.google.com/maps?q=34.868989,138.299607"
静岡県,22,焼津市,212,34.881077,138.304687,スマホ使用,1,"https://www.google.com/maps?q=34.881077,138.304687"
静岡県,22,焼津市,212,34.858587,138.287134,スマホ使用,1,"https://www.google.com/maps?q=34.858587,138.287134"
静岡県,22,焼津市,212,34.866362,138.32019,スマホ使用,1,"https://www.google.com/maps?q=34.866362,138.32019"
静岡県,22,焼津市,212,34.86065,138.318759,スマホ使用,1,"https://www.google.com/maps?q=34.86065,138.318759"
静岡県,22,焼津市,212,34.840579,138.323418,スマホ使用,1,"https://www.google.com/maps?q=34.840579,138.323418"
静岡県,22,焼津市,212,34.866473,138.321035,スマホ使用,1,"https://www.google.com/maps?q=34.866473,138.321035"
静岡県,22,焼津市,212,34.867557,138.316999,スマホ使用,1,"https://www.google.com/maps?q=34.867557,138.316999"
静岡県,22,焼津市,212,34.817646,138.251282,スマホ使用,1,"https://www.google.com/maps?q=34.817646,138.251282"
静岡県,22,焼津市,212,34.789816,138.294976,スマホ使用,1,"https://www.google.com/maps?q=34.789816,138.294976"
静岡県,22,焼津市,212,34.864528,138.326139,スマホ使用,1,"https://www.google.com/maps?q=34.864528,138.326139"
静岡県,22,焼津市,212,34.829634,138.334933,スマホ使用,1,"https://www.google.com/maps?q=34.829634,138.334933"
静岡県,22,焼津市,212,34.81101799,138.321115,スマホ使用,1,"https://www.google.com/maps?q=34.81101799,138.321115"
静岡県,22,焼津市,212,34.834794,138.306887,スマホ使用,1,"https://www.google.com/maps?q=34.834794,138.30688699"
静岡県,22,焼津市,212,34.878028,138.310785,スマホ使用,1,"https://www.google.com/maps?q=34.878028,138.310785"
静岡県,22,焼津市,212,34.874992,138.302538,スマホ使用,1,"https://www.google.com/maps?q=34.874992,138.302538"
静岡県,22,焼津市,212,34.826386,138.295927,スマホ使用,1,"https://www.google.com/maps?q=34.826386,138.295927"
静岡県,22,焼津市,212,34.861403,138.322461,スマホ使用,1,"https://www.google.com/maps?q=34.861403,138.322461"
静岡県,22,焼津市,212,34.852029,138.325093,スマホ使用,1,"https://www.google.com/maps?q=34.852029,138.325093"
静岡県,22,焼津市,212,34.863134,138.322015,スマホ使用,1,"https://www.google.com/maps?q=34.863134,138.322015"
静岡県,22,焼津市,212,34.863942,138.312646,スマホ使用,1,"https://www.google.com/maps?q=34.863942,138.312646"
静岡県,22,焼津市,212,34.89598,138.334445,スマホ使用,1,"https://www.google.com/maps?q=34.89598,138.33444499"
静岡県,22,焼津市,212,34.852535,138.308569,スマホ使用,2,"https://www.google.com/maps?q=34.852535,138.308569"
静岡県,22,焼津市,212,34.87353,138.314941,スマホ使用,1,"https://www.google.com/maps?q=34.87353,138.314941"
静岡県,22,焼津市,212,34.85913999,138.281328,スマホ使用,1,"https://www.google.com/maps?q=34.85913999,138.281328"
静岡県,22,焼津市,212,34.841186,138.308042,スマホ使用,1,"https://www.google.com/maps?q=34.841186,138.308042"
静岡県,22,焼津市,212,34.861043,138.282865,スマホ使用,1,"https://www.google.com/maps?q=34.861043,138.28286499"
静岡県,22,焼津市,212,34.861725,138.285163,スマホ使用,1,"https://www.google.com/maps?q=34.861725,138.285163"
静岡県,22,焼津市,212,34.862449,138.290088,スマホ使用,1,"https://www.google.com/maps?q=34.862449,138.290088"
静岡県,22,焼津市,212,34.86782,138.320132,スマホ使用,1,"https://www.google.com/maps?q=34.86782,138.320132"
静岡県,22,焼津市,212,34.866901,138.319699,スマホ使用,1,"https://www.google.com/maps?q=34.866901,138.319699"
静岡県,22,焼津市,212,34.86547199,138.317739,スマホ使用,1,"https://www.google.com/maps?q=34.86547199,138.31773899"
静岡県,22,焼津市,212,34.842574,138.306402,スマホ使用,1,"https://www.google.com/maps?q=34.842574,138.306402"
静岡県,22,焼津市,212,34.808402,138.2746,スマホ使用,1,"https://www.google.com/maps?q=34.808402,138.2746"
静岡県,22,焼津市,212,34.869911,138.323634,スマホ使用,1,"https://www.google.com/maps?q=34.869911,138.323634"
静岡県,22,焼津市,212,34.795408,138.290365,スマホ使用,1,"https://www.google.com/maps?q=34.795408,138.290365"
静岡県,22,焼津市,212,34.796991,138.295101,スマホ使用,1,"https://www.google.com/maps?q=34.796991,138.29510099"
静岡県,22,焼津市,212,34.847721,138.312594,スマホ使用,1,"https://www.google.com/maps?q=34.847721,138.31259399"
静岡県,22,焼津市,212,34.846062,138.314878,スマホ使用,1,"https://www.google.com/maps?q=34.846062,138.314878"
静岡県,22,焼津市,212,34.79107299,138.298403,スマホ使用,1,"https://www.google.com/maps?q=34.79107299,138.298403"
静岡県,22,焼津市,212,34.827478,138.322591,スマホ使用,1,"https://www.google.com/maps?q=34.827478,138.32259099"
静岡県,22,焼津市,212,34.879196,138.308145,スマホ使用,1,"https://www.google.com/maps?q=34.879196,138.308145"
静岡県,22,焼津市,212,34.82789799,138.325396,スマホ使用,1,"https://www.google.com/maps?q=34.82789799,138.325396"
静岡県,22,焼津市,212,34.855924,138.325542,スマホ使用,2,"https://www.google.com/maps?q=34.855924,138.325542"
静岡県,22,焼津市,212,34.847707,138.316257,スマホ使用,1,"https://www.google.com/maps?q=34.847707,138.316257"
静岡県,22,焼津市,212,34.848838,138.316102,スマホ使用,1,"https://www.google.com/maps?q=34.848838,138.316102"
静岡県,22,焼津市,212,34.849051,138.31867,スマホ使用,1,"https://www.google.com/maps?q=34.849051,138.31867"
静岡県,22,焼津市,212,34.871994,138.324051,スマホ使用,1,"https://www.google.com/maps?q=34.871994,138.324051"
静岡県,22,焼津市,212,34.866376,138.321383,スマホ使用,1,"https://www.google.com/maps?q=34.866376,138.321383"
静岡県,22,焼津市,212,34.859248,138.313217,スマホ使用,1,"https://www.google.com/maps?q=34.859248,138.313217"
静岡県,22,焼津市,212,34.873659,138.322158,スマホ使用,1,"https://www.google.com/maps?q=34.873659,138.322158"
静岡県,22,焼津市,212,34.873923,138.323736,スマホ使用,1,"https://www.google.com/maps?q=34.873923,138.323736"
静岡県,22,焼津市,212,34.842899,138.32223,スマホ使用,1,"https://www.google.com/maps?q=34.842899,138.32223"
静岡県,22,焼津市,212,34.850871,138.323711,スマホ使用,1,"https://www.google.com/maps?q=34.850871,138.323711"
静岡県,22,焼津市,212,34.86685,138.325867,スマホ使用,1,"https://www.google.com/maps?q=34.86685,138.32586699"
静岡県,22,焼津市,212,34.852988,138.317306,スマホ使用,1,"https://www.google.com/maps?q=34.852988,138.317306"
静岡県,22,焼津市,212,34.84263399,138.29376,スマホ使用,1,"https://www.google.com/maps?q=34.84263399,138.29376"
静岡県,22,焼津市,212,34.863597,138.318908,スマホ使用,1,"https://www.google.com/maps?q=34.863597,138.318908"
静岡県,22,焼津市,212,34.866497,138.320233,スマホ使用,1,"https://www.google.com/maps?q=34.866497,138.320233"
静岡県,22,焼津市,212,34.834812,138.307375,スマホ使用,1,"https://www.google.com/maps?q=34.834812,138.307375"
静岡県,22,焼津市,212,34.868985,138.2887,スマホ使用,1,"https://www.google.com/maps?q=34.868985,138.2887"
静岡県,22,焼津市,212,34.863701,138.282724,スマホ使用,1,"https://www.google.com/maps?q=34.863701,138.282724"
静岡県,22,焼津市,212,34.858814,138.283162,スマホ使用,1,"https://www.google.com/maps?q=34.858814,138.283162"
静岡県,22,焼津市,212,34.866459,138.282428,スマホ使用,1,"https://www.google.com/maps?q=34.866459,138.282428"
静岡県,22,焼津市,212,34.865461,138.283116,スマホ使用,1,"https://www.google.com/maps?q=34.865461,138.283116"
静岡県,22,焼津市,212,34.861438,138.282743,スマホ使用,1,"https://www.google.com/maps?q=34.861438,138.282743"
静岡県,22,焼津市,212,34.862279,138.286994,スマホ使用,1,"https://www.google.com/maps?q=34.862279,138.286994"
静岡県,22,焼津市,212,34.867789,138.286452,スマホ使用,1,"https://www.google.com/maps?q=34.867789,138.286452"
静岡県,22,焼津市,212,34.858376,138.283484,スマホ使用,1,"https://www.google.com/maps?q=34.858376,138.28348399"
静岡県,22,焼津市,212,34.843262,138.309336,スマホ使用,1,"https://www.google.com/maps?q=34.843262,138.309336"
静岡県,22,焼津市,212,34.84728,138.313551,スマホ使用,1,"https://www.google.com/maps?q=34.84728,138.31355099"
静岡県,22,焼津市,212,34.846879,138.296831,スマホ使用,1,"https://www.google.com/maps?q=34.846879,138.296831"
静岡県,22,焼津市,212,34.846924,138.291482,スマホ使用,1,"https://www.google.com/maps?q=34.846924,138.291482"
静岡県,22,焼津市,212,34.810603,138.31102,スマホ使用,1,"https://www.google.com/maps?q=34.810603,138.31102"
静岡県,22,焼津市,212,34.84707199,138.300561,スマホ使用,1,"https://www.google.com/maps?q=34.84707199,138.30056099"
静岡県,22,焼津市,212,34.791372,138.304712,スマホ使用,1,"https://www.google.com/maps?q=34.791372,138.304712"
静岡県,22,焼津市,212,34.796339,138.309362,スマホ使用,1,"https://www.google.com/maps?q=34.796339,138.309362"
静岡県,22,焼津市,212,34.83193399,138.335135,スマホ使用,1,"https://www.google.com/maps?q=34.83193399,138.335135"
静岡県,22,焼津市,212,34.866363,138.323676,スマホ使用,1,"https://www.google.com/maps?q=34.866363,138.323676"
静岡県,22,焼津市,212,34.852565,138.324167,スマホ使用,1,"https://www.google.com/maps?q=34.852565,138.32416699"
静岡県,22,焼津市,212,34.808889,138.3192,スマホ使用,1,"https://www.google.com/maps?q=34.808889,138.3192"
静岡県,22,焼津市,212,34.857795,138.324449,スマホ使用,1,"https://www.google.com/maps?q=34.857795,138.32444899"
静岡県,22,焼津市,212,34.846168,138.32199,スマホ使用,1,"https://www.google.com/maps?q=34.846168,138.32199"
静岡県,22,焼津市,212,34.871923,138.323072,スマホ使用,1,"https://www.google.com/maps?q=34.871923,138.323072"
静岡県,22,焼津市,212,34.86407,138.319576,スマホ使用,1,"https://www.google.com/maps?q=34.86407,138.319576"
静岡県,22,焼津市,212,34.847504,138.312582,スマホ使用,1,"https://www.google.com/maps?q=34.847504,138.312582"
静岡県,22,焼津市,212,34.78445,138.294314,スマホ使用,1,"https://www.google.com/maps?q=34.78445,138.294314"
静岡県,22,焼津市,212,34.86833399,138.313659,スマホ使用,1,"https://www.google.com/maps?q=34.86833399,138.313659"
静岡県,22,焼津市,212,34.868771,138.301574,スマホ使用,1,"https://www.google.com/maps?q=34.868771,138.30157399"
静岡県,22,焼津市,212,34.848261,138.309187,スマホ使用,1,"https://www.google.com/maps?q=34.848261,138.309187"
静岡県,22,焼津市,212,34.870734,138.311834,スマホ使用,1,"https://www.google.com/maps?q=34.870734,138.311834"
静岡県,22,焼津市,212,34.819279,138.261419,スマホ使用,1,"https://www.google.com/maps?q=34.819279,138.26141899"
静岡県,22,焼津市,212,34.807995,138.287545,スマホ使用,1,"https://www.google.com/maps?q=34.807995,138.287545"
静岡県,22,焼津市,212,34.842486,138.305356,スマホ使用,1,"https://www.google.com/maps?q=34.842486,138.30535599"
静岡県,22,焼津市,212,34.86662599,138.30038,スマホ使用,1,"https://www.google.com/maps?q=34.86662599,138.30037999"
静岡県,22,焼津市,212,34.879562,138.313045,スマホ使用,1,"https://www.google.com/maps?q=34.879562,138.31304499"
静岡県,22,焼津市,212,34.863954,138.308439,スマホ使用,1,"https://www.google.com/maps?q=34.863954,138.308439"
静岡県,22,焼津市,212,34.791454,138.293471,スマホ使用,1,"https://www.google.com/maps?q=34.791454,138.293471"
静岡県,22,焼津市,212,34.86733199,138.306889,スマホ使用,1,"https://www.google.com/maps?q=34.86733199,138.306889"
静岡県,22,焼津市,212,34.802951,138.281096,スマホ使用,1,"https://www.google.com/maps?q=34.802951,138.281096"
静岡県,22,焼津市,212,34.832574,138.325097,スマホ使用,1,"https://www.google.com/maps?q=34.832574,138.325097"
静岡県,22,焼津市,212,34.870659,138.29089,スマホ使用,1,"https://www.google.com/maps?q=34.870659,138.29088999"
静岡県,22,焼津市,212,34.870767,138.307819,スマホ使用,1,"https://www.google.com/maps?q=34.870767,138.307819"
静岡県,22,焼津市,212,34.8789,138.310409,スマホ使用,1,"https://www.google.com/maps?q=34.8789,138.310409"
静岡県,22,焼津市,212,34.870871,138.32364,スマホ使用,1,"https://www.google.com/maps?q=34.870871,138.32364"
静岡県,22,焼津市,212,34.860085,138.281302,スマホ使用,1,"https://www.google.com/maps?q=34.860085,138.281302"
静岡県,22,焼津市,212,34.86406499,138.295535,スマホ使用,1,"https://www.google.com/maps?q=34.86406499,138.295535"
静岡県,22,焼津市,212,34.864674,138.300605,スマホ使用,1,"https://www.google.com/maps?q=34.864674,138.30060499"
静岡県,22,焼津市,212,34.868459,138.299671,スマホ使用,1,"https://www.google.com/maps?q=34.868459,138.29967099"
静岡県,22,焼津市,212,34.811086,138.311056,スマホ使用,1,"https://www.google.com/maps?q=34.811086,138.311056"
静岡県,22,焼津市,212,34.874868,138.29882,スマホ使用,1,"https://www.google.com/maps?q=34.874868,138.29882"
静岡県,22,焼津市,212,34.869524,138.321439,スマホ使用,1,"https://www.google.com/maps?q=34.869524,138.321439"
静岡県,22,焼津市,212,34.869483,138.320065,スマホ使用,1,"https://www.google.com/maps?q=34.869483,138.320065"
静岡県,22,焼津市,212,34.87031799,138.318027,スマホ使用,1,"https://www.google.com/maps?q=34.87031799,138.318027"
静岡県,22,焼津市,212,34.812511,138.322578,スマホ使用,1,"https://www.google.com/maps?q=34.812511,138.322578"
静岡県,22,焼津市,212,34.807664,138.287918,スマホ使用,1,"https://www.google.com/maps?q=34.807664,138.287918"
静岡県,22,焼津市,212,34.80329299,138.289805,スマホ使用,1,"https://www.google.com/maps?q=34.80329299,138.289805"
静岡県,22,焼津市,212,34.798856,138.293553,スマホ使用,1,"https://www.google.com/maps?q=34.798856,138.293553"
静岡県,22,焼津市,212,34.826462,138.315557,スマホ使用,1,"https://www.google.com/maps?q=34.826462,138.315557"
静岡県,22,焼津市,212,34.8283,138.325295,スマホ使用,1,"https://www.google.com/maps?q=34.8283,138.325295"
静岡県,22,焼津市,212,34.867832,138.323072,スマホ使用,1,"https://www.google.com/maps?q=34.867832,138.323072"
静岡県,22,焼津市,212,34.872667,138.323904,スマホ使用,2,"https://www.google.com/maps?q=34.872667,138.323904"
静岡県,22,焼津市,212,34.873362,138.315598,スマホ使用,1,"https://www.google.com/maps?q=34.873362,138.315598"
静岡県,22,焼津市,212,34.868043,138.320929,スマホ使用,1,"https://www.google.com/maps?q=34.868043,138.320929"
静岡県,22,焼津市,212,34.86392699,138.313075,スマホ使用,1,"https://www.google.com/maps?q=34.86392699,138.313075"
静岡県,22,焼津市,212,34.86401399,138.30922,スマホ使用,1,"https://www.google.com/maps?q=34.86401399,138.30922"
静岡県,22,焼津市,212,34.82944899,138.300308,スマホ使用,1,"https://www.google.com/maps?q=34.82944899,138.300308"
静岡県,22,焼津市,212,34.873241,138.315204,スマホ使用,1,"https://www.google.com/maps?q=34.873241,138.315204"
静岡県,22,焼津市,212,34.848898,138.316738,スマホ使用,1,"https://www.google.com/maps?q=34.848898,138.31673799"
静岡県,22,焼津市,212,34.869708,138.321943,スマホ使用,1,"https://www.google.com/maps?q=34.869708,138.321943"
静岡県,22,焼津市,212,34.851446,138.324679,スマホ使用,1,"https://www.google.com/maps?q=34.851446,138.324679"
静岡県,22,焼津市,212,34.857729,138.326203,スマホ使用,1,"https://www.google.com/maps?q=34.857729,138.326203"
静岡県,22,焼津市,212,34.87027,138.322229,スマホ使用,1,"https://www.google.com/maps?q=34.87027,138.322229"
静岡県,22,焼津市,212,34.89771799,138.34629,スマホ使用,1,"https://www.google.com/maps?q=34.89771799,138.34629"
静岡県,22,焼津市,212,34.88085,138.317927,スマホ使用,1,"https://www.google.com/maps?q=34.88085,138.317927"
静岡県,22,焼津市,212,34.874693,138.299252,スマホ使用,1,"https://www.google.com/maps?q=34.874693,138.299252"
静岡県,22,焼津市,212,34.874401,138.302824,スマホ使用,1,"https://www.google.com/maps?q=34.874401,138.30282399"
静岡県,22,焼津市,212,34.867181,138.326696,スマホ使用,1,"https://www.google.com/maps?q=34.867181,138.326696"
静岡県,22,焼津市,212,34.832865,138.333979,スマホ使用,1,"https://www.google.com/maps?q=34.832865,138.333979"
静岡県,22,焼津市,212,34.866349,138.323046,スマホ使用,1,"https://www.google.com/maps?q=34.866349,138.323046"
静岡県,22,焼津市,212,34.866252,138.321815,スマホ使用,1,"https://www.google.com/maps?q=34.866252,138.32181499"
静岡県,22,焼津市,212,34.86730699,138.31305,スマホ使用,1,"https://www.google.com/maps?q=34.86730699,138.31305"
静岡県,22,焼津市,212,34.863857,138.307917,スマホ使用,1,"https://www.google.com/maps?q=34.863857,138.307917"
静岡県,22,焼津市,212,34.861329,138.305654,スマホ使用,1,"https://www.google.com/maps?q=34.861329,138.305654"
静岡県,22,焼津市,212,34.859521,138.301823,スマホ使用,1,"https://www.google.com/maps?q=34.859521,138.301823"
静岡県,22,焼津市,212,34.855991,138.30035,スマホ使用,1,"https://www.google.com/maps?q=34.855991,138.30035"
静岡県,22,焼津市,212,34.798963,138.274194,スマホ使用,1,"https://www.google.com/maps?q=34.798963,138.274194"
静岡県,22,焼津市,212,34.831714,138.325172,スマホ使用,1,"https://www.google.com/maps?q=34.831714,138.325172"
静岡県,22,焼津市,212,34.847412,138.293315,スマホ使用,1,"https://www.google.com/maps?q=34.847412,138.293315"
静岡県,22,焼津市,212,34.848129,138.307668,スマホ使用,1,"https://www.google.com/maps?q=34.848129,138.307668"
静岡県,22,焼津市,212,34.85210099,138.308477,スマホ使用,1,"https://www.google.com/maps?q=34.85210099,138.308477"
静岡県,22,焼津市,212,34.87328,138.315332,スマホ使用,1,"https://www.google.com/maps?q=34.87328,138.315332"
静岡県,22,焼津市,212,34.84264499,138.300037,スマホ使用,1,"https://www.google.com/maps?q=34.84264499,138.300037"
静岡県,22,焼津市,212,34.837187,138.300375,スマホ使用,1,"https://www.google.com/maps?q=34.837187,138.300375"
静岡県,22,焼津市,212,34.834862,138.300543,スマホ使用,1,"https://www.google.com/maps?q=34.834862,138.300543"
静岡県,22,焼津市,212,34.833304,138.297517,スマホ使用,1,"https://www.google.com/maps?q=34.833304,138.297517"
静岡県,22,焼津市,212,34.875352,138.29899,スマホ使用,1,"https://www.google.com/maps?q=34.875352,138.29899"
静岡県,22,焼津市,212,34.86744199,138.324507,スマホ使用,1,"https://www.google.com/maps?q=34.86744199,138.324507"
静岡県,22,焼津市,212,34.842213,138.30007,スマホ使用,1,"https://www.google.com/maps?q=34.842213,138.30007"
静岡県,22,焼津市,212,34.863334,138.301765,スマホ使用,1,"https://www.google.com/maps?q=34.863334,138.30176499"
静岡県,22,焼津市,212,34.863725,138.307359,スマホ使用,1,"https://www.google.com/maps?q=34.863725,138.307359"
静岡県,22,焼津市,212,34.863325,138.314401,スマホ使用,1,"https://www.google.com/maps?q=34.863325,138.314401"
静岡県,22,焼津市,212,34.831259,138.310492,スマホ使用,1,"https://www.google.com/maps?q=34.831259,138.310492"
静岡県,22,焼津市,212,34.837522,138.317601,スマホ使用,1,"https://www.google.com/maps?q=34.837522,138.317601"
静岡県,22,焼津市,212,34.855858,138.324484,スマホ使用,1,"https://www.google.com/maps?q=34.855858,138.324484"
静岡県,22,焼津市,212,34.866414,138.325662,スマホ使用,1,"https://www.google.com/maps?q=34.866414,138.325662"
静岡県,22,焼津市,212,34.86004599,138.281097,スマホ使用,3,"https://www.google.com/maps?q=34.86004599,138.28109699"
静岡県,22,焼津市,212,34.8686,138.297978,スマホ使用,1,"https://www.google.com/maps?q=34.8686,138.297978"
静岡県,22,焼津市,212,34.875936,138.304151,スマホ使用,1,"https://www.google.com/maps?q=34.875936,138.30415099"
静岡県,22,焼津市,212,34.849866,138.289509,スマホ使用,1,"https://www.google.com/maps?q=34.849866,138.289509"
静岡県,22,焼津市,212,34.868063,138.288197,スマホ使用,1,"https://www.google.com/maps?q=34.868063,138.288197"
静岡県,22,焼津市,212,34.858969,138.280877,スマホ使用,1,"https://www.google.com/maps?q=34.858969,138.280877"
静岡県,22,焼津市,212,34.871119,138.308266,スマホ使用,1,"https://www.google.com/maps?q=34.871119,138.308266"
静岡県,22,焼津市,212,34.88805099,138.330504,スマホ使用,1,"https://www.google.com/maps?q=34.88805099,138.330504"
静岡県,22,焼津市,212,34.893315,138.334058,スマホ使用,1,"https://www.google.com/maps?q=34.893315,138.334058"
静岡県,22,焼津市,212,34.86873,138.316339,スマホ使用,1,"https://www.google.com/maps?q=34.86873,138.316339"
静岡県,22,焼津市,212,34.86342,138.32019,スマホ使用,1,"https://www.google.com/maps?q=34.86342,138.32019"
静岡県,22,焼津市,212,34.86633299,138.321097,スマホ使用,1,"https://www.google.com/maps?q=34.86633299,138.321097"
静岡県,22,焼津市,212,34.81804,138.316058,スマホ使用,1,"https://www.google.com/maps?q=34.81804,138.316058"
静岡県,22,焼津市,212,34.82489,138.318185,スマホ使用,1,"https://www.google.com/maps?q=34.82489,138.318185"
静岡県,22,焼津市,212,34.827925,138.318696,スマホ使用,1,"https://www.google.com/maps?q=34.827925,138.31869599"
静岡県,22,焼津市,212,34.834457,138.317874,スマホ使用,1,"https://www.google.com/maps?q=34.834457,138.31787399"
静岡県,22,焼津市,212,34.836892,138.31785,スマホ使用,1,"https://www.google.com/maps?q=34.836892,138.31785"
静岡県,22,焼津市,212,34.885056,138.328773,スマホ使用,1,"https://www.google.com/maps?q=34.885056,138.328773"
静岡県,22,焼津市,212,34.879757,138.329371,スマホ使用,1,"https://www.google.com/maps?q=34.879757,138.329371"
静岡県,22,焼津市,212,34.828286,138.298638,スマホ使用,1,"https://www.google.com/maps?q=34.828286,138.298638"
静岡県,22,焼津市,212,34.833799,138.305849,スマホ使用,1,"https://www.google.com/maps?q=34.833799,138.305849"
静岡県,22,焼津市,212,34.837361,138.313107,スマホ使用,1,"https://www.google.com/maps?q=34.837361,138.313107"
静岡県,22,焼津市,212,34.837269,138.31083,スマホ使用,1,"https://www.google.com/maps?q=34.837269,138.31083"
静岡県,22,焼津市,212,34.886882,138.292864,スマホ使用,1,"https://www.google.com/maps?q=34.886882,138.292864"
静岡県,22,焼津市,212,34.862805,138.323991,スマホ使用,1,"https://www.google.com/maps?q=34.862805,138.323991"
静岡県,22,焼津市,212,34.86934,138.320409,スマホ使用,1,"https://www.google.com/maps?q=34.86934,138.320409"
静岡県,22,焼津市,212,34.874755,138.313645,スマホ使用,1,"https://www.google.com/maps?q=34.874755,138.313645"
