都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.80074599,138.271488,急ハンドル,1,"https://www.google.com/maps?q=34.80074599,138.271488"
静岡県,22,焼津市,212,34.87484899,138.302593,急ハンドル,1,"https://www.google.com/maps?q=34.87484899,138.302593"
静岡県,22,焼津市,212,34.874788,138.32531,急ハンドル,1,"https://www.google.com/maps?q=34.874788,138.32531"
静岡県,22,焼津市,212,34.86493,138.32537,急ハンドル,1,"https://www.google.com/maps?q=34.86493,138.32537"
静岡県,22,焼津市,212,34.880137,138.315301,急ハンドル,2,"https://www.google.com/maps?q=34.880137,138.315301"
静岡県,22,焼津市,212,34.880096,138.315136,急ハンドル,1,"https://www.google.com/maps?q=34.880096,138.315136"
静岡県,22,焼津市,212,34.869064,138.323782,急ハンドル,1,"https://www.google.com/maps?q=34.869064,138.323782"
静岡県,22,焼津市,212,34.84234,138.3022,急ハンドル,1,"https://www.google.com/maps?q=34.84234,138.3022"
静岡県,22,焼津市,212,34.860636,138.30959,急ハンドル,1,"https://www.google.com/maps?q=34.860636,138.30958999"
静岡県,22,焼津市,212,34.880194,138.315253,急ハンドル,1,"https://www.google.com/maps?q=34.880194,138.315253"
静岡県,22,焼津市,212,34.824981,138.302386,急ハンドル,1,"https://www.google.com/maps?q=34.824981,138.302386"
静岡県,22,焼津市,212,34.870415,138.306571,急ハンドル,2,"https://www.google.com/maps?q=34.870415,138.306571"
静岡県,22,焼津市,212,34.866593,138.32662,急ハンドル,1,"https://www.google.com/maps?q=34.866593,138.32662"
静岡県,22,焼津市,212,34.846004,138.318078,急ハンドル,1,"https://www.google.com/maps?q=34.846004,138.318078"
静岡県,22,焼津市,212,34.81013699,138.310988,急ハンドル,1,"https://www.google.com/maps?q=34.81013699,138.310988"
静岡県,22,焼津市,212,34.868508,138.321214,急ハンドル,1,"https://www.google.com/maps?q=34.868508,138.321214"
静岡県,22,焼津市,212,34.845972,138.324407,急ハンドル,1,"https://www.google.com/maps?q=34.845972,138.324407"
静岡県,22,焼津市,212,34.866912,138.325881,急ハンドル,1,"https://www.google.com/maps?q=34.866912,138.325881"
