都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.862063,138.307423,急ブレーキ,1,"https://www.google.com/maps?q=34.862063,138.307423"
静岡県,22,焼津市,212,34.882762,138.320731,急ブレーキ,1,"https://www.google.com/maps?q=34.882762,138.320731"
静岡県,22,焼津市,212,34.878226,138.307745,急ブレーキ,1,"https://www.google.com/maps?q=34.878226,138.307745"
静岡県,22,焼津市,212,34.86972699,138.299528,急ブレーキ,1,"https://www.google.com/maps?q=34.86972699,138.299528"
静岡県,22,焼津市,212,34.87436,138.324601,急ブレーキ,1,"https://www.google.com/maps?q=34.87436,138.324601"
静岡県,22,焼津市,212,34.873415,138.323818,急ブレーキ,2,"https://www.google.com/maps?q=34.873415,138.32381799"
静岡県,22,焼津市,212,34.871801,138.295449,急ブレーキ,1,"https://www.google.com/maps?q=34.871801,138.295449"
静岡県,22,焼津市,212,34.866473,138.300445,急ブレーキ,3,"https://www.google.com/maps?q=34.866473,138.300445"
静岡県,22,焼津市,212,34.866166,138.311534,急ブレーキ,1,"https://www.google.com/maps?q=34.866166,138.311534"
静岡県,22,焼津市,212,34.794063,138.292426,急ブレーキ,1,"https://www.google.com/maps?q=34.794063,138.292426"
静岡県,22,焼津市,212,34.866894,138.319451,急ブレーキ,1,"https://www.google.com/maps?q=34.866894,138.31945099"
静岡県,22,焼津市,212,34.854486,138.324019,急ブレーキ,4,"https://www.google.com/maps?q=34.854486,138.324019"
静岡県,22,焼津市,212,34.849138,138.320534,急ブレーキ,1,"https://www.google.com/maps?q=34.849138,138.320534"
静岡県,22,焼津市,212,34.830174,138.301335,急ブレーキ,1,"https://www.google.com/maps?q=34.830174,138.301335"
静岡県,22,焼津市,212,34.877769,138.305926,急ブレーキ,1,"https://www.google.com/maps?q=34.877769,138.305926"
静岡県,22,焼津市,212,34.872963,138.323748,急ブレーキ,2,"https://www.google.com/maps?q=34.872963,138.323748"
静岡県,22,焼津市,212,34.822408,138.324403,急ブレーキ,1,"https://www.google.com/maps?q=34.822408,138.32440299"
静岡県,22,焼津市,212,34.83059,138.325274,急ブレーキ,1,"https://www.google.com/maps?q=34.83059,138.325274"
静岡県,22,焼津市,212,34.836549,138.324209,急ブレーキ,1,"https://www.google.com/maps?q=34.836549,138.324209"
静岡県,22,焼津市,212,34.822956,138.290184,急ブレーキ,1,"https://www.google.com/maps?q=34.822956,138.290184"
静岡県,22,焼津市,212,34.871375,138.322803,急ブレーキ,1,"https://www.google.com/maps?q=34.871375,138.322803"
