都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.791809,138.291359,急加速,1,"https://www.google.com/maps?q=34.791809,138.291359"
静岡県,22,焼津市,212,34.846808,138.299792,急加速,1,"https://www.google.com/maps?q=34.846808,138.299792"
静岡県,22,焼津市,212,34.825231,138.30232,急加速,1,"https://www.google.com/maps?q=34.825231,138.30232"
静岡県,22,焼津市,212,34.857841,138.325518,急加速,2,"https://www.google.com/maps?q=34.857841,138.32551799"
静岡県,22,焼津市,212,34.848898,138.322624,急加速,1,"https://www.google.com/maps?q=34.848898,138.322624"
静岡県,22,焼津市,212,34.85376999,138.304501,急加速,1,"https://www.google.com/maps?q=34.85376999,138.30450099"
静岡県,22,焼津市,212,34.862798,138.324799,急加速,1,"https://www.google.com/maps?q=34.862798,138.324799"
静岡県,22,焼津市,212,34.862549,138.324747,急加速,2,"https://www.google.com/maps?q=34.862549,138.324747"
静岡県,22,焼津市,212,34.81282499,138.251947,急加速,1,"https://www.google.com/maps?q=34.81282499,138.251947"
静岡県,22,焼津市,212,34.871281,138.322781,急加速,1,"https://www.google.com/maps?q=34.871281,138.322781"
静岡県,22,焼津市,212,34.872416,138.306454,急加速,1,"https://www.google.com/maps?q=34.872416,138.306454"
静岡県,22,焼津市,212,34.880518,138.306694,急加速,1,"https://www.google.com/maps?q=34.880518,138.306694"
静岡県,22,焼津市,212,34.876756,138.302206,急加速,1,"https://www.google.com/maps?q=34.876756,138.302206"
静岡県,22,焼津市,212,34.802522,138.282041,急加速,1,"https://www.google.com/maps?q=34.802522,138.282041"
静岡県,22,焼津市,212,34.799551,138.292442,急加速,1,"https://www.google.com/maps?q=34.799551,138.292442"
静岡県,22,焼津市,212,34.819048,138.301677,急加速,1,"https://www.google.com/maps?q=34.819048,138.301677"
静岡県,22,焼津市,212,34.82699,138.30295,急加速,1,"https://www.google.com/maps?q=34.82699,138.30295"
静岡県,22,焼津市,212,34.874628,138.302696,急加速,1,"https://www.google.com/maps?q=34.874628,138.302696"
静岡県,22,焼津市,212,34.80465199,138.284141,急加速,1,"https://www.google.com/maps?q=34.80465199,138.284141"
静岡県,22,焼津市,212,34.858924,138.312062,急加速,1,"https://www.google.com/maps?q=34.858924,138.312062"
静岡県,22,焼津市,212,34.827455,138.333937,急加速,1,"https://www.google.com/maps?q=34.827455,138.333937"
静岡県,22,焼津市,212,34.82086799,138.324535,急加速,1,"https://www.google.com/maps?q=34.82086799,138.324535"
静岡県,22,焼津市,212,34.84631799,138.322466,急加速,1,"https://www.google.com/maps?q=34.84631799,138.322466"
静岡県,22,焼津市,212,34.796228,138.296855,急加速,1,"https://www.google.com/maps?q=34.796228,138.296855"
静岡県,22,焼津市,212,34.830683,138.325266,急加速,1,"https://www.google.com/maps?q=34.830683,138.325266"
静岡県,22,焼津市,212,34.878126,138.30735,急加速,1,"https://www.google.com/maps?q=34.878126,138.30735"
静岡県,22,焼津市,212,34.872355,138.30646,急加速,1,"https://www.google.com/maps?q=34.872355,138.30645999"
静岡県,22,焼津市,212,34.86774599,138.320741,急加速,1,"https://www.google.com/maps?q=34.86774599,138.320741"
静岡県,22,焼津市,212,34.863306,138.293137,急加速,1,"https://www.google.com/maps?q=34.863306,138.293137"
静岡県,22,焼津市,212,34.815782,138.266929,急加速,1,"https://www.google.com/maps?q=34.815782,138.266929"
静岡県,22,焼津市,212,34.878917,138.310494,急加速,1,"https://www.google.com/maps?q=34.878917,138.310494"
静岡県,22,焼津市,212,34.867192,138.324865,急加速,1,"https://www.google.com/maps?q=34.867192,138.32486499"
静岡県,22,焼津市,212,34.846573,138.29981,急加速,1,"https://www.google.com/maps?q=34.846573,138.29981"
静岡県,22,焼津市,212,34.798556,138.268721,急加速,1,"https://www.google.com/maps?q=34.798556,138.268721"
静岡県,22,焼津市,212,34.84270699,138.293119,急加速,1,"https://www.google.com/maps?q=34.84270699,138.29311899"
静岡県,22,焼津市,212,34.84032,138.323456,急加速,1,"https://www.google.com/maps?q=34.84032,138.323456"
静岡県,22,焼津市,212,34.842393,138.300056,急加速,1,"https://www.google.com/maps?q=34.842393,138.300056"
静岡県,22,焼津市,212,34.84247899,138.29769,急加速,1,"https://www.google.com/maps?q=34.84247899,138.29768999"
静岡県,22,焼津市,212,34.862467,138.324733,急加速,1,"https://www.google.com/maps?q=34.862467,138.324733"
