都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.860086,138.324414,速度超過,1,"https://www.google.com/maps?q=34.860086,138.32441399"
静岡県,22,焼津市,212,34.79195399,138.297084,速度超過,1,"https://www.google.com/maps?q=34.79195399,138.297084"
静岡県,22,焼津市,212,34.88297,138.301785,速度超過,10,"https://www.google.com/maps?q=34.88297,138.301785"
静岡県,22,焼津市,212,34.779158,138.282142,速度超過,1,"https://www.google.com/maps?q=34.779158,138.282142"
静岡県,22,焼津市,212,34.808675,138.2887892,速度超過,1,"https://www.google.com/maps?q=34.808675,138.2887892"
静岡県,22,焼津市,212,34.8826472,138.3013658,速度超過,7,"https://www.google.com/maps?q=34.8826472,138.3013658"
静岡県,22,焼津市,212,34.888109,138.290685,速度超過,1,"https://www.google.com/maps?q=34.888109,138.290685"
静岡県,22,焼津市,212,34.872055,138.313906,速度超過,1,"https://www.google.com/maps?q=34.872055,138.313906"
静岡県,22,焼津市,212,34.8682967,138.2924578,速度超過,1,"https://www.google.com/maps?q=34.8682967,138.2924578"
静岡県,22,焼津市,212,34.80478,138.308835,速度超過,1,"https://www.google.com/maps?q=34.80478,138.30883499"
静岡県,22,焼津市,212,34.837156,138.280097,速度超過,1,"https://www.google.com/maps?q=34.837156,138.280097"
静岡県,22,焼津市,212,34.8608531,138.2945372,速度超過,1,"https://www.google.com/maps?q=34.8608531,138.2945372"
静岡県,22,焼津市,212,34.8058,138.285681,速度超過,1,"https://www.google.com/maps?q=34.8058,138.285681"
静岡県,22,焼津市,212,34.874443,138.318979,速度超過,1,"https://www.google.com/maps?q=34.874443,138.318979"
静岡県,22,焼津市,212,34.855502,138.324451,速度超過,1,"https://www.google.com/maps?q=34.855502,138.324451"
静岡県,22,焼津市,212,34.778709,138.281651,速度超過,1,"https://www.google.com/maps?q=34.778709,138.281651"
静岡県,22,焼津市,212,34.849784,138.322974,速度超過,1,"https://www.google.com/maps?q=34.849784,138.32297399"
静岡県,22,焼津市,212,34.805984,138.285876,速度超過,1,"https://www.google.com/maps?q=34.805984,138.285876"
静岡県,22,焼津市,212,34.809342,138.306128,速度超過,1,"https://www.google.com/maps?q=34.809342,138.306128"
静岡県,22,焼津市,212,34.805236,138.309247,速度超過,1,"https://www.google.com/maps?q=34.805236,138.309247"
静岡県,22,焼津市,212,34.881872,138.324808,速度超過,1,"https://www.google.com/maps?q=34.881872,138.32480799"
静岡県,22,焼津市,212,34.804955,138.308996,速度超過,1,"https://www.google.com/maps?q=34.804955,138.308996"
静岡県,22,焼津市,212,34.86976,138.32197,速度超過,1,"https://www.google.com/maps?q=34.86976,138.32197"
静岡県,22,焼津市,212,34.798481,138.296439,速度超過,1,"https://www.google.com/maps?q=34.798481,138.296439"
静岡県,22,焼津市,212,34.799211,138.297022,速度超過,1,"https://www.google.com/maps?q=34.799211,138.297022"
静岡県,22,焼津市,212,34.874527,138.315,速度超過,1,"https://www.google.com/maps?q=34.874527,138.315"
静岡県,22,焼津市,212,34.779202,138.28219,速度超過,1,"https://www.google.com/maps?q=34.779202,138.28219"
静岡県,22,焼津市,212,34.80584799,138.309761,速度超過,1,"https://www.google.com/maps?q=34.80584799,138.309761"
静岡県,22,焼津市,212,34.806149,138.309982,速度超過,1,"https://www.google.com/maps?q=34.806149,138.309982"
静岡県,22,焼津市,212,34.792215,138.270966,速度超過,1,"https://www.google.com/maps?q=34.792215,138.27096599"
静岡県,22,焼津市,212,34.809137,138.289278,速度超過,1,"https://www.google.com/maps?q=34.809137,138.289278"
静岡県,22,焼津市,212,34.821201,138.317467,速度超過,2,"https://www.google.com/maps?q=34.821201,138.317467"
