original_name,display_name,label_flag
item1,ID
item2,コース名
item3,経路
item4,レベル
item5,所要時間_1
item6,所要時間_2
item7,地点名称_1
item8,地点名称_2
item9,地点名称_3
item10,地点名称_4
item11,地点名称_5
item12,地点名称_6
item13,地点名称_7
item14,地点名称_8
item15,地点名称_9
item16,区間_A_登山口までの連絡路有無
item17,区間_A_上り
item18,区間_A_上り_所要時間
item19,区間_A_下り
item20,区間_A_下り_所要時間
item21,区間_B_登山口までの連絡路有無
item22,区間_B_上り
item23,区間_B_上り_所要時間
item24,区間_B_下り
item25,区間_B_下り_所要時間
item26,区間_C_登山口までの連絡路有無
item27,区間_C_上り
item28,区間_C_上り_所要時間
item29,区間_C_下り
item30,区間_C_下り_所要時間
item31,区間_D_登山口までの連絡路有無
item32,区間_D_上り
item33,区間_D_上り_所要時間
item34,区間_D_下り
item35,区間_D_下り_所要時間
item36,区間_E_登山口までの連絡路有無
item37,区間_E_上り
item38,区間_E_上り_所要時間
item39,区間_E_下り
item40,区間_E_下り_所要時間
item41,区間_F_登山口までの連絡路有無
item42,区間_F_上り
item43,区間_F_上り_所要時間
item44,区間_F_下り
item45,区間_F_下り_所要時間
item46,区間_G_登山口までの連絡路有無
item47,区間_G_上り
item48,区間_G_上り_所要時間
item49,区間_G_下り
item50,区間_G_下り_所要時間
item51,区間_H_登山口までの連絡路有無
item52,区間_H_上り
item53,区間_H_上り_所要時間
item54,区間_H_下り
item55,区間_H_下り_所要時間
item56,区間_I_登山口までの連絡路有無
item57,区間_I_上り
item58,区間_I_上り_所要時間
item59,区間_I_下り
item60,区間_I_下り_所要時間
item61,区間_J_登山口までの連絡路有無
item62,区間_J_上り
item63,区間_J_上り_所要時間
item64,区間_J_下り
item65,区間_J_下り_所要時間
item66,区間_K_登山口までの連絡路有無
item67,区間_K_上り
item68,区間_K_上り_所要時間
item69,区間_K_下り
item70,区間_K_下り_所要時間
item71,区間_L_登山口までの連絡路有無
item72,区間_L_上り
item73,区間_L_上り_所要時間
item74,区間_L_下り
item75,区間_L_下り_所要時間
item76,区間_M_登山口までの連絡路有無
item77,区間_M_上り
item78,区間_M_上り_所要時間
item79,区間_M_下り
item80,区間_M_下り_所要時間
