original_name,display_name,label_flag
ID,ID,
コース名,コース名,
経路,経路,
レベル,レベル,
所要時間_1,所要時間_1,
所要時間_2,所要時間_2,
地点名称_1,地点名称_1,
地点名称_2,地点名称_2,
地点名称_3,地点名称_3,
地点名称_4,地点名称_4,
地点名称_5,地点名称_5,
地点名称_6,地点名称_6,
地点名称_7,地点名称_7,
地点名称_8,地点名称_8,
地点名称_9,地点名称_9,
区間_A_登山口までの連絡路有無,区間_A_登山口までの連絡路有無,
区間_A_上り,区間_A_上り,
区間_A_上り_所要時間,区間_A_上り_所要時間,
区間_A_下り,区間_A_下り,
区間_A_下り_所要時間,区間_A_下り_所要時間,
区間_B_登山口までの連絡路有無,区間_B_登山口までの連絡路有無,
区間_B_上り,区間_B_上り,
区間_B_上り_所要時間,区間_B_上り_所要時間,
区間_B_下り,区間_B_下り,
区間_B_下り_所要時間,区間_B_下り_所要時間,
区間_C_登山口までの連絡路有無,区間_C_登山口までの連絡路有無,
区間_C_上り,区間_C_上り,
区間_C_上り_所要時間,区間_C_上り_所要時間,
区間_C_下り,区間_C_下り,
区間_C_下り_所要時間,区間_C_下り_所要時間,
区間_D_登山口までの連絡路有無,区間_D_登山口までの連絡路有無,
区間_D_上り,区間_D_上り,
区間_D_上り_所要時間,区間_D_上り_所要時間,
区間_D_下り,区間_D_下り,
区間_D_下り_所要時間,区間_D_下り_所要時間,
区間_E_登山口までの連絡路有無,区間_E_登山口までの連絡路有無,
区間_E_上り,区間_E_上り,
区間_E_上り_所要時間,区間_E_上り_所要時間,
区間_E_下り,区間_E_下り,
区間_E_下り_所要時間,区間_E_下り_所要時間,
区間_F_登山口までの連絡路有無,区間_F_登山口までの連絡路有無,
区間_F_上り,区間_F_上り,
区間_F_上り_所要時間,区間_F_上り_所要時間,
区間_F_下り,区間_F_下り,
区間_F_下り_所要時間,区間_F_下り_所要時間,
区間_G_登山口までの連絡路有無,区間_G_登山口までの連絡路有無,
区間_G_上り,区間_G_上り,
区間_G_上り_所要時間,区間_G_上り_所要時間,
区間_G_下り,区間_G_下り,
区間_G_下り_所要時間,区間_G_下り_所要時間,
区間_H_登山口までの連絡路有無,区間_H_登山口までの連絡路有無,
区間_H_上り,区間_H_上り,
区間_H_上り_所要時間,区間_H_上り_所要時間,
区間_H_下り,区間_H_下り,
区間_H_下り_所要時間,区間_H_下り_所要時間,
区間_I_登山口までの連絡路有無,区間_I_登山口までの連絡路有無,
区間_I_上り,区間_I_上り,
区間_I_上り_所要時間,区間_I_上り_所要時間,
区間_I_下り,区間_I_下り,
区間_I_下り_所要時間,区間_I_下り_所要時間,
区間_J_登山口までの連絡路有無,区間_J_登山口までの連絡路有無,
区間_J_上り,区間_J_上り,
区間_J_上り_所要時間,区間_J_上り_所要時間,
区間_J_下り,区間_J_下り,
区間_J_下り_所要時間,区間_J_下り_所要時間,
区間_K_登山口までの連絡路有無,区間_K_登山口までの連絡路有無,
区間_K_上り,区間_K_上り,
区間_K_上り_所要時間,区間_K_上り_所要時間,
区間_K_下り,区間_K_下り,
区間_K_下り_所要時間,区間_K_下り_所要時間,
区間_L_登山口までの連絡路有無,区間_L_登山口までの連絡路有無,
区間_L_上り,区間_L_上り,
区間_L_上り_所要時間,区間_L_上り_所要時間,
区間_L_下り,区間_L_下り,
区間_L_下り_所要時間,区間_L_下り_所要時間,
区間_M_登山口までの連絡路有無,区間_M_登山口までの連絡路有無,
区間_M_上り,区間_M_上り,
区間_M_上り_所要時間,区間_M_上り_所要時間,
区間_M_下り,区間_M_下り,
区間_M_下り_所要時間,区間_M_下り_所要時間,
stroke,stroke,
stroke-width,stroke-width,
stroke-opacity,stroke-opacity,
