ID,会場名,集合場所,緯度,経度,実施日,開始時間,終了時間,持ち物,ご案内,留意事項
1,浜当目海岸,浜当目海岸カメトイレ前,34.87844204,138.3337542,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
2,石津海岸公園,石津海岸公園トイレ前,34.84536376,138.3326263,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
3,緑色のテラス,海岸工事中のため実施しません,,,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
4,原浜児童遊園地,原浜児童遊園地,34.8274022,138.3354664,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
5,ディスカバリーパーク焼津,ディスカバリーパーク焼津中央駐車場,34.82220867,138.3309479,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
6,一色清掃工場,一色清掃工場東側海岸付近,34.815669,138.326457,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
7,藤守浜スポーツ広場,藤守浜スポーツ広場,34.806714,138.319164,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
8,下小杉第2町内会海岸地区グラウンド,下小杉第2町内会海岸地区グラウンド,34.811673,138.322168,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
9,高新田第2町内会多目的広場,高新田第2町内会多目的広場,34.793487,138.308994,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
10,吉永ふれあい広場,吉永ふれあい広場,34.79042855,138.3065464,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
11,利右衛門、吉永放水門,海岸工事中のため実施しません,,,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
12,大井川河口野鳥公園,大井川河口野鳥公園トイレ前,34.77169204,138.2971533,2025年11月16日（日曜日）,午前8時30分,午前9時30分,ごみばさみ、作業用手袋、飲み物（ごみ袋は当日配布します）,"・市民等参加型の海外清掃イベントです。
・申込は不要です。当日、集合場所に直接お越しください。",・駐車場台数に限りがあります。徒歩・自転車・バイク等でご参加ください。車は相乗りでお願いします。
