NO,名称,住所,緯度,経度,設置場所,画像,説明,特設サイトURL
1,富士屋東名店,焼津市八楠4-9-8,138.3047356,34.87885751,北西側出入口付近,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/1_%E5%AF%8C%E5%A3%AB%E5%B1%8B_%E6%9D%B1%E5%90%8D%E5%BA%97.jpg,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
2,富士屋焼津３丁目店,焼津市焼津3-10-1,138.3089459,34.86353001,東側入り口エレベーター向かい側,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/2_%E5%AF%8C%E5%A3%AB%E5%B1%8B_%E7%84%BC%E6%B4%A5%EF%BC%93%E4%B8%81%E7%9B%AE%E5%BA%97.jpg,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
3,富士屋焼津南店,焼津市三右衛門新田635-639,138.291682,34.8464373,駐車場側入り口のレジかご置き場付近,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/3_%E5%AF%8C%E5%A3%AB%E5%B1%8B_%E7%84%BC%E6%B4%A5%E5%8D%97%E5%BA%97.JPEG,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
4,富士屋田尻北店,焼津市田尻北185-1,138.3254117,34.83407616,ガチャポンコーナー側の入り口から入ったところにあり。サービスカウンターの近く。,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/4_%E5%AF%8C%E5%A3%AB%E5%B1%8B_%E7%94%B0%E5%B0%BB%E5%8C%97%E5%BA%97.jpeg,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
5,田子重小土店,焼津市小土558,138.3005869,34.86849279,①「こひじカフェ側店舗内入り口横」or②「北側入り口エレベータ付近」,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/5_%E7%94%B0%E5%AD%90%E9%87%8D_%E5%B0%8F%E5%9C%9F%E5%BA%97.jpg,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
6,田子重西焼津店,焼津市小柳津531,138.2882428,34.85276751,店舗内ATMの隣,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/6_%E7%94%B0%E5%AD%90%E9%87%8D_%E8%A5%BF%E7%84%BC%E6%B4%A5%E5%BA%97.JPEG,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
7,田子重登呂田店,焼津市東小川2-16-14,138.3124281,34.85847536,２階へ上がる階段手前,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/7_%E7%94%B0%E5%AD%90%E9%87%8D_%E7%99%BB%E5%91%82%E7%94%B0%E5%BA%97.jpg,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
8,田子重田尻店,焼津市田尻421,138.3185873,34.83170922,敷地内公園側の入り口から入った正面。サービスカウンター裏側。,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/8_%E7%94%B0%E5%AD%90%E9%87%8D_%E7%94%B0%E5%B0%BB%E5%BA%97.jpeg,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
9,杏林堂ドラッグストア 焼津大住店,焼津市大住673,138.2914936,34.84758557,店内薬局近くの血管年齢、InBody測定器の隣,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/9_%E6%9D%8F%E6%9E%97%E5%A0%82%E3%83%89%E3%83%A9%E3%83%83%E3%82%B0%E3%82%B9%E3%83%88%E3%82%A2_%E7%84%BC%E6%B4%A5%E5%A4%A7%E4%BD%8F%E5%BA%97.JPEG,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
10,杏林堂薬局 焼津与惣次店,焼津市与惣次1-3-5,138.3118903,34.84617353,店内薬局近くの血圧測定器の隣,https://github.com/yaizu-city/opendata/blob/main/build/images/opendata/%E3%83%99%E3%82%B8%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%86%99%E7%9C%9F/10_%E6%9D%8F%E6%9E%97%E5%A0%82%E8%96%AC%E5%B1%80_%E7%84%BC%E6%B4%A5%E4%B8%8E%E6%83%A3%E6%AC%A1%E5%BA%97.JPEG,野菜摂取量を測定して、やいづ健康マイレージを貯めよう！詳しくは、特設サイトをご覧ください。,https://www.calomamaplus.com/yaizu/#vegecheck
