都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,91060001,静岡県,焼津市,ミニステーション東益津,ミニステーションヒガシマシヅ,,,静岡県焼津市中里176,,34.887,138.316944,,,,,,,,,資源の有効利用の促進とリサイクルの推進を図るため、焼津市内にあるミニステーションでは家庭から出る資源物の回収を行っています。,,,ミニステーション
222127,91060002,静岡県,焼津市,ミニステーション小屋敷,ミニステーションコヤシキ,,,静岡県焼津市小屋敷573,,34.858861,138.281167,,,,,,,,,資源の有効利用の促進とリサイクルの推進を図るため、焼津市内にあるミニステーションでは家庭から出る資源物の回収を行っています。,,,ミニステーション
222127,91060003,静岡県,焼津市,ミニステーション利右衛門,ミニステーションリウエモン,,,静岡県焼津市利右衛門856-1,,34.793611,138.294806,,,,,,,,,資源の有効利用の促進とリサイクルの推進を図るため、焼津市内にあるミニステーションでは家庭から出る資源物の回収を行っています。,,,ミニステーション
222127,91070001,静岡県,焼津市,新庁舎1階エレベーターホール（回収BOX）,シンチョウシャイッカイエレベーターホール,,,静岡県焼津市本町2-16-32,,34.86708,138.322747,,,,,,,,月曜日から日曜日の午前8時から午後8時,焼津市では、「使用済小型電子機器等の再資源化の促進に関する法律」（小型家電リサイクル法）に基づき、小型家電製品の回収を行っています。ご家庭で不要になった下記の品目のリサイクルにご協力ください。なお、回収した小型家電製品は、国が認定したリサイクル事業者に引き渡し、適正なリサイクル処理が行われます。,,,小型家電回収BOX
222127,91070002,静岡県,焼津市,焼津地域交流センター（回収BOX）,ヤイヅチイキコウリュウセンター,,,静岡県焼津市本町5-6-1,,34.86329,138.320383,,,,,,,,,焼津市では、「使用済小型電子機器等の再資源化の促進に関する法律」（小型家電リサイクル法）に基づき、小型家電製品の回収を行っています。ご家庭で不要になった下記の品目のリサイクルにご協力ください。なお、回収した小型家電製品は、国が認定したリサイクル事業者に引き渡し、適正なリサイクル処理が行われます。,,,小型家電回収BOX
222127,91070003,静岡県,焼津市,東益津地域交流センター（回収BOX）,ヒガシマシヅチイキコウリュウセンター,,,静岡県焼津市石脇上65,,34.886435,138.320471,,,,,,,,,焼津市では、「使用済小型電子機器等の再資源化の促進に関する法律」（小型家電リサイクル法）に基づき、小型家電製品の回収を行っています。ご家庭で不要になった下記の品目のリサイクルにご協力ください。なお、回収した小型家電製品は、国が認定したリサイクル事業者に引き渡し、適正なリサイクル処理が行われます。,,,小型家電回収BOX
222127,91070004,静岡県,焼津市,大村地域交流センター（回収BOX）,オオムラチイキコウリュウセンター,,,静岡県焼津市大覚寺3-5-5,,34.874099,138.30081,,,,,,,,,焼津市では、「使用済小型電子機器等の再資源化の促進に関する法律」（小型家電リサイクル法）に基づき、小型家電製品の回収を行っています。ご家庭で不要になった下記の品目のリサイクルにご協力ください。なお、回収した小型家電製品は、国が認定したリサイクル事業者に引き渡し、適正なリサイクル処理が行われます。,,,小型家電回収BOX
222127,91070005,静岡県,焼津市,豊田地域交流センター（回収BOX）,トヨダチイキコウリュウセンター,,,静岡県焼津市小屋敷258-1,,34.863242,138.289261,,,,,,,,,焼津市では、「使用済小型電子機器等の再資源化の促進に関する法律」（小型家電リサイクル法）に基づき、小型家電製品の回収を行っています。ご家庭で不要になった下記の品目のリサイクルにご協力ください。なお、回収した小型家電製品は、国が認定したリサイクル事業者に引き渡し、適正なリサイクル処理が行われます。,,,小型家電回収BOX
222127,91070006,静岡県,焼津市,小川地域交流センター（回収BOX）,コガワチイキコウリュウセンター,,,静岡県焼津市小川2724-1,,34.848969,138.312999,,,,,,,,,焼津市では、「使用済小型電子機器等の再資源化の促進に関する法律」（小型家電リサイクル法）に基づき、小型家電製品の回収を行っています。ご家庭で不要になった下記の品目のリサイクルにご協力ください。なお、回収した小型家電製品は、国が認定したリサイクル事業者に引き渡し、適正なリサイクル処理が行われます。,,,小型家電回収BOX
222127,91070007,静岡県,焼津市,大富地域交流センター（回収BOX）,オオトミチイキコウリュウセンター,,,静岡県焼津市中根新田93-1,,34.838405,138.298178,,,,,,,,,焼津市では、「使用済小型電子機器等の再資源化の促進に関する法律」（小型家電リサイクル法）に基づき、小型家電製品の回収を行っています。ご家庭で不要になった下記の品目のリサイクルにご協力ください。なお、回収した小型家電製品は、国が認定したリサイクル事業者に引き渡し、適正なリサイクル処理が行われます。,,,小型家電回収BOX
