事故内容,事故内容区分,事故類型,事故類型区分,天候,天候区分,昼夜,昼夜区分,時間帯区分,曜日(発生年月日),曜日区分,死者数,発生日時　　分,発生日時　　年,発生日時　　日,発生日時　　時,発生日時　　月,発生日時（年月日）,発生日時（時間）,負傷者数,路線,路線コード,道路形状,道路形状区分,件数,経度,緯度
1,死亡,41,車両単独,1,晴,12,昼－昼,6-9時,6,金,1,55,2021,10,06,09,2021-09-10,06:55,0,一般市町村道,3700,1,交差点－その他,1,138.3329722,34.8404722
1,死亡,21,車両相互,3,雨,22,夜－夜,21-24時,4,水,1,11,2021,12,21,05,2021-05-12,21:11,0,一般都道府県道,2224,7,交差点付近－その他,1,138.2885555,34.8560277
2,負傷,1,人対車両,1,晴,11,昼－明,6-9時,5,木,0,20,2021,16,07,12,2021-12-16,07:20,1,一般市町村道,3700,14,単路－その他,1,138.31025,34.8596944
2,負傷,1,人対車両,1,晴,12,昼－昼,15-18時,1,日,0,25,2021,13,16,06,2021-06-13,16:25,1,一般市町村道,3700,14,単路－その他,1,138.3233888,34.8306666
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,2,月,0,45,2021,22,13,02,2021-02-22,13:45,1,一般市町村道,3700,1,交差点－その他,1,138.3235555,34.8388333
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,2,月,0,40,2021,26,09,07,2021-07-26,09:40,1,主要地方道－都道府県道,1031,1,交差点－その他,1,138.3181944,34.8314166
2,負傷,1,人対車両,1,晴,12,昼－昼,15-18時,2,月,0,55,2021,07,16,06,2021-06-07,16:55,1,一般市町村道,3700,14,単路－その他,1,138.2855555,34.8330555
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,2,月,0,11,2021,13,13,09,2021-09-13,13:11,1,一般市町村道,3700,14,単路－その他,1,138.3178611,34.8537222
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,3,火,0,10,2021,20,09,04,2021-04-20,09:10,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.2903888,34.85975
2,負傷,1,人対車両,1,晴,12,昼－昼,6-9時,3,火,0,00,2021,12,08,01,2021-01-12,08:00,1,主要地方道－都道府県道,1030,1,交差点－その他,1,138.3152222,34.8732222
