都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,0000010001,静岡県,焼津市,親子ふれあい広場,オヤコフレアイヒロバ,,,焼津市本町5-6-1,,34.86313333,138.320437,,,,子育て支援課,,,,【開館時間】9:00～17:00 【休館日】火曜日(火曜日が祝日の場合は翌日)、年末年始,,,,
222127,0000010002,静岡県,焼津市,焼津駅北口駐車場,ヤイヅエキキタグチチュウシャジョウ,,,焼津市駅北1-1-1,,34.87295703,138.3184848,,,,道路課,,,,【開館時間】24時間,,,,
222127,0000010800,静岡県,焼津市,消防団第１分団車庫・詰所,ショウボウダンダイイチブンダンシャコツメショ,,,焼津市城之腰134-2,,34.86200071,138.3238589,,,,地域防災課,,,,,,,,
222127,0000010801,静岡県,焼津市,消防団第10分団車庫・詰所,ショウボウダンダイジュウブンダンシャコツメショ,,,焼津市小川新町4-1866-2,,34.85441302,138.3190665,,,,地域防災課,,,,,,,,
222127,0000010802,静岡県,焼津市,消防団第16分団車庫・詰所,ショウボウダンダイジュウロクブンダンシャコツメショ,,,焼津市宗高856-1,,34.80991493,138.2849338,,,,地域防災課,,,,,,,,
222127,0000010803,静岡県,焼津市,消防団第17分団車庫,ショウボウダンダイジュウナナブンダンシャコ,,,焼津市相川709-2,,34.80708,138.262782,,,,地域防災課,,,,,,,,
222127,0000010804,静岡県,焼津市,避難地倉庫（大富小学校）,ヒナンチソウコオオトミショウガッコウ,,,焼津市中根新田637,,34.83420096,138.2943154,,,,地域防災課,,,,,,,,
222127,0000010805,静岡県,焼津市,避難地倉庫（水道用地）,ヒナンチソウコスイドウヨウチ,,,焼津市一色1043,,34.824173,138.310699,,,,地域防災課,,,,,,,,
222127,0000010806,静岡県,焼津市,避難地倉庫（大村中学校）,ヒナンチソウコオオムラチュウガッコウ,,,焼津市大村3-25-1,,34.871178,138.304014,,,,地域防災課,,,,,,,,
222127,0000010807,静岡県,焼津市,避難地倉庫（東益津小学校）,ヒナンチソウコヒガシマシヅショウガッコウ,,,焼津市石脇上65,,34.88664287,138.3202534,,,,地域防災課,,,,,,,,
222127,0000010809,静岡県,焼津市,避難地倉庫（石脇公園）,ヒナンチソウコイシワキコウエン,,,焼津市石脇上77,,34.886919,138.317326,,,,地域防災課,,,,,,,,
222127,0000010810,静岡県,焼津市,避難地倉庫（焼津中学校）,ヒナンチソウコヤイヅチュウガッコウ,,,焼津市焼津2-10-28,,34.864911,138.312027,,,,地域防災課,,,,,,,,
222127,0000010812,静岡県,焼津市,避難地倉庫（豊田小学校）,ヒナンチソウコトヨダショウガッコウ,,,焼津市五ケ堀之内2,,34.862923,138.290749,,,,地域防災課,,,,,,,,
222127,0000010813,静岡県,焼津市,避難地倉庫（大富中学校プール下）,ヒナンチソウコオオトミチュウガッコウプールシタ,,,焼津市中根新田60-1,,34.838898,138.299824,,,,地域防災課,,,,,,,,
222127,0000010814,静岡県,焼津市,避難地倉庫（東益津中学校プール下）,ヒナンチソウコヒガシマシヅチュウガッコウプールシタ,,,焼津市中里416,,34.88520202,138.3189189,,,,地域防災課,,,,,,,,
222127,0000010815,静岡県,焼津市,避難地倉庫（豊田中学校プール下）,ヒナンチソウコトヨダチュウガッコウプールシタ,,,焼津市小土301-2,,34.8680792,138.2930293,,,,地域防災課,,,,,,,,
222127,0000010817,静岡県,焼津市,避難地倉庫(焼津西小学校）,ヒナンチソウコヤイヅニシショウガッコウ,,,焼津市塩津117-1,,34.86603493,138.3099987,,,,地域防災課,,,,,,,,
222127,0000010818,静岡県,焼津市,避難地倉庫（焼津中央高校）,ヒナンチソウコヤイヅチュウオウコウコウ,,,焼津市小土157-1,,34.8678405,138.2897895,,,,地域防災課,,,,,,,,
222127,0000010821,静岡県,焼津市,避難地倉庫（大井川東小学校）,ヒナンチソウコオオイガワヒガシショウガッコウ,,,焼津市宗高428,,34.80758558,138.2932206,,,,地域防災課,,,,,,,,
222127,0000010826,静岡県,焼津市,学童保育なかよし小川クラブ・小川,ガクドウホイクナカヨシコガワクラブコガワ,,,焼津市小川2503,,34.849907,138.317605,,,,家庭・子ども支援課,,,,【開館時間】平日：12:00～18:30　　土曜日：7:30～16:30 長期休暇：7:30～18:30 【休館日】日曜日、祝祭日,,,,
222127,0000010827,静岡県,焼津市,ゆりかご西クラブ・かもめ,ユリカゴニシクラブカモメ,,,焼津市塩津117-1,,34.866151,138.309177,,,,家庭・子ども支援課,,,,【開館時間】平日：12:00～18:30　　土曜日：7:30～18:00 長期休暇：7:30～18:30 【休館日】日曜日、祝祭日,,,,
222127,0000010829,静岡県,焼津市,大井川東放課後児童クラブ,オオイガワヒガシホウカゴジドウクラブ,,,焼津市宗高428,,34.807112,138.293853,,,,家庭・子ども支援課,,,,【開館時間】平日：12:00～18:30　　土曜日：7:30～17:30 長期休暇：7:30～18:30 【休館日】日曜日、祝祭日,,,,
222127,0000010830,静岡県,焼津市,大井川民俗資料保管庫,オオイガワミンゾクシリョウホカンコ,,,焼津市宗高909-1,,34.804492,138.285526,,,,文化振興課,,,,,,,,
222127,0000010833,静岡県,焼津市,大井川保健相談センター,オオイガワホケンソウダンセンター,,,焼津市宗高900,,34.803203,138.284419,,,,健康づくり課,,,,【開館時間】8:30～１7:15（不定期）,,,,
222127,0000010834,静岡県,焼津市,石津コミュニティ防災センター,イシヅコミュニティボウサイセンター,,,焼津市石津1233-1,,34.8428756,138.3161658,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010835,静岡県,焼津市,新屋コミュニティ防災センター,アラヤコミュニティボウサイセンター,,,焼津市本町1-3-28,,34.868367,138.322173,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010836,静岡県,焼津市,四区コミュニティ防災センター,ヨンクコミュニティボウサイセンター,,,焼津市焼津6-10-17,,34.865562,138.316961,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010837,静岡県,焼津市,第５コミュニティ防災センター,ダイゴコミュニティボウサイセンター,,,焼津市駅北5-1-24,,34.875193,138.320385,,,,地域防災課,,,,【開館時間】8:30-21:00 【休館日】毎週火曜日,,,,
222127,0000010838,静岡県,焼津市,利右衛門地区コミュニティ防災センター,リエモンチクコミュニティボウサイセンター,,,焼津市利右衛門2559-2,,34.78696193,138.3002556,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010840,静岡県,焼津市,坂本観光トイレ,サカモトカンコウトイレ,,,焼津市坂本1373-4,,34.894028,138.3155,,,,観光交流課,,,,,,,,
222127,0000010841,静岡県,焼津市,吉津観光トイレ,ヨシヅカンコウトイレ,,,焼津市吉津14-3,,34.901639,138.329917,,,,観光交流課,,,,,,,,
222127,0000010842,静岡県,焼津市,花沢の里水車小屋,ハナザワノサトスイシャゴヤ,,,焼津市花沢956,,34.906861,138.330861,,,,観光交流課,,,,,,,,
222127,0000010843,静岡県,焼津市,野鳥公園展望台,ヤチョウコウエンテンボウダイ,,,焼津市飯淵2036,,34.771417,138.296972,,,,観光交流課,,,,,,,,
222127,0000010845,静岡県,焼津市,水防倉庫（中里）,スイボウソウコナカザト,,,焼津市中里750,,34.881003,138.313148,,,,河川課,,,,,,,,
222127,0000010846,静岡県,焼津市,水防倉庫（八楠）,スイボウソウコヤグス,,,焼津市八楠1558-2,,34.877177,138.30718,,,,河川課,,,,,,,,
222127,0000010847,静岡県,焼津市,自主防災倉庫（第１自主防災会）,ジシュボウサイソウコダイイチジシュボウサイカイ,,,焼津市焼津5-5-1,,34.860908,138.316886,,,,地域防災課,,,,,,,,
222127,0000010848,静岡県,焼津市,自主防災倉庫（第２自主防災会）,ジシュボウサイソウコダイニジシュボウサイカイ,,,焼津市焼津2-7-1,,34.86502803,138.313851,,,,地域防災課,,,,,,,,
222127,0000010849,静岡県,焼津市,自主防災倉庫（第３自主防災会）,ジシュボウサイソウコダイサンジシュボウサイカイ,,,焼津市栄町5-14-1,,34.86816,138.319245,,,,地域防災課,,,,,,,,
222127,0000010850,静岡県,焼津市,自主防災倉庫（第４自主防災会）,ジシュボウサイソウコダイヨンジシュボウサイカイ,,,焼津市塩津117-1,,34.86603493,138.3099987,,,,地域防災課,,,,,,,,
