都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
222127,1000000004,静岡県,焼津市,市役所アトレ庁舎１階,シヤクショアトレチョウシャイッカイ,,静岡県焼津市本町5-6-1,,34.863094,138.320351,,(054)626-2171,,DoSPOT-FREE,,,
222127,1000000005,静岡県,焼津市,市役所アトレ庁舎２階,シヤクショアトレチョウシャニカイ,,静岡県焼津市本町5-6-1,,34.863094,138.320351,,(054)626-2171,,DoSPOT-FREE,,,
222127,1000000006,静岡県,焼津市,市役所大井川庁舎２階,シヤクショオオイガワチョウシャニカイ,,静岡県焼津市宗高900,,34.803723,138.284344,,(054)662-0591,,DoSPOT-FREE,,,
222127,1000000008,静岡県,焼津市,焼津図書館　１階,ヤイヅトショカンイッカイ,,静岡県焼津市三ケ名1550,,34.864684,138.306342,,(054)628-2334,,DoSPOT-FREE,,,
222127,1000000009,静岡県,焼津市,大井川図書館　１階,オオイガワトショカンイッカイ,,静岡県焼津市宗高909-1,,34.804236,138.285517,,(054)622-9000,,DoSPOT-FREE,,,
222127,1000000010,静岡県,焼津市,ディスカバリーパーク焼津天文科学館１階,ディスカバリーパークヤイヅテンモンカガクカンイッカイ,,静岡県焼津市田尻2968-1 ,,34.821132,138.330008,,(054)625-0800,,,,,
222127,1000000011,静岡県,焼津市,焼津市観光協会　１階,ヤイヅシカンコウキョウカイイッカイ,,静岡県焼津市栄町1-2-14,,34.871523,138.318804,,(054)626-6266,,DoSPOT-FREE,,,
222127,1000000012,静岡県,焼津市,焼津駅南口公衆無線LAN,ヤイヅエキミナミグチコウシュウムセンラン,,静岡県焼津市栄町1-2,,34.871839,138.318821,,(054)626-2155,,Yaizu_Free_Wi-Fi,,,
222127,1000000013,静岡県,焼津市,焼津文化会館　２階グランドホール,ヤイヅブンカカイカンニカイグランドホール,,静岡県焼津市三ケ名1550,,34.864546,138.305309,,(054)627-3111,,,,,
222127,1000000014,静岡県,焼津市,消防防災センター１階,ショウボウボウサイセンターイッカイ,,静岡県焼津市石津728-2,,34.843044,138.309737,,(054)623-4791,,DoSPOT-FREE,,,
222127,1000000015,静岡県,焼津市,総合体育館シーガルドーム,ソウゴウタイイクカンシーガルドーム,,静岡県焼津市保福島1050,,34.863645,138.281162,,(054)628-5740,,DoSPOT-FREE,,,
222127,1000000016,静岡県,焼津市,大井川文化会館プレイゾーン,オオイガワブンカカイカンプレイゾーン,,静岡県焼津市宗高888,,34.803047,138.283611,(公財）焼津市振興公社,(054)622-8811,,DoSPOT-FREE,,http://www.musico.or.jp/,
222127,1000000017,静岡県,焼津市,総合福祉会館,ソウゴウフクシカイカン,,静岡県焼津市大覚寺3-2-2,,34.875941,138.304625,,(054)627-2111,,,１階ふくしの広場、２階フリースペース,,
222127,1000000018,静岡県,焼津市,大井川福祉センター,オオイガワフクシセンター,,静岡県焼津市宗高572-1,,34.803236,138.290521,,(054)662-0610,,,1階の一部,,
222127,1000000019,静岡県,焼津市,焼津市ターントクルこども館,ヤイヅシターントクルコドモカン,,静岡県焼津市栄町5-1-1,,34.868466,138.32082,,(054)631-6165,,Free_Wi-Fi_YAIZU,,,
222127,1000000020,静岡県,焼津市,花沢地区ビジターセンター,ハナザワチクビジターセンター,,静岡県焼津市花沢33,,34.905,138.3302,,(054)629-6847,,,,,
222127,1000000021,静岡県,焼津市,市役所本庁舎,シヤクショホンチョウシャ,,静岡県焼津市本町2-16-32,,34.866928,138.323185,,(054)623-4791,,yaizu-free-wifi,,,【利用可能エリア】１階の海街ホール、エントランス周辺、２、３階の待合ロビー、エレベーターホール周辺、７階の展望ロビー【利用にあたって】SNS認証有
