NO,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,備考
1,222127,静岡県,焼津市,小浜第二,オバマダイニ,静岡県焼津市小浜９７９－１,34.897932,138.346708,
2,222127,静岡県,焼津市,吉津,ヨシヅ,静岡県焼津市吉津１７６,34.90037293,138.3311259,
3,222127,静岡県,焼津市,坂本第三,サカモトダイサン,静岡県焼津市坂本９７１－１,34.89250934,138.3116059,
4,222127,静岡県,焼津市,石脇上第一,イシワキカミダイイチ,静岡県焼津市石脇上６５,34.88682921,138.3202544,
5,222127,静岡県,焼津市,浜当目第三,ハマトウメダイサン,静岡県焼津市浜当目３－１－４５,34.8791886,138.3307498,
6,222127,静岡県,焼津市,中港第一,ナカミナトダイイチ,静岡県焼津市中港３－３－１２,34.87366335,138.3249184,
7,222127,静岡県,焼津市,駅北第一,エキキタダイイチ,静岡県焼津市駅北３－１７－１１,34.876019,138.313416,
8,222127,静岡県,焼津市,栄町第二,サカエマチダイニ,静岡県焼津市栄町５－１４－１,34.8679258,138.3182393,
9,222127,静岡県,焼津市,焼津第四,ヤイヅダイヨン,静岡県焼津市焼津６－５－１８,34.86387072,138.3175866,
10,222127,静岡県,焼津市,塩津,シオツ,静岡県焼津市塩津１１７－１,34.865777,138.3104726,
11,222127,静岡県,焼津市,五ケ堀之内第一,ゴカホリノウチダイイチ,静岡県焼津市小屋敷２５８－１,34.86357425,138.2897644,
12,222127,静岡県,焼津市,焼津第三,ヤイヅダイサン,静岡県焼津市焼津５－５－１,34.861028,138.317286,
13,222127,静岡県,焼津市,小川第四,コガワダイヨン,静岡県焼津市小川３８０８,34.85386439,138.323062,
14,222127,静岡県,焼津市,東小川第二,ヒガシコガワダイニ,静岡県焼津市東小川４－２１－１,34.8532336,138.3136767,
15,222127,静岡県,焼津市,石津第二,イシヅダイニ,静岡県焼津市石津７２８－２,34.843044,138.309326,
16,222127,静岡県,焼津市,中根新田第二,ナカネシンデンダイニ,静岡県焼津市中根新田６３７,34.833904,138.294281,
17,222127,静岡県,焼津市,三ケ名第一,サンガミョウダイイチ,静岡県焼津市三ケ名９８６,34.85954756,138.3030173,
18,222127,静岡県,焼津市,石津第四,イシヅダイヨン,静岡県焼津市石津港町４０－２,34.841076,138.327454,
19,222127,静岡県,焼津市,田尻北第一,タジリキタダイイチ,静岡県焼津市田尻北５８４,34.8381469,138.3298366,
20,222127,静岡県,焼津市,田尻第一,タジリダイイチ,静岡県焼津市田尻５４１,34.827782,138.320969,
21,222127,静岡県,焼津市,小浜第三,オバマダイサン,静岡県焼津市小浜１５２０,34.89648875,138.3367994,
22,222127,静岡県,焼津市,中里,ナカザト,静岡県焼津市中里６７５,34.88231353,138.3146852,
23,222127,静岡県,焼津市,浜当目第四,ハマトウメダイヨン,静岡県焼津市浜当目３－１３－３１,34.880161,138.334244,
24,222127,静岡県,焼津市,大村新田第一,オオムラシンデンダイイチ,静岡県焼津市大村３－２５－１,34.871849,138.305374,
25,222127,静岡県,焼津市,越後島第二,エチゴシマダイニ,静岡県焼津市越後島１８３,34.88654773,138.3010591,
26,222127,静岡県,焼津市,八楠第一,ヤグスダイイチ,静岡県焼津市八楠２－４－７０,34.880583,138.309143,
