都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,10930,静岡県,焼津市,大井川図書館,オオイガワトショカン,,,静岡県焼津市宗高909-1,,34.80424717,138.2855003,,,,図書課,,,,【開館時間】9:00～19:00 （土・日・祝休日は9:00～17:00） 【休館日】月曜日 （祝休日の場合は、翌平日） 月末日 （土・日・祝休日の場合は、直前の平日）,,,,図書館
222127,19001,静岡県,焼津市,焼津図書館,ヤイヅトショカン,,,静岡県焼津市三ケ名1550-2,,34.86466037,138.3057186,,,,図書課,,,,【開館時間】9:00～19:00 9:00～17:00（土・日・祝休日） 【休館日】月曜日（祝休日に当たる場合は翌平日） 館内整理日（第４金曜日及び１月４日）、年末年始,,,,図書館
222127,91090001,静岡県,焼津市,焼津地域交流センター（地域交流センター図書室）,ヤイヅチイキコウリュウセンター,,,静岡県焼津市本町5-6-1,,34.86314,138.320591,,,,,,,,平日：午前9時～午後7時（地域交流センター休館日を除く）;土日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91090002,静岡県,焼津市,東益津地域交流センター（地域交流センター図書室）,ヒガシマシヅチイキコウリュウセンター,,,静岡県焼津市石脇上65,,34.886344,138.320474,,,,,,,,火～日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91090003,静岡県,焼津市,大村地域交流センター（地域交流センター図書室）,オオムラチイキコウリュウセンター,,,静岡県焼津市大覚寺3-5-5,,34.874089,138.300661,,,,,,,,平日：午前9時～午後7時（地域交流センター休館日を除く）;土日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91090004,静岡県,焼津市,豊田地域交流センター（地域交流センター図書室）,トヨダチイキコウリュウセンター,,,静岡県焼津市小屋敷258-1,,34.863215,138.28943,,,,,,,,平日：午前9時～午後7時（地域交流センター休館日を除く）;土日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91090005,静岡県,焼津市,小川地域交流センター（地域交流センター図書室）,コガワチイキコウリュウセンター,,,静岡県焼津市小川2724-1,,34.848969,138.313195,,,,,,,,平日：午前9時～午後7時（地域交流センター休館日を除く）;土日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91090006,静岡県,焼津市,大富地域交流センター（地域交流センター図書室）,オオトミチイキコウリュウセンター,,,静岡県焼津市中根新田93-1,,34.838321,138.298133,,,,,,,,平日：午前9時～午後7時（地域交流センター休館日を除く）;土日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91090007,静岡県,焼津市,港地域交流センター（地域交流センター図書室）,ミナトチイキコウリュウセンター,,,静岡県焼津市石津港町40-1,,34.84113,138.326203,,,,,,,,平日：午前9時～午後7時（地域交流センター休館日を除く）;土日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91090008,静岡県,焼津市,和田地域交流センター（地域交流センター図書室）,ワダチイキコウリュウセンター,,,静岡県焼津市田尻1992-2,,34.82728,138.321121,,,,,,,,平日：午前9時～午後7時（地域交流センター休館日を除く）;土日：午前9時～午後5時（地域交流センター休館日を除く）,ご利用には図書館カードが必要です。,,,公民館図書室
222127,91100001,静岡県,焼津市,大井川児童センター（とまとぴあ）,オオイガワジドウセンタートマトピア,,,静岡県焼津市宗高1205-1,,34.807804,138.287389,,,,,,,,【開館時間】9:00～17:00 【休館日】月曜日、第3日曜日、年末年始,,,,子ども館
