No.,土のうステーション置き場,住所,緯度,経度,画像,利用方法,利用上の注意,問合せについて,問合せ先,問合せ先電話番号,画像URL
1,石脇チビッコ広場,静岡県焼津市石脇82,34.889262,138.322213,https://openphoto.app/c/yaizu/photo/2815,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/石脇チビッコ広場.png
2,浜当目ｺﾐﾆｭﾃｨ防災ｾﾝﾀｰ,静岡県焼津市浜当目3-1-45,34.878833,138.331288,https://openphoto.app/c/yaizu/photo/2816,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/浜当目コミュニティ防災センター.png
3,東益津地域交流センター,静岡県焼津市石脇上65,34.886248,138.320764,https://openphoto.app/c/yaizu/photo/2817,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/東益津地域交流センター.png
4,大村地域交流センター,静岡県焼津市大覚寺3-5-5,34.873817,138.300905,https://openphoto.app/c/yaizu/photo/2818,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/大村地域交流センター.png
5,清見田公園,静岡県焼津市三ヶ名1626,34.866169,138.305705,https://openphoto.app/c/yaizu/photo/2819,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/清見田公園.png
6,豊田地域交流センター,静岡県焼津市小屋敷258-1,34.863359,138.289198,https://openphoto.app/c/yaizu/photo/2820,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/豊田地域交流センター.png
7,小土チビッコ広場,静岡県焼津市小土961-1他,34.865119,138.292924,https://openphoto.app/c/yaizu/photo/2821,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/小土チビッコ広場.png
8,焼津地域交流センター,静岡県焼津市本町5-6-1,34.862517,138.319999,https://openphoto.app/c/yaizu/photo/2822,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/焼津地域交流センター.png
9,市役所・本館新屋公園北駐車場,静岡県焼津市本町2-22,34.867158,138.324842,https://openphoto.app/c/yaizu/photo/2823,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/市役所本館.png
10,小川地域交流センター,静岡県焼津市小川2724-1,34.849114,138.312939,https://openphoto.app/c/yaizu/photo/2824,"・白いカバーを取り外し、土のうを取り出してください。
・原則として、一世帯20袋までとさせていただきます。
・水防以外の利用目的での持ち出しは禁止とします。
・使用後の土のうは、返却せず、各世帯で保管等をお願いします。
・水害に備え、備蓄をお勧めします。","・土のうは、重いもので２０キログラム以上あります。
・運搬、積み降ろしの際は、十分注意してください。",・利用方法や土のうの補充等に関するお問い合わせは、問い合わせ先までお願いします。,焼津市河川課,(054)626-1118   ,https://yaizu-smartcity.jp/images/opendata/土のうステーション/小川地域交流センター.png
