original_name,display_name,label_flag
item2,名称,1,
item3,方面_1,
item4,方面_1_1便,
item5,方面_1_1便_土曜日運行,
item6,方面_1_2便,
item7,方面_1_2便_土曜日運行,
item8,方面_1_3便,
item9,方面_1_3便_土曜日運行,
item10,方面_1_4便,
item11,方面_1_4便_土曜日運行,
item12,方面_1_5便,
item13,方面_1_5便_土曜日運行,
item14,方面_1_6便,
item15,方面_1_6便_土曜日運行,
item16,方面_1_7便,
item17,方面_1_7便_土曜日運行,
item18,方面_1_8便,
item19,方面_1_8便_土曜日運行,
item20,方面_1_9便,
item21,方面_1_9便_土曜日運行,
item22,方面_2,
item23,方面_2_1便,
item24,方面_2_1便_土曜日運行,
item25,方面_2_2便,
item26,方面_2_2便_土曜日運行,
item27,方面_2_3便,
item28,方面_2_3便_土曜日運行,
item29,方面_2_4便,
item30,方面_2_4便_土曜日運行,
item31,方面_2_5便,
item32,方面_2_5便_土曜日運行,
item33,方面_2_6便,
item34,方面_2_6便_土曜日運行,
item35,方面_2_7便,
item36,方面_2_7便_土曜日運行,
item37,方面_2_8便,
item38,方面_2_8便_土曜日運行,
item39,方面_2_9便,
item40,方面_2_9便_土曜日運行,
SAFIELD001,名称,
SAFIELD002,方面_1,
SAFIELD003,方面_1_1便,
SAFIELD004,方面_1_1便_土曜日運行,
SAFIELD005,方面_1_2便,
SAFIELD006,方面_1_2便_土曜日運行,
SAFIELD007,方面_1_3便,
SAFIELD008,方面_1_3便_土曜日運行,
SAFIELD009,方面_1_4便,
SAFIELD010,方面_1_4便_土曜日運行,
SAFIELD011,方面_1_5便,
SAFIELD012,方面_1_5便_土曜日運行,
SAFIELD013,方面_1_6便,
SAFIELD014,方面_1_6便_土曜日運行,
SAFIELD015,方面_1_7便,
SAFIELD016,方面_1_7便_土曜日運行,
SAFIELD017,方面_1_8便,
SAFIELD018,方面_1_8便_土曜日運行,
SAFIELD019,方面_1_9便,
SAFIELD020,方面_1_9便_土曜日運行,
SAFIELD021,方面_2,
SAFIELD022,方面_2_1便,
SAFIELD023,方面_2_1便_土曜日運行,
SAFIELD024,方面_2_2便,
SAFIELD025,方面_2_2便_土曜日運行,
SAFIELD026,方面_2_3便,
SAFIELD027,方面_2_3便_土曜日運行,
SAFIELD028,方面_2_4便,
SAFIELD029,方面_2_4便_土曜日運行,
SAFIELD030,方面_2_5便,
SAFIELD031,方面_2_5便_土曜日運行,
SAFIELD032,方面_2_6便,
SAFIELD033,方面_2_6便_土曜日運行,
SAFIELD034,方面_2_7便,
SAFIELD035,方面_2_7便_土曜日運行,
SAFIELD036,方面_2_8便,
SAFIELD037,方面_2_8便_土曜日運行,
SAFIELD038,方面_2_9便,
SAFIELD039,方面_2_9便_土曜日運行,
SAFIELD040,運行会社,
SAFIELD041,電話番号（予約）,
SAFIELD042,そのほか,
