ID,学区,学区No.,学区ごとNo,URL,経度,緯度
1,東益津,1,1,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.30106,34.89512702
2,東益津,1,2,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.2949245,34.89302339
3,東益津,1,3,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.300295,34.89380392
4,東益津,1,4,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3021306,34.89463836
5,東益津,1,5,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3013501,34.89349058
6,東益津,1,6,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3020828,34.89587422
7,東益津,1,7,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3031729,34.89272953
8,東益津,1,8,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3045509,34.89105751
9,東益津,1,9,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3043626,34.8939325
10,東益津,1,10,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3174325,34.89145508
11,東益津,1,11,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3145798,34.89023195
12,東益津,1,12,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3115653,34.88922008
13,東益津,1,13,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3103779,34.89060842
14,東益津,1,14,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3100567,34.89081472
15,東益津,1,15,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3096997,34.89176361
16,東益津,1,16,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3090909,34.89193953
