都道府県コ―ド又は市区町村コ―ド,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
222127,0013010001,静岡県,焼津市,焼津市立大富幼稚園,ヤイヅシリツオオトミヨウチエン,公立幼稚園,静岡県焼津市中根新田638,,34.833747,138.293767,,,(054)624-3668,,(054)624-3668,,,,70,4歳から,月火水木金,09:00,14:30,水曜日は午後2時まで利用可能,無,,
222127,0013010003,静岡県,焼津市,焼津市立さつき幼稚園,ヤイヅシリツサツキヨウチエン,公立幼稚園,静岡県焼津市大覚寺3-5-1,,34.873478,138.300694,,,(054)627-3902,,(054)627-3902,,,,70,4歳から,月火水木金,09:00,14:30,水曜日は午後2時まで利用可能,無,,
222127,0013010004,静岡県,焼津市,焼津市立大井川南幼稚園,ヤイヅシリツオオイガワミナミヨウチエン,公立幼稚園,静岡県焼津市吉永334-2,,34.796077,138.290264,,,(054)622-5147,,(054)622-5147,,,,210,3歳から,月火水木金,09:00,14:30,水曜日は午後2時まで利用可能,無,,
222127,0013010005,静岡県,焼津市,焼津市立大井川西幼稚園,ヤイヅシリツオオイガワニシヨウチエン,公立幼稚園,静岡県焼津市下江留2300-1,,34.81466,138.266378,,,(054)622-4187,,(054)622-4187,,,,180,3歳から,月火水木金,09:00,14:30,水曜日は午後2時まで利用可能,無,,
222127,0013010006,静岡県,焼津市,焼津市立静浜幼稚園,ヤイヅシリツシズハマヨウチエン,公立幼稚園,静岡県焼津市宗高88  ,,34.813814,138.28077,,,(054)622-0101,,(054)622-0177,,,,110,3歳から,月火水木金,09:00,14:30,水曜日は午後2時まで利用可能,無,,
222127,0013010007,静岡県,焼津市,焼津市立静浜幼稚園下藤分園,ヤイヅシリツシズハマヨウチエンシモフジブンエン,公立幼稚園,静岡県焼津市下小杉1361,,34.810874,138.307085,,,(054)622-2147,,(054)622-2147,,,,90,3歳から,月火水木金,09:00,14:30,水曜日は午後2時まで利用可能,無,,
222127,0013010008,静岡県,焼津市,焼津幼稚園,ヤイヅヨウチエン,私立幼稚園,静岡県焼津市焼津5-4-2,,34.861326,138.318448,,,(054)628-2851,,(054)628-7530,,,,310,3歳から,月火水木金,08:00,14:30,預かり保育あり,無,,満3歳児クラスあり
222127,0013010009,静岡県,焼津市,新屋幼稚園,アラヤヨウチエン,私立幼稚園,静岡県焼津市本町1-1-10,,34.868752,138.321889,,,(054)628-3895,,(054)629-3520 ,,,,180,3歳から,月火水木金,08:30,14:30,預かり保育あり;第1土曜日は午前11時まで利用可能,無,,満3歳児クラスあり
222127,0013010010,静岡県,焼津市,西町幼稚園,ニシマチヨウチエン,私立幼稚園,静岡県焼津市大村1-12,,34.874347,138.308217,,,(054)629-3277,,(054)629-3669,,,,285,3歳から,月火水木金,08:30,14:30,預かり保育あり;第1土曜日は午前11時まで利用可能,無,,満3歳児クラスあり
222127,0013010011,静岡県,焼津市,小川幼稚園,コガワヨウチエン,私立幼稚園,静岡県焼津市東小川6-21-4,,34.853046,138.311592,,,(054)629-2188,,(054)629-2187,,,,250,3歳から,月火水木金,08:30,14:30,預かり保育あり,無,,満3歳児クラスあり
222127,0013010012,静岡県,焼津市,みなと幼稚園,ミナトヨウチエン,私立幼稚園,静岡県焼津市中港1-7-23,,34.873253,138.322025,,,(054)628-2736,,(054)629-1929 ,,,,170,3歳から,月火水木金,08:00,14:30,預かり保育あり,無,,満3歳児クラスあり
222127,0013010013,静岡県,焼津市,焼津豊田幼稚園,ヤイヅトヨダヨウチエン,私立幼稚園,静岡県焼津市小土1059-1,,34.86351,138.28863,,,(054)628-4004,,(054)628-4209,,,,310,3歳から,月火水木金,08:00,14:30,預かり保育あり,無,,満3歳児クラスあり
222127,0013010014,静岡県,焼津市,みやじま幼稚園,ミヤジマヨウチエン,私立幼稚園,静岡県焼津市三ケ名807-1,,34.859962,138.302173,,,(054)628-9084,,(054)628-1758 ,,,,280,3歳から,月火水木金,08:00,14:30,預かり保育あり,無,,満3歳児クラスあり
222127,0013010015,静岡県,焼津市,焼津中央幼稚園,ヤイヅチュウオウヨウチエン,私立幼稚園,静岡県焼津市西小川1-2-14,,34.860916,138.311845,,,(054)628-9612,,(054)628-9612 ,,,,240,3歳から,月火水木金,08:00,14:30,預かり保育あり;水曜日は午後1時まで利用可能,無,,満3歳児クラスあり
222127,0013010016,静岡県,焼津市,まどか幼稚園,マドカヨウチエン,私立幼稚園,静岡県焼津市田尻北1223-2,,34.839879,138.329071,,,(054)624-6415,,(054)623-6368,,,,310,3歳から,月火水木金,08:30,15:00,預かり保育あり;水曜日は午後1時まで利用可能,無,,満3歳児クラスあり
222127,0013010017,静岡県,焼津市,三和幼稚園,ミワヨウチエン,私立幼稚園,静岡県焼津市三和614-2,,34.825997,138.299595,,,(054)624-0046,,(054)624-4761,,,,180,3歳から,月火水木金,08:30,14:40,預かり保育あり,無,,満3歳児クラスあり
222127,0013010018,静岡県,焼津市,すみれ台幼稚園,スミレダイヨウチエン,私立幼稚園,静岡県焼津市すみれ台1-25-1,,34.830959,138.324603,,,(054)623-1545,,(054)623-5186,,,,85,3歳から,月火水木金,08:30,15:00,同学校法人の系列幼稚園（まどか幼稚園）で預かり保育あり;水曜日は午後1時まで利用可能,無,,
222127,0013010019,静岡県,焼津市,焼津市立旭町保育園,ヤイヅシリツアサヒチョウホイクエン,認可公立保育所,静岡県焼津市駅北3-17-10,,34.876325,138.313805,,,(054)627-3232,,(054)627-3232,,,,150,0歳から,月火水木金土,08:30,16:30,平日延長保育：平日午前7時30分から8時30分まで、午後4時30分から7時まで;土曜保育：午前8時30分から午後4時30分まで ;土曜延長保育：午前7時30分から8時30分まで、午後4時30分から7時まで,有,,
