都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,区分1,区分2,休業日,最大収容人数,バリアフリー対応,身障者用駐車場有り,車イスでの入店可能,車イストイレあり,多目的トイレあり,バリアフリーその他,バリアフリー詳細情報_他_備考,HP有無,焼津温泉,宿泊施設_部屋数,宿泊施設_温泉,タグ1,タグ2,タグ3,ふるさと納税
222127,2026000188,静岡県,焼津市,ホテルアンビア松風閣,ホテルアンビアショウフウカク,,,静岡県焼津市浜当目海岸通り星が丘,,34.884753,138.337298,,,,,,"標準　24,400円～",富士山と駿河湾一望のおもてなし！自慢の絶景と海の幸をお楽しみください。※日帰り入浴,,,普150台/大型20台,,,054-628-3131,,,,https://www.syofukaku.com/,,宿泊,観光ホテル,,,有,〇,〇,〇,〇,,対応している客室、トイレ、スロープ有り。,有,,114室　402名様収容,1,,,,
222127,2026000189,静岡県,焼津市,焼津グランドホテル,ヤイヅグランドホテル,,,静岡県焼津市浜当目1489,,34.883258,138.337117,,,,予約センター　9:30～18:00,,"1泊2食付き　海側洋室 1名様料金 (2名様1室利用時) 29,900円～",駿河湾と富士山を一望。アクティビティなどのコンテンツが充実したオールインクルーシブ・リゾート。　※日帰り入浴,,,普100台/大型要相談,,,054-627-1121,,,,https://www.sn-hotels.com/ygh/,,宿泊,観光ホテル,,,有,〇,〇,〇,〇,,スロープ、多目的トイレ３ヶ所、大浴場にシャワーチェア有り。,有,,137室450名様収容,1,,,,
222127,2026000190,静岡県,焼津市,亀の井ホテル焼津,カメノイホテルヤイヅ,,,静岡県焼津市浜当目1375-2,,34.883084,138.333097,,,,,,"T１泊２食付13,130円～",駿河湾を見下ろす高台の温泉ホテル。2025年7月リニューアルオープン。レストラン、ロビーがリニューアル。キッズパークも誕生。※日帰り入浴,,,普66台,,,054-627-0661,,,,https://kamenoi-hotels.com/yaizu/,,宿泊,観光ホテル,,,有,〇,〇,〇,,,,有,,53室（露天風呂付特別和洋5・和洋2・洋28・和18）196名様収容,1,,,,
222127,2026000191,静岡県,焼津市,ホテルテトラリゾート静岡やいづ,ホテルテトラリゾートシズオカヤイヅ,,,静岡県焼津市田尻北1631-5,,34.83520919,138.3357859,,,,,,"1泊2食付12,000円～　1泊朝食付9,000円～　素泊まり7,000円～　　",小宴会場、大浴場、プール、BBQコーナー併設！素敵な休日をお約束します。富士山と駿河湾の眺めが自慢です！　　※日帰り入浴,,,普50台/大型3台,,,054-624-3308,,,,https://yaizu.e-tetora.com/,,宿泊,観光ホテル,,,有,〇,〇,〇,,,,有,,41室150名様収容,,,,,
222127,2026000192,静岡県,焼津市,くれたけイン焼津駅前,クレタケインヤイヅエキマエ,,,静岡県焼津市駅北1-2-2,,34.873119,138.318288,,,,,,"１泊朝食付7,700円～　※男女別浴場利用時　別途入湯税がかかります",焼津駅北口から30秒♪自慢は無料朝食バイキングと男女別浴場。笑顔で皆様をお迎え致します。　※日帰り入浴,,,普50台/大型　要相談,,,054-620-0011,,,,http://www.kuretake-inn.com/yaiz/,,宿泊,ビジネスホテル,,,有,〇,〇,〇,,,身障者用のお部屋あり（１室）（広め、お風呂も入れる）,有,,117室　　125名様収容,1,,,,
222127,2026000193,静岡県,焼津市,ホテルセレクトイン焼津駅前,ホテルセレクトインヤイヅエキマエ,,,静岡県焼津市栄町2-3-5,,34.871375,138.319709,,,,,,"1泊S5,200円～（日によって変動有）",笑顔溢れるセレクトインへ是非お越しください。,,,普23台,,,054-627-3436,,,,https://select-hotels.jp/yaizu/,,宿泊,ビジネスホテル,,,無,,,,,,,有,,37室　最大72名様収容,,,,,
222127,2026000194,静岡県,焼津市,ホテルシーラックパル焼津,ホテルシーラックパルヤイヅ,,,静岡県焼津市栄町2-6-17,,34.871347,138.321266,,,,,,"1泊朝食付Ｓ6,930円、D9,790円、Ｔ10,890円",焼津駅徒歩3分。無料平面駐車場完備。全館全室Wｉ-Fｉ完備。ＶＯＤ無料視聴。お客様ご自身のスマホで漫画・雑誌無料で見放題。,,,普64台,,,054-620-5586,,,,https://www.sealuckpal.co.jp/yaizu/,,宿泊,ビジネスホテル,,,無,,,,,,,有,,108室（うちツイン15室・ダブル18室利用可）,,,,,
222127,2026000195,静岡県,焼津市,HOTEL nanvan焼津,ホテルナンバンヤイヅ,,,静岡県焼津市越後島360-3,,34.885201,138.296755,,,,,,"１泊（無料朝食付）S7,700円～D13,000円～T16,000円～　",東名焼津ICより1分・新東名藤枝岡部ICより7分　朝食無料（まぐろの漬けが食べ放題）,,,普125台/中型以上は要予約　ホテル⇔焼津駅間無料送迎あり（要予約）,,,054-628-8835,,,,https://www.nanvan.jp/,,宿泊,ビジネスホテル,,,有,〇,,〇,,,,有,,154室全室有線LAN 無線LAN無料接続対応,,,,,
222127,2026000196,静岡県,焼津市,ホテルルートイン焼津インター,ホテルルートインヤイヅインター,,,焼津市八楠1-27-7,,34.881928,138.3026396,,,,,,"1泊朝食付　?7,200円～ ?12,800円～",東名高速 焼津IC目の前！無料駐車場完備 ※先着順・朝食無料サービス・大浴場あり・ＷＯＷＯＷ全室で無料視聴可,,,普119台/大型要相談,,,054-671-0001,,,,https://www.route-inn.co.jp/,,宿泊,ビジネスホテル,,,無,,,,,,,有,,135室200名様収容,,,,,
222127,2026000197,静岡県,焼津市,西焼津セントラルホテル,ニシヤイヅセントラルホテル,,,静岡県焼津市柳新屋858,,34.85787,138.290313,,,,,,"1泊朝食付き?4,900円 ?8,000円　",365日同一料金　駐車場（大型含）・洗濯機・乾燥機無料。西焼津駅周辺唯一のビジネスホテルです。,,,普60台/大型車（4トン）7台,,,054-626-2222,,,,http://www.nishiyaizu.com/,,宿泊,ビジネスホテル,,,無,,,,,,,有,,98室（洋98）102名様収容,,,,,
