ID,事業者名,事業者名カナ,住所,緯度,経度,電話番号,FAX番号,営業時間,営業時間備考,定休日,定休日備考,その他備考,販売品1,販売品2,販売品3,工場見学,工場見学備考,URL,タグ1,タグ2,タグ3,ふるさと納税
0000001,カネギ東海フーズ（株）,カネギトウカイフーズ,焼津市石脇下170-1,34.888802,138.326936,（054）627-5225,,9:00-16:00,,土;日;祝,,,まぐろ生姜煮,まぐろめしの素,しらすごはんの素,,,http://kanegitokai.com,,マグロ;シラス,,
0000003,（株）カネヤマ水産,カネヤマスイサン,焼津市岡当目62,34.881187,138.319573,（054）629-0251,,8:00-17:00,,土;日;祝,,,洋風酒盗（ワイン泥棒）,焼津酒盗,かつお汐辛,,,http://kaneyamasuisan.co.jp,,カツオ;その他水産加工品,,
0000004,（株）いちまる食品事業本部,イチマルショクヒンジギョウホンブ,焼津市浜当目1-3-23,34.878481,138.326425,（054）628-4115,,8:00-17:00,12～13 時を除く,土;日;祝;GW;夏季冬季休暇,土は不定休。電話にてご確認ください。,,ツナ缶ライトミートフレーク（24缶入/ケース）,,,,,http://www.ichimaru-grp.co.jp,,マグロ;その他水産加工品,,
0000005,小石安之助商店,コイシヤスノスケショウテン,焼津市浜当目2-6-7,34.879492,138.330193,（054）628-2472,,8:00-17:00,,日;祝,,,さばのだし,枯れ節四選,粉挽だし,可,,http://www.maruchyon.com,,サバ;その他水産加工品,,
0000006,（有）丸生食品,マルセイショクヒン,焼津市中港3-5-1,34.873334,138.326103,（054）629-2068,,8:00-17:00,,,不定期の為、お問い合わせください。12 月のみ予約販売です。,,伊達巻,伊達巻ラスク,伊達巻スイーツ（チーズ・チョコ・抹茶）,,,http://datemaki-marusei.com,,その他加工食品,,
0000007,静岡県水産（株）,シズオカケンスイサン,焼津市中港1-3-7,34.872137,138.322211,（054）629-5125,,9:00-16:00,12～13 時を除く,土;日;祝;夏季冬季休暇,土は不定休。電話にてご確認ください。,,各種塩辛、珍味,漬け魚,熟成魚肉（ふじ紅雪）,,,http://www.marukama.com/,,その他水産加工品,,
0000008,（有）丸玉園,マルタマエン,焼津市栄町4-1-4,34.870362,138.319592,（054）628-4020,,9:00-18:00,,日,繁忙期は営業,,お茶,茶菓子,海苔,,,https://www.marutamaen-shop.com,,緑茶・紅茶;その他加工食品,,
0000009,（有）ヤマコ小山商店,ヤマココヤマショウテン,焼津市塩津83-4,34.867689,138.306143,（054）628-2567,,10:00-16:00,,水;日;祝,,,コロッケ,佃煮,惣菜,,,,,その他水産加工品;その他加工食品,,
0000010,（株）いまる井川商店（魚・魚）,イマルイガワショウテン,焼津市八楠4-15-28,34.87994,138.304265,（054）628-0781,,10:00-16:00,,水;日;祝,,,冷凍切身,漬魚（サバ、さわら、まぐろ）,佃煮,,,http://www.10toto.com,,マグロ;サバ;その他加工食品,,
0000011,山下商店,ヤマシタショウテン,焼津市八楠4-11-15,34.879719,138.305036,（054）628-2624,,9:00-15:00,,水;日,,,黒はんぺん,,,,,http://www.manabiya.co.jp/yamashita/itemlist/,,サバ;その他水産加工品,,
0000012,（株）久星商店,キュウボシショウテン,焼津市焼津6-5-7,34.864173,138.318619,（054）628-3279,,9:00-17:00,,火;土;祝前日,,,なまり節,はらも,へそ味噌煮,可,, https://kyuboshi.com/,,カツオ;その他水産加工品,,
0000013,（有）ジュウボシ,ジュウボシ,焼津市焼津5-12-31,34.863056,138.316748,（054）628-3764,（054）627-5631,10:00-16:00,,土;日;祝,,小売可・電話にて要確認,干物（鰺、金目鯛、ほっけ、鯖等）,,,可,,https://juboshi.shop-pro.jp/,,サバ;その他水産加工品,,
0000014,（株）北村,キタムラ,焼津市焼津5-12-31,34.862765,138.317119,（054）628-3335,,9:00-16:00,,水;土;日;祝,水土は午後休,,ぐち鳴門巻き,無添加鳴門巻き,,可,,http://www.narutok.com,,その他水産加工品,,
0000015,（株）STIサンヨー,エスティーアイサンヨー,焼津市焼津5-7-3,34.861635,138.31784,（054）628-7211,,8:00-17:00,,土;日;祝,,,まぐろツナフレーク赤缶,オリーブオイルツナ,ガーリックオイルツナ,,,http://www.sanyo-shokuhin.jp,,マグロ;その他水産加工品,,
0000016,（株）岩清,イワセイ,焼津市本町5-14-9,34.861742,138.322629,（054）629-2025,,9:00-18:00,,日;祝,,,塩鯖、しめ鯖、鯖粕漬、鯖西京漬等,鯖干物各種,いか塩辛、いか白づくり,可,,https://www.iwasei.com,,サバ;その他水産加工品,,
0000017,ぬかや斎藤商店,ヌカヤサイトウショウテン,焼津市城之腰109-1,34.861498,138.323669,（054）628-4239,,10:30-17:00,,日;祝,,,自家製漬魚,手作り佃煮,魚河岸シャツ、小物,,,https://yaizunukaya.com,,その他水産加工品;魚河岸シャツ,,
0000018,カネオト石橋商店,カネオトイシバシショウテン,焼津市城之腰91-5,34.861211,138.324264,（054）628-2920,,9:30-17:00,,火;土;祝前日,,,なまり節,焼津おでん,酒盗（かつお塩辛）、鰹ハラモ塩麹,可,,https://www.kaneoto.com,,カツオ;その他水産加工品,,
0000019,（株）川直,カワナオ,焼津市城之腰15,34.860266,138.323369,（054）628-2306,,9:00-17:00,,水;土;日,,,鰹なまり節,鮭燻,鯖燻,,,http://www.kawanao.com,,カツオ;サバ;その他水産加工品,,
0000020,（株）丸又,マルマタ,焼津市東小川1-4-3,34.860053,138.316147,（054）627-1161,,10:00-16:00,,水;日,,,いわしはんぺん,ちくわ,手作りさつま揚げ,,,https://www.marumata.jp,,その他水産加工品,,
0000021,（株）ミサキ,ミサキ,焼津市東小川1-3-19,34.859224,138.315403,（054）628-2403,,11:00-18:00,,日;祝,,,佃煮各種（くるみ小女子、まぐろ、かつお）,,,,,https://hanroku.amebaownd.com,,マグロ;カツオ;その他水産加工品,,
0000022,（株）山政,ヤママサ,焼津市東小川2-4-14,34.858554,138.316575,（054）626-8333,（054）628-8113,8:30-16:30,,土;日;祝,土は不定休,,かつおたたき,佃煮,だしまかせ,,,http://www.yamamasa.co.jp,,カツオ;その他水産加工品,,
0000023,（株）カネヨ,カネヨ,焼津市小川新町3-9-3,34.855005,138.322538,（054）628-3327,,8:00-16:00,,水;日;祝,,,鰹なまり節,鰹のへそ味噌煮,鮪のとろ煮,可,,http://shopping.geocities.jp/kaneyo/,,マグロ;カツオ;その他水産加工品,,
0000024,（株）ヤマ十増田商店,ヤマジュウマスダショウテン,焼津市小川新町5-4-9,34.852331,138.318599,（054）628-3677,,9:00-17:00,,土;日;祝,,,鰹節,だしパック,そばつゆ,可,要予約,https://www.yama10.jp,,カツオ;その他水産加工品,,
0000025,焼津冷蔵（株）,ヤイヅレイゾウ,焼津市小川新町5-8-2,34.852429,138.320546,（054）627-0181,,9:00-16:00,,日;祝,,,塩さば,鰻、穴子蒲焼,静岡茶しめさば,,,http://www.yakirei.co.jp,,サバ;ウナギ,,
0000026,山上水産（株）,ヤマジョウスイサン,焼津市石津港町11-1,34.843824,138.325977,（054）624-2079,,9:30-17:30,,年中無休,年始を除く,,かつお角煮（甘口、辛口）,まぐろ角煮,,,,http://yamazyo-suisan.shop-pro.jp/,,マグロ;カツオ;その他水産加工品,,
0000027,（有）葵サンプル,アオイサンプル,焼津市祢宜島362-3,34.839345,138.305377,（054）624-8645,,9:00-15:00,12～13 時を除く,不定休,,,食品サンプルストラップ,マグネット,サンプルストラップ製作キット,,,http://www.aoisample.com,,趣味用品,,
0000028,（株）マルフク,マルフク,焼津市中根新田228,34.836173,138.299915,（054）624-3666,,8:00-17:00,,木;日,,,卵（富士の名月、伊豆の朝日）,厚焼玉子,くんせい卵,,,https://www.marufuku-egg.co.jp/,,卵;その他加工食品,,
0000029,（株）新丸正（堅魚屋）,シンマルショウカタウオヤ,焼津市三和1384-1,34.831073,138.302972,（054）624-5158,,9:00-18:00,,土;日;祝,,,鰹節,だしパック,調味料、ふりかけ、菓子,可,,http://www.s-marusyo.jp,,カツオ;その他水産加工食品;その他加工食品,,
0000030,（株）マルシメ21,マルシメトゥェンティワン,焼津市惣右衛門1195-8,34.817364,138.3244,（054）624-8125,,9:00-16:30,,土;日;祝,,,まぐろ、かつお等のつくだ煮,,,,, https://marushime21.jp/company/,,マグロ;カツオ;その他水産加工品,,
0000031,（株）あまる齋藤商店,アマルサイトウショウテン,焼津市利右衛門384-1,34.791155,138.289313,（054）631-4585,,8:00-17:00,,日;祝,土は AM のみ、月2 回程度の水休み有り,,塩さば（切身）,鯖寿司,からすみ,可,,https://amalu.co.jp,,サバ;その他水産加工品,,
