都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,10869,静岡県,焼津市,駿河湾深層水利用促進交流施設（深層水ミュージアム）,スルガワンシンソウスイリヨウソクシンコウリュウシセツシンソウスイミュージアム,,,静岡県焼津市鰯ケ島136-24,,34.85871089,138.325884,,,,漁港振興課,,,,【開館時間】9:00～17:00 【休館日】月曜日,,,,資料館
222127,10947,静岡県,焼津市,港地域交流センター,ミナトチイキコウリュウセンター,,,静岡県焼津市石津港町40-1,,34.84124155,138.3262067,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,公民館
222127,10948,静岡県,焼津市,焼津地域交流センター,ヤイヅチイキコウリュウセンター,,,静岡県焼津市本町5-6-1,,34.863224,138.320596,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】12月29日から翌年１月３日まで,,,,公民館
222127,10954,静岡県,焼津市,大井川港管理事務所,オオイガワコウコウカンリジムショ,,,静岡県焼津市飯淵2160,,34.77985329,138.2975497,,,,大井川港管理事務所,,,,【開館時間】8:30～17:15,,,,大井川港港湾会館
222127,10966,静岡県,焼津市,大井川福祉センター（ほほえみ）,オオイガワフクシセンターホホエミ,,,静岡県焼津市宗高572-1,,34.8032935,138.2906189,,,,地域福祉課,,,,【開館時間】9：00～21：30 【休館日】月の第3日曜日、祝日,,,,福祉会館
222127,10974,静岡県,焼津市,小川地域交流センター,コガワチイキコウリュウセンター,,,静岡県焼津市小川2724-1,,34.848977,138.313116,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,公民館
222127,10988,静岡県,焼津市,和田地域交流センター,ワダチイキコウリュウセンター,,,静岡県焼津市田尻1992-2,,34.827242,138.320979,,,,スマイルライフ推進課,,,,【開館時間】9:00～21：30 【休館日】月曜日,,,,公民館
222127,10989,静岡県,焼津市,豊田地域交流センター,トヨダチイキコウリュウセンター,,,静岡県焼津市小屋敷258-1,,34.86324139,138.2893536,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,公民館
222127,10996,静岡県,焼津市,大富地域交流センター,オオトミチイキコウリュウセンター,,,静岡県焼津市中根新田93-1,,34.83828021,138.2983771,,,,スマイルライフ推進課,,,,【開館時間】9:00～21：30 【休館日】月曜日,,,,公民館
222127,11016,静岡県,焼津市,大井川庁舎,オオイガワチョウシャ,,,静岡県焼津市宗高900,,34.803716,138.284334,,,,大井川市民サービスセンター,,,,【開館時間】8：30～17：15 【休館日】土、日、祭日,,,,大井川庁舎
222127,11033,静岡県,焼津市,大井川地域交流センター,オオイガワチイキコウリュウセンター,,,静岡県焼津市宗高900,,34.80351693,138.2840724,,,,スマイルライフ推進課,,,,【開館時間】9：00～21：30 【休館日】月曜日,,,,公民館
222127,11037,静岡県,焼津市,大井川文化会館,オオイガワブンカカイカン,,,静岡県焼津市宗高888,,34.80301375,138.2835387,,,,文化振興課,,,,【開館時間】9:00～21:30 【休館日】月曜日（月曜日が祝日又は振替休日のときはその翌平日）,,,,文化会館
222127,11044,静岡県,焼津市,大村地域交流センター,オオムラチイキコウリュウセンター,,,静岡県焼津市大覚寺3-5-5,,34.87416169,138.3007293,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,公民館
222127,11046,静岡県,焼津市,保福島体育館,ホフクジマタイイクカン,,,静岡県焼津市保福島662,,34.869834,138.281546,,,,総務課,,,,【開館時間】8:00～21:00 【休館日】日曜日,,,,体育館
222127,11050,静岡県,焼津市,東益津地域交流センター,ヒガシマシヅチイキコウリュウセンター,,,静岡県焼津市石脇上65,,34.886409,138.320466,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,公民館
222127,11051,静岡県,焼津市,ディスカバリーパーク焼津天文科学館,ディスカバリーパークヤイヅテンモンカガクカン,,,静岡県焼津市田尻2968-1,,34.822785,138.331594,,,,文化振興課,,,,【開館時間】平日9：00～17：00 土日祝　10：00～19：00 【休館日】月曜日（月曜が祝休日の場合は開館し翌日休館）,,,,科学館
222127,11063,静岡県,焼津市,総合福祉会館（ウェルシップ）,ソウゴウフクシカイカンウェルシップ,,,静岡県焼津市大覚寺3-2-2,,34.87565451,138.3045385,,,,地域福祉課,,,,【開館時間】9：00～21：30 【休館日】月の第3日曜日、祝日,,,,福祉会館
222127,11065,静岡県,焼津市,アトレ庁舎,アトレチョウシャ,,,静岡県焼津市本町5-6-1,,34.86313333,138.320437,,,,土木管理課,,,,【開館時間】8:30～17:15 【休館日】土・日、祝日,,,,アトレ庁舎
222127,11092,静岡県,焼津市,焼津文化会館,ヤイヅブンカカイカン,,,静岡県焼津市三ケ名1550-2,,34.86466037,138.3057186,,,,文化振興課,,,,【開館時間】9:00～21:30 【休館日】月曜日（月曜日が祝日又は振替休日のときはその翌平日）,,,,文化会館
222127,11097,静岡県,焼津市,保健センター,ホケンセンター,,,静岡県焼津市本町5-6-1アトレ庁舎1階,,34.8629522,138.3203939,,,,健康づくり課,,,,【開館時間】8：30～17：15,,,,保健センター
222127,11102,静岡県,焼津市,消防防災センター,ショウボウボウサイセンター,,,静岡県焼津市石津728-2,,34.84301996,138.3093363,,,,防災計画課,,,,【開館時間】8：30～17：15 【休館日】土日曜日、祝休日,,,,消防防災センター
222127,11104,静岡県,焼津市,焼津市役所本庁舎,ホンチョウシャ,,,静岡県焼津市本町2-16-32,,34.867221,138.322876,,,,管財課,,,,【開館時間】8:30～17:15 【休館日】土曜、日曜日、祝日,,,,焼津市役所本庁舎
222127,11111,静岡県,焼津市,水道庁舎,スイドウチョウシャ,,,静岡県焼津市祢宜島20-1,,34.842667,138.30264,,,,水道総務課,,,,【開館時間】8:30～17：15 【休館日】土曜日、日曜日、祝日法による休日,,,,水道庁舎
222127,11137,静岡県,焼津市,市立総合病院,シリツソウゴウビョウイン,,,静岡県焼津市道原1000,,34.837553,138.306328,,,,用度施設課,,,,【開館時間】8:30～17:00（外来）12:00～20:00（見舞い）24時間（救急）,,,,市立総合病院
222127,19002,静岡県,焼津市,歴史民俗資料館,レキシミンゾクシリョウカン,,,静岡県焼津市三ケ名1550,,34.86466037,138.3057186,,,,文化振興課,,,,【開館時間】9:00～17：００ 【休館日】月曜日,,,,資料館
222127,19003,静岡県,焼津市,小泉八雲記念館,コイズミヤクモキネンカン,,,静岡県焼津市三ケ名1550,,34.864439,138.306339,,,,文化振興課,,,,【開館時間】午前９時から午後５時 【休館日】毎週月曜日及び年末年始、展示替に伴う臨時休館日,,,,資料館
222127,20002,静岡県,焼津市,ターントクルこども館,ターントクルコドモカン,,,静岡県焼津市栄町5-1-1,,34.868474,138.320861,,,,子育て支援課,,,,【開館時間】9:00～19:00 【休館日】水曜日、年末年始,,,,子ども館
222127,91100001,静岡県,焼津市,大井川児童センター（とまとぴあ）,オオイガワジドウセンタートマトピア,,,静岡県焼津市宗高1205-1,,34.807804,138.287389,,,,,,,,【開館時間】9:00～17:00 【休館日】月曜日、第3日曜日、年末年始,,,,子ども館
