NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,中港タワー,ナカミナトタワー,焼津市中港5-463,,34.87512688,138.3270609,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
2,いせぎタワー,イセギタワー,焼津市小川新町2-1628-1,,34.85643011,138.3219033,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
3,エゲタワー,エゲタワー,焼津市会下ノ島石津土地区画整理区域内,,34.84650858,138.3233378,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
4,石津浜公園タワー,イシヅハマコウエンタワー,石津2259-358,,34.84565104,138.3309749,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
5,ノア飯淵タワー,ノアハブチタワー,焼津市飯淵551,,34.78716612,138.2824557,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
6,六軒屋海辺タワー,ロッケンヤウミベタワー,焼津市利右衛門2432-1,,34.78965242,138.2990609,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
7,原浜タワー,ハラハマタワー,焼津市田尻2775-1,,34.82669769,138.3323125,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
8,平公園タワー,ダイラコウエンタワー,焼津市高新田2326-1,,34.80110903,138.3123193,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
9,須賀タワー,スガタワー,焼津市焼津5-636-1,,34.8623953,138.3189958,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
10,八反田公園タワー,ハッタンダコウエンタワー,焼津市東小川3-1238-2,,34.85635338,138.3160406,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
11,石津タワー,イシヅタワー,焼津市石津向町2-1,,34.84382981,138.3206842,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
12,本町タワー,ホンマチタワー,焼津市本町3-747-1,,34.86558235,138.3214675,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
13,あさひタワー,アサヒタワー,焼津市駅北3-17-1,,34.87595642,138.3143191,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
14,吉永ふれあい広場タワー,ヨシナガフレアイヒロバタワー,焼津市吉永1770-2,,34.79170617,138.3005121,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
15,藤守南浜タワー,フジモリミナミハマタワー,焼津市藤守2115-1,,34.80650819,138.3152131,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
16,こすぎタワー,コスギタワー,焼津市下小杉480-1,,34.8110698,138.3124615,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
17,本川橋タワー,ホンカワバシタワー,焼津市利右衛門376-1,,34.7915927,138.2899306,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
18,浜当目地区安全タワー,ハマトウメチクアンゼンタワー,焼津市浜当目2-1805-2,,34.87638989,138.3301278,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
19,下小田タワー,シモオダタワー,焼津市下小田416-1,,34.83889825,138.3253353,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
20,惣右衛門防災タワー,ソウエモンボウサイタワー,焼津市惣右衛門985-1,,34.81778175,138.3181132,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
21,ポートサイド飯淵タワー,ポートサイドハブチタワー,焼津市飯淵1995,,34.78165228,138.2880254,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
22,こすぎ山,コスギヤマ,焼津市藤守1884-2,,34.81196095,138.3207117,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
23,高新田中央防災広場,タカシンデンチュウオウボウサイヒロバ,焼津市高新田954-1,,34.79762611,138.3064094,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
24,港が見える丘防災広場,ミナトガミエルオカボウサイヒロバ,焼津市利右衛門2657-3,,34.78267815,138.297178,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
25,一色浜防災広場,イッシキハマボウサイヒロバ,焼津市一色1545-186,,34.81516816,138.3242864,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
26,浜当目コミュニティ防災センター,ハマトウメコミュニティボウサイセンター,焼津市浜当目3-1-45,,34.87892677,138.3312506,,(054)627-7283,,222127,静岡県,焼津市,,○,,,,,,,○,,,,
27,坂本コミュニティ防災センター,サカモトコミュニティボウサイセンター,焼津市坂本971-5,,34.89237987,138.311441,,(054)626-0023,,222127,静岡県,焼津市,,○,,,,,,,○,,,,
28,東益津小学校,ヒガシマシヅショウガッコウ,焼津市石脇上65,,34.88679314,138.319861,,(054)628-4427,,222127,静岡県,焼津市,,○,,,,,,,○,,,,
29,東益津中学校,ヒガシマシヅチュウガッコウ,焼津市中里416,,34.88520427,138.3189142,,(054)628-4428,,222127,静岡県,焼津市,,○,,,,,,,○,,,,
30,東益津地域交流センター,ヒガシマシヅチイキコウリュウセンター,焼津市石脇上65,,34.88640371,138.3204534,,(054)628-2507,,222127,静岡県,焼津市,,○,,,,,,,○,,,,
31,大井川港防災広場,オオイガワコウボウサイヒロバ,焼津市飯淵2096-1,,34.78059887,138.2961254,,(054)625-0128,,222127,静岡県,焼津市,,,,○,○,,,,,,,,
