全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
222127,1,静岡県焼津市,防火水そう,222127,0003000,静岡県焼津市石津728番地2,静岡県,焼津市,石津,728番地2,,34.843137,138.308824,,
222127,2,静岡県焼津市,防火水そう,222127,0005000,静岡県焼津市石津港町42番地1,静岡県,焼津市,石津港町,42番地1,,34.841503,138.329346,,
222127,3,静岡県焼津市,防火水そう,222127,0006000,静岡県焼津市石津向町24番地1,静岡県,焼津市,石津向町,24番地1,,34.840947,138.319818,,
222127,4,静岡県焼津市,防火水そう,222127,0007000,静岡県焼津市石脇上646番地4,静岡県,焼津市,石脇上,646番地4,,34.891785,138.319215,,
222127,5,静岡県焼津市,防火水そう,222127,0007000,静岡県焼津市石脇上592番地13,静岡県,焼津市,石脇上,592番地13,,34.891755,138.322847,,
222127,6,静岡県焼津市,防火水そう,222127,0007000,静岡県焼津市石脇上37番地1,静岡県,焼津市,石脇上,37番地1,,34.886914,138.317455,,
222127,7,静岡県焼津市,防火水そう,222127,0008000,静岡県焼津市石脇下792番地2,静岡県,焼津市,石脇下,792番地2,,34.886246,138.322106,,
222127,8,静岡県焼津市,防火水そう,222127,0008000,静岡県焼津市石脇下153番地,静岡県,焼津市,石脇下,153番地,,34.887592,138.325212,,
222127,9,静岡県焼津市,防火水そう,222127,0011002,静岡県焼津市駅北二丁目5番5号,静岡県,焼津市,駅北二丁目,5番5号,,34.872462,138.316629,,
222127,10,静岡県焼津市,防火水そう,222127,0012000,静岡県焼津市越後島206番地1,静岡県,焼津市,越後島,206番地1,,34.889167,138.298814,,
222127,11,静岡県焼津市,防火水そう,222127,0012000,静岡県焼津市越後島73番地,静岡県,焼津市,越後島,73番地,,34.888204,138.300198,,
222127,12,静岡県焼津市,防火水そう,222127,0012000,静岡県焼津市越後島183番地,静岡県,焼津市,越後島,183番地,,34.886809,138.301475,,
222127,13,静岡県焼津市,防火水そう,222127,0013000,静岡県焼津市大島790番地,静岡県,焼津市,大島,790番地,,34.821931,138.28867,,
222127,14,静岡県焼津市,防火水そう,222127,0015000,静岡県焼津市大住18番地20,静岡県,焼津市,大住,18番地20,,34.850023,138.286224,,
222127,15,静岡県焼津市,防火水そう,222127,0018000,静岡県焼津市岡当目511番地,静岡県,焼津市,岡当目,511番地,,34.878778,138.315857,,
222127,16,静岡県焼津市,防火水そう,222127,0018000,静岡県焼津市岡当目161番地2,静岡県,焼津市,岡当目,161番地2,,34.87966,138.317909,,
