登録番号,住所,緯度,経度,井戸の形態,自主防災会区域
1,焼津市高新田477-1,34.8020158,138.3033469,電動ポンプ,高新田第１自主防災会
2,焼津市宗高1389-5,34.8099883,138.2820789,電動ポンプ,宗高第２自主防災会
3,焼津市中新田252-3,34.8443106,138.2916990,手動・電動ポンプ,大富第19自主防災会
4,焼津市祢宜島336-1、337,34.8397642,138.3035656,自噴井戸,大富第20自主防災会
5,焼津市小屋敷466,34.8606132,138.2816922,電動ポンプ,豊田第9自主防災会
6,焼津市大島1979,34.8144732,138.3010671,電動ポンプ,大富第20自主防災会
7,焼津市藤守2824-1,34.8080759,138.2968707,電動ポンプ,藤守第1自主防災会
8,焼津市相川1223-1,34.8032246,138.2678842,電動ポンプ,相川第4自主防災会
9,焼津市三ケ名1194-4,34.8634111,138.3051228,自噴井戸,豊田第8自主防災会
10,焼津市飯淵2026,34.7786594,138.2913234,電動ポンプ,飯淵第2自主防災会
11,焼津市藤守2297-6,34.8082889,138.3192614,電動ポンプ,藤守第4自主防災会
12,焼津市中里1077,34.8841266,138.3119514,手動ポンプ,東益津第16自主防災会
13,調整中,,,,
14,焼津市高新田14-3,34.8060209,138.3023539,電動ポンプ,高新田第１自主防災会
15,焼津市一色160,34.8225722,138.3117083,電動ポンプ,和田第21自主防災会
16,焼津市三和1384-1,34.8307314,138.3026611,電動ポンプ,大富第20自主防災会
17,焼津市小川新町4-8-3,34.8535519,138.3220797,電動ポンプ,小川第13自主防災会
18,焼津市小川新町4-7-10,34.8543561,138.3216761,電動ポンプ,小川第13自主防災会
19,焼津市下江留1001-1,34.8047969,138.2703053,電動ポンプ,下江留第2自主防災会
20,焼津市惣右衛門1355,34.8158764,138.3232703,自噴井戸,和田第21自主防災会
21,焼津市藤守2799-1,34.8041944,138.2978453,電動ポンプ,藤守第1自主防災会
22,焼津市中島1270,34.7990350,138.2732897,電動ポンプ,中島第1自主防災会
23,焼津市飯淵2035,34.7727479,138.2962092,電動ポンプ,飯淵第2自主防災会
24,焼津市飯淵2035,34.7735009,138.2961482,電動ポンプ,飯淵第2自主防災会
25,焼津市西島254-8,34.7963708,138.2693964,電動ポンプ,西島自主防災会
