original_name,display_name,label_flag
SAUID,,
SAUPDATE,,
SAANGLE,,
SASIZE,,
SASYMBOLNO,,
SAFIELD000,ID,
SAFIELD001,種別,
SAFIELD002,名称,
SAFIELD003,方面,
SAFIELD004,予約締め切り時間_1便,
SAFIELD005,予約締め切り時間_2便,
SAFIELD006,予約締め切り時間_3便,
SAFIELD007,予約締め切り時間_4便,
SAFIELD008,予約締め切り時間_5便,
SAFIELD009,予約締め切り時間_6便,
SAFIELD010,予約締め切り時間_7便,
SAFIELD011,予約締め切り時間_8便,
SAFIELD012,予約締め切り時間_9便,
SAFIELD013,1便,
SAFIELD014,2便,
SAFIELD015,3便,
SAFIELD016,4便,
SAFIELD017,5便,
SAFIELD018,6便,
SAFIELD019,7便,
SAFIELD020,8便,
SAFIELD021,9便,
SAFIELD022,運行会社,
SAFIELD023,電話番号（予約）,
SAFIELD024,そのほか,
