ソート番号,クーポン名,クーポン名カナ,業種,クーポンの割引金額,クーポン名表示用,ブロックNO,郵便番号,店舗住所,電話番号,店舗説明,店舗URL,インスタグラムのアカウント,店舗画像,経度,緯度
1, MASUYA,マスヤ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町2丁目11番5号,054-629-2000,10:00~19:00  毎週水曜及び第２第３火曜日定休,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/1.jpg,138.32222,34.866937
2,えるふぁんｂｙますや,エルファンバイマスヤ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町3丁目3-37,054-629-3937,10:00~19:00,,,,138.3201543,34.8701502
4,株式会社はの字食品,ハノジショクヒン,小売業,500,"1,000円以上会計で500円引き",1,425-0087,静岡県焼津市保福島353番地の1,054-628-2545,営業時間10：00-16：00　休業日：水曜・日曜・祝日その他会社規定の休業日,https://www.hanoji.net/,https://www.instagram.com/hanoji_gram/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/4.jpg,138.283273,34.873094
6,寿司実,スシミ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0064,静岡県焼津市三和1167番地の2,054-624-3030,,https://sushimi.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/6.jpg,138.2977942,34.82795
8,長峰製茶 花カフェ,ナガミネセイチャ　ハナカフェ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0064,静岡県焼津市三和60,054-625-1251,ランチタイム９時３０分から１５時まで　 ドリンクタイムは１７時まで それ以外は１８時まで 　,,https://www.instagram.com/nagamineseicha.miwa/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/8.jpg,138.3021313,34.8228219
9,和ダイニングおはな,ワダイニングオハナ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川5-16-1,054-631-4354,,,https://www.instagram.com/wadining.ohana/,,138.3120256,34.8563943
10,株式会社あまる齋藤商店,アマルサイトウショウテン,小売業,500,"1,000円以上会計で500円引き",1,421-0212,静岡県焼津市利右衛門384-1,054-631-4585,※さば寿しは事前予約が必要です※ 電話：054-631-4585 ,https://amalu.co.jp/,https://www.instagram.com/amaru3883/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/10.jpg,138.2894815,34.7912161
11,花味月,ハナミヅキ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川一丁目11-8,054-639-5531,,,https://www.instagram.com/izakayahanamiduki/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/11.jpg,138.308758,34.861343
12,doma雑貨店,ドマザッカテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川6-11-5,,営業日はSNSにてご確認ください,,https://www.instagram.com/doma.zakka/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/12.jpg,138.3096652,34.8534725
13,リラクゼーションサロン　ラグラックス,リラクゼーションサロン　ラグラックス,その他,1000,"2,000円以上会計で1,000円引き",1,425-0057,静岡県焼津市下小田1-5,090-4238-8087,11:00〜24:00（受付21:00終了） 火曜定休,https://www.relaxation-salon-luxlax.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/13.jpg,138.3202734,34.8367121
15,かつ一,カツイチ,飲食業,1000,"2,000円以上会計で1,000円引き",1,421-0215,静岡県焼津市西島345-314,054-622-7333,ランチタイムでのクーポン使用不可,,https://www.instagram.com/katuichi_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/15.jpg,138.2613784,34.8008921
16,銀鮮,ギンセン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-14-12,054-625-9858,定休日月曜、火曜日　　営業時間10時30分〜16時　営業時間内クーポン利用可,https://kaigen-502.com/,https://www.instagram.com/unagi.ginsen/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/16.jpg,138.3029514,34.8809047
17,M's cafe,エムズカフェ,飲食業,500,"1,000円以上会計で500円引き",1,425-0041,静岡県焼津市石津2丁目9-22,090-7611-9612,,,https://www.instagram.com/mscafem/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/17.jpg,138.3165457,34.8425564
18,グリルSASAYA,グリルササヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津4丁目9-19,054-627-0234,,https://sasayaomuraisu.amebaownd.com/,https://www.instagram.com/yaizu_sasaya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/18.jpg,138.313731,34.863022
20,多幸,タコウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津1143-1,054-623-1819,（昼）11：30〜14：00 （夜）17：00〜22：00 （定休日）火曜日,https://nbzn600.gorp.jp/,,,138.3184872,34.8457895
21,有限会社茶郷山いち,サゴウヤマイチ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0028,静岡県焼津市駅北3丁目15番28号,054-629-6121,,,https://www.instagram.com/35yamaichi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/21.jpg,138.314935,34.874717
22,中源商店,ナカゲンショウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0081,静岡県焼津市大栄町1-5-18,054-628-4520,営業時間　平日８：００〜１６：３０　休み　日祝,https://nakagen-tsukudani.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/22.jpg,138.3127146,34.8724469
23,伊志川,イシカワ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0031,静岡県焼津市小川新町1-2-26,054-629-3867,木曜〜日曜　昼のみ　11:15〜14:00 定休日：月曜・火曜・水曜,http://www.inakachuka-ishikawa.info/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/23.jpg,138.318448,34.858824
24,和洋菓子　ヤマカワ,ワヨウガシ　ヤマカワ,小売業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町3-9-28,054-629-3933,,https://m.facebook.com/people/%E5%92%8C%E6%B4%8B%E8%8F%93%E5%AD%90-%E3%83%A4%E3%83%9E%E3%82%AB%E3%83%AF/100014219027535/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/24.jpg,138.3224179,34.8659594
25,イケダ薬局,イケダヤッキョク,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川2-10-21,054-628-7656,,https://kanpouikeda.com/,https://www.instagram.com/ikedadrugstore/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/25.jpg,138.308589,34.861029
26,カムカム,カムカム,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0071,静岡県焼津市三ｹ名1461-1,054-627-8602,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/26.jpg,138.303515,34.8642682
27,Herbs Garden,ハーブガーデン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川1-8-17,054-629-6080,,https://herbsgarden.business.site,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/27.jpg,138.310797,34.861521
28,やきにく家　幸楽,ヤキニクヤ　コウラク,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0071,静岡県焼津市三ｹ名1345-4,054-627-1925,,https://ja-jp.facebook.com/yakiniku.kouraku/,,,138.302262,34.86316
29,港書店,ミナトショテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町5-9-3,090-7043-9483,営業時間：10：００〜１４：００、１６：３０〜１８：００ 日曜・祝日は定休日です。,,,,138.321526,34.861629
30,御菓子司　角屋,オカシツカサ　カドヤ,小売業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町5-7-8,054-628-3870,,http://web.thn.jp/yaizukadoya/index.html,https://www.instagram.com/kadoyakatsuosable/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/30.jpg,138.3214998,34.8627702
31,とり若丸焼津店,トリワカマルヤイヅテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠2-29-6,054-620-1239,,https://honkinohonpo.com/shop/shizuoka-yaizu/,,,138.3079136,34.8803314
32,寿し春,スシハル,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0021,静岡県焼津市中港1-1-4,054-628-5056,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/32.jpg,138.319915,34.872478
33,ベリーノ,ベリーノ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0055,静岡県焼津市道原12-2,054-639-5225,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/33.jpg,138.3071828,34.8422447
35,山正亭,ヤマショウテイ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町4-2-2,054-629-0730,,https://www.instagram.com/yamashou_tei/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/35.jpg,138.319781,34.870006
36,自家焙煎珈琲 caffemaco,ジカバイセンコーヒーカフェマコ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0014,静岡県焼津市中里556-1,054-625-7488,変則営業中 ,https://caffemaco.com/,https://www.instagram.com/caffemaco/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/36.jpg,138.3153539,34.8803608
37,望月海苔店,モチヅキノリテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-627-7917,,https://www.marumonori.com/,https://www.instagram.com/marumonori/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/37.jpg,138.303584,34.88041
38,有限会社カネキュウ水産,カネキュウスイサン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7さかなセンター内,054-627-7901,,https://www.sakana-center.com/shop/2518/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/38.jpg,138.303567,34.880302
40,ヘアールームシャイン,ヘアールームシャイン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土902-7,054-629-4252,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/40.jpg,138.289512,34.865511
41,ぬかや斎藤商店,ヌカヤサイトウショウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0025,静岡県焼津市城之腰109-1,054-628-4239,,https://www.yaizunukaya.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/41.jpg,138.3238389,34.8614948
42,osoto雑貨,オソトザッカ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0025,静岡県焼津市城之腰48-1,054-625-9115,,https://www.osotozakka.com/,https://www.instagram.com/osotozakka/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/42.jpg,138.3237303,34.8606421
43,株式会社金虎,カネトラ,小売業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町4-12-10,054-626-6668,,https://www.kanetora-shop.jp/,https://www.instagram.com/katsuoinu_pet/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/43.jpg,138.322025,34.863893
44,磯の香,イソノカ,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4-13-7焼津さかなセンター内,0120-956-940,,https://www.sakana-center.com/shop/4114/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/44.jpg,138.3031452,34.8800706
45,飴屋　河合製菓本舗,アメヤ　カワイセイカホンポ,小売業,500,"1,000円以上会計で500円引き",1,425-0012,静岡県焼津市浜当目2-1-1,054-628-2402,,https://www.ameyakawai.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/45.jpg,138.327567,34.877519
46,酒房ふくろう,シュボウフクロウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0077,静岡県焼津市五ｹ堀之内1213-1,054-629-8137,,http://www.syubo-fukurou.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/46.jpg,138.2933044,34.8588295
47,有限会社イリタ清水商店,イリタシミズショウテン,小売業,500,"1,000円以上会計で500円引き",1,425-0028,静岡県焼津市駅北2-9-9,054-628-4873,,https://www.irita-shimizu-shop.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/47.jpg,138.3152853,34.8731635
50,小麦屋,コムギヤ,小売業,500,"1,000円以上会計で500円引き",1,425-0015,静岡県焼津市石脇上59-3,054-628-5160,,,https://www.instagram.com/komugiya_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/50.jpg,138.3208168,34.8860841
51,お茶の丸玉園,オチャノマルタマエン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町4-1-4,054-628-4020,,https://www.marutamaen-shop.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/51.jpg,138.319601,34.870353
52,ベトナム料理  Ｓｕｉｋａ　ｃｈａｎ,ベトナムリョウリスイカチャン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町3-5-11,054-374-9320,昼：11:30〜14:00 夜：17:00〜20:00 定休日：月曜日,https://vietnam-suikachan.com,https://www.instagram.com/yaizu_suikachan/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/52.jpg,138.322113,34.8654805
53,山一園製茶株式会社,ヤマイチエンセイチャ,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0206,静岡県焼津市上新田862番地の1,054-622-1724,営業時間　9：00〜18：00　元日のみ休業,https://www.yamaichien.com/,https://www.instagram.com/yamaichienseicha/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/53.jpg,138.27376,34.815399
54,福与時計店,フクヨトケイテン,小売業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町4丁目2番1号,054-628-2474,営業時間は　10:00〜19:00 定休日　毎週月曜日,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/54.jpg,138.319712,34.870114
55,居酒屋日の出,イザカヤヒノデ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-2-1 日の出ビル1F,090-1754-9792,,,https://www.instagram.com/hinodebar/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/55.jpg,138.318901,34.871582
56,まんまる,マンマル,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川二丁目17-13 マンション小池,054-621-5155,,https://manmaru-yaizu.gorp.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/56.jpg,138.312974,34.8590311
57,ぶるず,ブルズ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-629-6696,,,https://www.instagram.com/bulls_l_steak/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/57.jpg,138.304391,34.8808236
60,自慢のお米　又平商店,ジマンノオコメ　マタヒラショウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0014,静岡県焼津市中里566,054-628-2008,9:00〜18:00 定休日：土、日、祝日,https://matahira-shoten.com,https://www.instagram.com/matahira_shoten/,,138.3144533,34.8816006
61,お好み焼・鉄板焼　もくじぃ,オコノミヤキ　テッパンヤキ　モクジィ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川2丁目6-25,054-620-5053,ランチ〜夜営業共に利用可,,https://www.instagram.com/okonomiyaki_mokujyi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/61.jpg,138.3095829,34.8600351
62,福一焼津流通センター,フクイチヤイヅリュウツウセンター,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠170,054-628-2913,,https://fukuichi-world.jp/ryutu/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/62.jpg,138.2997278,34.8825083
63,ヤマクニ水産さかなセンター店,ヤマクニスイサンサカナセンターテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-626-8400,,https://www.yamakuni.info/,https://www.instagram.com/yamakuni.yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/63.jpg,138.3034667,34.8799809
64,焼津ひもの食堂,ヤイヅヒモノショクドウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠 1-3-17,054-626-8400,ランチ営業のみです,https://yamakuni-himono.com/,https://www.instagram.com/himono.syokudou/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/64.jpg,138.3068898,34.8819752
65,手火山造り鰹節やまじゅう,テビヤマヅクリカツオブシヤマジュウ,小売業,500,"1,000円以上会計で500円引き",1,425-0031,静岡県焼津市小川新町5丁目4番9号,054-628-3677,平日９：３０〜１７：００　土曜日９：００〜１１：３０　日祝休み,https://www.yama10.jp/,https://www.instagram.com/tebiyama/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/65.jpg,138.318629,34.8523
66,まぐろ茶屋,マグロチャヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0032,静岡県焼津市鰯ｹ島136番地の26,054-270-5811,,https://magurocyaya.jp/,https://www.instagram.com/magurocyaya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/66.jpg,138.3265238,34.8568728
67,和ぁ坊,ワァボウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川1-4-6,054-631-7820,,https://wa-bou-yaizu.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/67.jpg,138.3102824,34.8605259
69,フランス料理　ボン・コラージュ,フランスリョウリ　ボンコラージュ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0075,静岡県焼津市西焼津27-5 トリオンビル2F,054-621-0353,,https://boncourage1996.owst.Jp,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/69.jpg,138.285561,34.858691
70,まんさく,マンサク,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町2-6-21,054-626-8151,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/70.jpg,138.320812,34.871381
