original_name,display_name,label_flag
item2,路線名
item3,バス停留所
item4,A_方面
item5,A_平日便1
item6,A_平日便2
item7,A_平日便3
item8,A_平日便4
item9,A_平日便5
item10,A_平日便6
item11,A_平日便7
item12,A_平日便8
item13,A_平日便9
item14,A_平日便10
item15,A_土曜・日曜・祝日便1
item16,A_土曜・日曜・祝日便2
item17,A_土曜・日曜・祝日便3
item18,A_土曜・日曜・祝日便4
item19,A_土曜・日曜・祝日便5
item20,A_土曜・日曜・祝日便6
item21,A_土曜・日曜・祝日便7
item22,A_土曜・日曜・祝日便8
item23,A_車椅子乗降
item24,B_方面
item25,B_平日便1
item26,B_平日便2
item27,B_平日便3
item28,B_平日便4
item29,B_平日便5
item30,B_平日便6
item31,B_平日便7
item32,B_平日便8
item33,B_平日便9
item34,B_平日便10
item35,B_土曜・日曜・祝日便1
item36,B_土曜・日曜・祝日便2
item37,B_土曜・日曜・祝日便3
item38,B_土曜・日曜・祝日便4
item39,B_土曜・日曜・祝日便5
item40,B_土曜・日曜・祝日便6
item41,B_土曜・日曜・祝日便7
item42,B_土曜・日曜・祝日便8
item43,B_車椅子乗降
item44,更新日時
