ID,NO,店名,郵便番号,住所,業態,営業時間,定休日,ホームページ,収容人数,駐車台数,バリアフリー有無,身障者用駐車場,車いす入店,車いすトイレ,多目的トイレ,お店の紹介,画像,緯度,経度
17,1,エキチカ温泉・くろしお,425-0027,焼津市栄町1-13-1,飲食店,午前11時～午後2時30分，午後5時～午後10時,無休,https://spa-kuroshio.com/,80人,普通車120台,×,×,×,×,×,焼津特産のミナミマグロの丼やお寿司、その他、麺類やお酒のおつまみ、デザートも多数取り揃えてあります。,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/1_エキチカ温泉・くろしお.jpg,138.3172015,34.87031488
18,2,福一焼津流通センター,425-0091,焼津市八楠170,テイクアウト店,7:00～17：00,年中無休（臨時休業あり）,,50人,普通車：40台,○,○,○,○,○,自慢の南鮪をはじめ、焼津港や御前崎で水揚げされた旬の地魚を鮮度と品質にこだわって取り揃えた専門店,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/2_福一流通センター.jpg,138.299684,34.88234256
19,3,グリルSASAYA,425-0026,焼津市焼津4-9-19,飲食&テイクアウト,"11：00～14：00（LO）, 17：00～20：30（LO）",水曜日,https://sasayaomuraisu.amebaownd.com/,40人,普通車：10台,×,×,×,×,×,"梅かつおオムライスが人気のお店です。年間2,000色以上の販売実績を誇る、全国的にも珍しい商品です！",https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/3_グリルSASAYA.jpg,138.3137317,34.86300475
20,4,まいにちのごはんとおやつcaf?　けのひ堂　焼津店,425-0036,焼津市西小川1-11-9,飲食&テイクアウト,8：00～21：30（LO.21:00）,お正月のみ休み,,54席,普通車：20台,○,×,○,×,×,普段使いのカフェです。ごはんから手作りケーキ、ハンドドリップコーヒーまで。ぷらっとお立ち寄りください！,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/4_けのひ堂 勝つ魚カツカレー.jpg,138.3084759,34.86151615
21,5,Jessi Cafe（ジェシカフェ）,421-0203,焼津市藤守541,飲食店,11：00～15：00（ランチ）、15：00～17：00（アフタヌーンティー）,日曜日、月曜日、火曜日、水曜日,https://www.instagram.com/jessicafe.food,20人,普通車：10台,×,×,×,×,×,お米と野菜を使ったワンプレート料理のカフェ。オーナーは陽気な性格で人柄でも楽しませてくれます。,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/5_Jessi Cafe.jpg,138.3036102,34.80943537
22,6,焼津たち吉,425-0026,焼津市焼津4丁目6-21,飲食店,"11：30～14：00, 17：00～22：00",月曜日,,70人,普通車：12台、大型車：２台,○,×,○,×,×,四季の海の幸を繊細な技で至高の味わいを導き出します。ミナミマグロは年間を通して提供します。,,138.3141493,34.86180784
23,7,食事処かどや,425-0021,焼津市中港3-4-31,飲食店,"11：00～13：30（LO）, 17：00～19：30（LO）",月曜日、火曜日,,40人,普通車13台,○,×,○,×,×,昔ながらの食事処です。1名様でも気軽にお立ち寄りください。,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/7_食事処かどや.jpg,138.3257953,34.87391481
24,8,株式会社山口観光　大漁やまちゃん,425-0021,焼津市中港2-7-2,飲食店,"11：00～14：00（LO.13：30）, 17：00～21：00（LO.20：30）",月曜日（月曜日が祝日の場合は翌火曜日が休み）,,１階37人、２階40人,普通者：８台、軽自動車：３台,×,×,×,×,×,旧焼津港すぐそばで50年の営業。鮮度抜群の回線を豪快に提供。名物料理各種ご用意します。,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/8_大漁やまちゃん.jpg,138.3238848,34.87026751
25,9,磯料理　黒潮,425-0027,焼津市栄町6-7-8,飲食店,"11：30～15：00（LO.14：00）,　17：00～22：00（LO.21：00）",月曜日（月曜日が祝日の場合は翌火曜日が休み）,,,普通車15～20台、大型バス２台、中型バス１台,×,×,×,×,×,1970年創業。焼津港直送の鮪・鰹を使った新鮮な刺身や料理、名物頭焼きも人気！地酒の磯自慢とご一緒に。,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/9_磯料理黒潮.jpg,138.3167825,34.86917865
26,10,海賊料理　舟小屋,425-0051,"	焼津市田尻北1628-2",飲食店,11：00～16：00（LO.14：30），17：00～22：00（LO21:00）,月曜日（月曜日が祝日の場合は翌火曜日が休み）,http://www.funagoya.net,大広間70人、個室合わせて180人,普通車40台程度、大型車：３台程度,○,×,○,○,×,７つの水槽に魚介類が沢山！鯵を自分で釣る事もできます。お子様からご年配の方まで個室でのんびりどうぞ。,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/10_海賊料理舟小屋.jpg,138.3350595,34.836312
27,11,勇喜寿司,425-0036,"	焼津市西小川2丁目5-16",飲食店,"11：00～13：30, 17：00～21：30",月曜日、第３日曜日,https://www.yuki-zushi.com/,30人,普通車：９台,○,×,○,×,×,当店は駿河湾の近海物を中心に豊富なネタを取り揃えた江戸前寿司店です。特に南鮪と鰹には自信を持っております。,,138.3099309,34.86031584
28,12,1CHIGO（イチゴー）,425-0027,焼津市栄町6丁目3-19,飲食店,17：00～24：00,水曜日,,65人,普通車：６台,×,×,×,×,×,全国から選び抜いた日本酒と、海の幸、肉料理など創作料理を開放的な空間でお楽しみください。,,138.3174408,34.86958423
29,13,株式会社サスエ前田商店,425-0036,焼津市西小川4-15-7,テイクアウト店,火曜日～金曜日12：00～17：30、土曜日11：00～17：30,日曜日、月曜日,https://sasue-maeda.com/,30人,普通車30台,○,×,○,×,×,種類豊富な刺身や旬の切り身、自家製の干物やどんぶりなど地元の海の幸を取り揃えた老舗魚店です。,https://yaizu-smartcity.jp/images/opendata/海の幸グルメマップ/カツオ/13_株式会社サスエ前田魚店.jpg,138.3057876,34.85369252
30,14,回転寿司　のぶちゃん,425-0091,焼津市八楠4-13-7　焼津さかなセンター内,飲食&テイクアウト,9：00～17：00,火曜日、水曜日隔週休み,,18人,普通車：600台、大型車：25台,○,×,×,×,○,マグロの食べ比べや、生しらす、桜えびもあります。さかなセンターに来た際には、ぜひお立ち寄りください！,,138.3043009,34.88067556
31,15,磯料理　みなと家㈲,421-0213,焼津市飯淵2153,飲食店,"11：30～14：00（LO.13:45）, 17：00～21：00（LO.20：30）",水曜日、年末年始、その他臨時休業あり,https://www.minatoya-ryouri.com/,80人,普通車：20台、大型車：１台,○,○,○,×,×,駿河湾の新鮮な海の幸は楽しめるお店。鮪・しらす・桜えび等、焼津・大井川港で本格的な「海鮮料理」をどうぞ。,,138.2964895,34.7795
