ID,業種,店舗名,住所,建物名,経度,緯度
1,その他,株式会社アイディートゥー,石津１丁目３－３,,138.3119311,34.84306632
2,その他,有限会社葵サンプル,祢宜島362番地の3,,138.3053842,34.83935252
3,その他,青木美容室,本町3-4-31,,138.3210086,34.86558926
4,その他,asian relaxation villa 焼津小川店,小川新町3-1-27,,138.3178234,34.85568974
5,その他,asitubo cafe hana,八楠4-22-15,,138.3011573,34.8800945
6,その他,アップル車検クラシマ,八楠4-9-10,,138.3045462,34.8791967
7,その他,アピナ焼津店,道原585,,138.3059645,34.83354006
8,その他,アロエ食品株式会社,下江留2208,,138.2669906,34.81184392
9,その他,あんしんりふぉーむ焼津店,西小川2-10-1,,138.3093462,34.86061585
10,その他,アンビアオートサーヴィス,中港１丁目3-4,,138.3225131,34.87165507
11,その他,アンビ・アタクシー焼津営業所,栄町2-9-2,,138.3217798,34.87136174
12,その他,池田畳店,吉永1043-1,,138.2969636,34.79754618
13,その他,癒しのまほう,相川939番地,,138.2630629,34.80373032
14,その他,うめやランドリー,中新田473-3,,138.2943145,34.84066672
15,その他,HtoM,中新田996-1,,138.28557,34.83992645
16,その他,エキチカ温泉・くろしお,栄町1-13-1,,138.3171989,34.870312
17,その他,SST第２工場,小川新町3丁目8－2,,138.3226945,34.85586453
18,その他,エステルーム Ruby,小土644-7,,138.2975654,34.86589091
19,その他,エムエータクシー,中港三丁目6番8号,,138.3267372,34.87406535
20,その他,おいかわ接骨院,西小川2-11-17,,138.3076187,34.86158701
21,その他,株式会社オオツカ自動車,下江留９５８,,138.2723764,34.80039785
22,その他,おおとも接骨院,西小川2-7-8,コーポラスやまだ1階東号室,138.3086354,34.85986117
23,その他,おおとも接骨院小土院,小土556-1,,138.3015948,34.86855452
24,その他,お掃除人寿志,大島1216ー1,,138.2943833,34.82111112
25,その他,おそうじ本舗　焼津小川店,一色685-3,,138.3110723,34.82865757
26,その他,おそうじ本舗西焼津駅前店,三和195-1,,138.3019823,34.82346563
27,その他,おそうじ本舗焼津駅北店,三和1512,,138.3045801,34.83185448
28,その他,カットサロンリフレッシュ,大覚寺2丁目19-16,,138.2956026,34.87530866
29,その他,カネジュウ食品株式会社,吉永７－１,,138.2793406,34.7973417
30,その他,髪イマジン,小屋敷243-3,,138.289052,34.86210117
31,その他,kamika,三ケ名360-9,,138.2974321,34.85486616
32,その他,カラダメンテラボKINE,東祢宜島10-8,,138.3093984,34.83788727
33,その他,キキとコキリ,相川939番地,,138.2630629,34.80373032
34,その他,筋膜整体Monteciero,大覚寺3-14-25,,138.3018295,34.8747375
35,その他,grant,小土283-1,,138.2925531,34.8683878
36,その他,クリーニングあすなろ,駅北3-6-15,,138.3156506,34.87615529
37,その他,クリーニングのシーエスユー,塩津32-10,,138.3040131,34.86901892
38,その他,健美堂接骨院,西小川1-11-3,Ｆレイヤー１F,138.3095548,34.86095477
39,その他,有限会社　小泉タクシー,上新田88,,138.259125,34.82112008
40,その他,港湾オートタイヤサービス,中島817-1,,138.2796022,34.79359697
41,その他,小森からだ総研,三右衛門新田681,,138.2917153,34.84595227
42,その他,坂本接骨院・鍼灸院,栄町3丁目5番30号,,138.3208106,34.86909919
43,その他,笑福の湯,柳新屋241-1,,138.2850492,34.8551259
44,その他,鍼灸かのあ,南小川2丁目27-8,BurgK01,138.3129131,34.84761563
45,その他,新村指圧治療院,道原1270-1,,138.3041178,34.84316751
46,その他,SUMARU SAUNA,中港3丁目1-16,,138.3245689,34.87320529
47,その他,整体サロン Dear…,大住699-6,,138.29013,34.84719144
48,その他,セーラto cullet,吉永1916-18,,138.3055006,34.79056564
49,その他,ゼントラヨガスタジオ,本町2-16-45,,138.3227989,34.86757588
50,その他,Desir,駅北4丁目1-18,Alivio 101号室,138.3176864,34.87418752
51,その他,東洋舎クリーニング,中根新田325,,138.2959903,34.83547611
52,その他,とこやさん,三和1166-2,,138.2979661,34.82767092
53,その他,Tomo Cleaning,大住85-3,,138.2890112,34.85048446
