ID,業種,店舗名,住所,建物名,経度,緯度
1,小売り,愛清館八楠薬局,八楠4丁目32-7,,138.3017597,34.87859369
2,小売り,アイメガネ焼津石津店,石津3丁目19-16,,138.3154826,34.84329806
3,小売り,青島米穀店,吉永1813-1,,138.3019245,34.78924647
4,小売り,青野酒店,本町4-2-3,,138.3197708,34.86413278
5,小売り,株式会社あかのれん焼津南店,三右衛門新田681番地,,138.2917153,34.84595227
6,小売り,アグリドローンワークスプラス,東祢宜島17-8,,138.3074967,34.83808477
7,小売り,足平蒲鉾,本町6-7-9,,138.3210006,34.8609553
8,小売り,株式会社油屋呉服店,栄町3-1-16,,138.3198253,34.87065092
9,小売り,株式会社あまる齋藤商店,利右衛門384-1,,138.2893169,34.79117949
10,小売り,飴屋河合製菓本舗,浜当目2-1-1,,138.3275656,34.87751807
11,小売り,イオン焼津店,東祢宜島12-4,,138.3097681,34.83929671
12,小売り,池田酒店,栄町６丁目９-２９,,138.3156128,34.87016726
13,小売り,イケダ薬局,西小川2-10-21,,138.3085687,34.86102282
14,小売り,イシグロ焼津店,大覚寺3-16-8,,138.3021198,34.87621723
15,小売り,石津マート,石津港町31-3,,138.3264678,34.8425603
16,小売り,石原水産マリンステーション,八楠2-5-2,,138.3115903,34.87864502
17,小売り,椅子のマスダ,高新田2399-168,,138.3148992,34.80175919
18,小売り,磯の香,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
19,小売り,株式会社一イ大畑食品大住店,大住106-2,,138.2896511,34.85111391
20,小売り,株式会社一イ大畑食品下小田店,下小田上町26-3,,138.3119645,34.8376166
21,小売り,いちまる商店,中港2丁目5番13号　,,138.3238231,34.87184034
22,小売り,いちまるマルシェ,浜当目1-3-23,,138.3264348,34.87843868
23,小売り,お米マイスターの店(株)伊藤米店,小川新町3-5-19,,138.3210075,34.85508948
24,小売り,株式会社井鍋ふとん店,駅北2丁目9番6号,,138.3155536,34.87290419
25,小売り,有限会社イリタ清水商店 (駅北店),駅北2-9-9,,138.3153886,34.8731212
26,小売り,有限会社イリタ清水商店 ,八楠4-13-7,焼津さかなセンター内7番,138.3043009,34.88067556
27,小売り,岩清,本町5丁目14-9,,138.322714,34.86174139
28,小売り,岩本燃料,焼津5丁目10-2,,138.3185525,34.86338868
29,小売り,インテリアハラトモ,本町5-6-10,,138.3211809,34.86313033
30,小売り,VIVIサカエヤ,大住1053,,138.2910084,34.84578392
31,小売り,Bijoudoux,宗高1427-3,,138.2768981,34.81211004
32,小売り,ウエルシアグランリバー焼津大井川店,下江留1444-1,,138.2748942,34.81146529
33,小売り,ウエルシア焼津駅店,栄町1-1-1,,138.3187453,34.87208034
34,小売り,ウエルシア焼津小柳津店,小柳津218-1,,138.2829739,34.85350033
35,小売り,ウエルシア焼津三ケ名東店,三ケ名1100-6,,138.3075398,34.86292975
36,小売り,ウエルシア焼津塩津店,塩津61-1,,138.3053421,34.86850729
37,小売り,ウエルシア焼津下小田店,下小田上町25-4,,138.3125101,34.83785812
38,小売り,ウエルシア焼津田尻北店,田尻北261,,138.3256242,34.83285007
39,小売り,ウエルシア薬局焼津ねぎ島店,東祢宜島16-4,,138.3081631,34.83851863
40,小売り,ウエルシア焼津東小川店,東小川2-2-6,,138.3174037,34.85691226
41,小売り,ウエルシア焼津南店,与惣次1-26-5,,138.3083583,34.84467174
42,小売り,ウエルシア焼津八楠店,八楠2-29-6,,138.3078957,34.88034504
43,小売り,ウエルシア薬局焼津新焼津店,焼津4-6-20,,138.3139461,34.86186198
44,小売り,ウエルシア薬局焼津与惣次店,与惣次1-10-11,,138.309952,34.84557285
45,小売り,魚池のお魚屋ベンちゃん,吉永８２３-1,,138.2916931,34.79993806
46,小売り,魚河岸シャツ濱いち屋,中里542-1,,138.3193009,34.88191084
47,小売り,魚金,相川1547-1,,138.2632539,34.80341391
48,小売り,魚二水産株式会社,八楠4-13-7,,138.3043009,34.88067556
49,小売り,ＵＺ．ＵＺＣＯＭＰＡＮＹ,本町5丁目1-27,,138.3195539,34.863087
50,小売り,うなぎ丸天,八楠4丁目13-7,焼津さかなセンター内,138.3043009,34.88067556
51,小売り,エス・フレーム工房,駅北4丁目1番21号,,138.317502,34.87405283
52,小売り,エディオン焼津店,東祢宜島5-2,,138.3123017,34.83957227
53,小売り,ENEOSポートアイランド焼津SS（村松石油）,石津2204,,138.3246898,34.84515839
54,小売り,ENEOS焼津インターSS,八楠3-3-3,,138.3109981,34.87828252
55,小売り,エブリィビッグデー焼津店,石津158,,138.3095617,34.84211737
56,小売り,えるふぁんbyますや,栄町3-3-37,,138.3201273,34.87012507
57,小売り,えんどう輪店,本町1-6-26,,138.3229629,34.86976422
58,小売り,大井川農業協同組合まんさいかん静浜,宗高1-2,,138.2814557,34.81412505
59,小売り,ＯＡナガシマ志太店,小土471-1,,138.299012,34.86970175
60,小売り,大坪水産本社工場,利右衛門391-1,,138.286822,34.79231474
61,小売り,オートバックス焼津店,大覚寺1丁目1番地の3,,138.3034003,34.87756812
62,小売り,大富給油所,中新田3-1,,138.2957076,34.83944754
63,小売り,大富生活センター,中根新田150,,138.2961904,34.83725339
64,小売り,御菓子司角屋,本町5-7-8,,138.3212779,34.86262645
65,小売り,御菓子處油屋,東小川6丁目9-6,,138.3110089,34.85270784
66,小売り,岡田商店,大村新田163-1,,138.3037609,34.87029863
67,小売り,岡部屋,本町4-10-16,,138.3216495,34.86351397
68,小売り,岡村家具店,本町５－１－８,,138.319942,34.8630992
69,小売り,osoto雑貨,城之腰48-1,,138.3236687,34.86064449
70,小売り,お茶の丸玉園,栄町4-1-4,,138.3195919,34.87032892
71,小売り,OliveDrab,石津3-5-7,,138.3170112,34.84667619
72,小売り,オリジナルジュエル宝石箱,本町4-2-11,,138.3197447,34.86361393
73,小売り,カーテンじゅうたん王国焼津インター店,八楠3丁目15-4,,138.3072756,34.88007947
74,小売り,学生服リユースshopさくらや焼津店,栄町3丁目3-35,,138.3202117,34.8699778
75,小売り,かしはる大井川店,上新田477-6,,138.2770065,34.81795781
76,小売り,かしはる田尻本店,田尻231-2,,138.3179911,34.83140867
77,小売り,かしはる西焼津総本店,小柳津515-3,,138.2884648,34.85387836
78,小売り,かしはる焼津店,焼津4-11-4,,138.313487,34.86176112
79,小売り,菓子屋ミラベル,石津4丁目15-15,,138.3177806,34.8403759
80,小売り,堅魚屋,三和1384-1,,138.3026611,34.83073145
81,小売り,カタセ電器,下小田中町1-7,,138.3185042,34.83928473
82,小売り,かつおと燻製の専門店川直,城之腰15,,138.3232811,34.86027116
