ID,業種,店舗名,住所,建物名,経度,緯度
1,飲食店,青宇宙,与惣次1-13-16,,138.3082484,34.84612784
2,飲食店,あたびーcafe,浜当目4-13-18,,138.3343133,34.88072116
3,飲食店,あとりえMOMO,吉永1937-1,,138.3041667,34.79156119
4,飲食店,新屋食堂アヤナイ,本町1-4-13,,138.3230864,34.86897091
5,飲食店,アンティーク&カフェバー　古町,道原1182-2,,138.303719,34.84516809
6,飲食店,いざかやすなっくさんぽみち,栄町2-2-14,,138.319697,34.87153897
7,飲食店,居酒屋千,柳新屋535-3,,138.2867581,34.85633618
8,飲食店,居酒屋日の出,栄町1-2-1,日の出ビル1F,138.3188839,34.8715612
9,飲食店,居酒屋ぽぱい,小川3346,,138.3253728,34.84706784
10,飲食店,居酒屋ゆず,小屋敷244-2,,138.2894395,34.86222228
11,飲食店,石窯パン工房パトン　焼津店,南小川2丁目27-1,,138.3129537,34.84828812
12,飲食店,伊志川,小川新町1-2-26,,138.3184586,34.85878389
13,飲食店,石原商店,栄町5-5-11,,138.3189451,34.86712667
14,飲食店,ISO,駅北2丁目14-11,ロイヤルハイツ,138.3154984,34.87175642
15,飲食店,磯料理みなと家,飯淵2153,,138.2964895,34.7795
16,飲食店,伊駄天本店,東小川4-10-1,,138.3169459,34.85364807
17,飲食店,1 CHIGO,栄町6丁目3-19,,138.3174408,34.86958423
18,飲食店,一寸ぼうし,東小川6丁目5-18,,138.3093664,34.85447752
19,飲食店,イヅミヤ,栄町1-2-12,,138.3186544,34.87146953
20,飲食店,いろは亭,栄町6丁目16-23,,138.3155639,34.86868892
21,飲食店,＊indigo＊,三ケ名1550番地,文化センター２Ｆ,138.3056578,34.86452979
22,飲食店,インド料理ガンガジ,柳新屋８９１－１,,138.288684,34.85883028
23,飲食店,インド料理ガンジー,中里314-2,,138.317959,34.88104476
24,飲食店,魚民　焼津南口駅前店,栄町2-2-21,アンビ･ア パークビル 1階,138.3194037,34.87169728
25,飲食店,うさぎとこむぎ,相川1057-1,,138.2640312,34.80708029
26,飲食店,牛阿呆,西小川2-10-19,,138.3083217,34.86114143
27,飲食店,エイトコーヒー,栄町1-2-10,,138.3187645,34.87131807
28,飲食店,江戸そば八助,柳新屋601-3,,138.2884153,34.8552087
30,飲食店,EBOSHI,栄町1-7-2,,138.3175717,34.87159169
31,飲食店,M's cafe,石津2丁目9-22,,138.3165272,34.84251669
32,飲食店,大鈴屋豆腐店　焼津店,東小川8-12-8,A号棟,138.3085262,34.84934869
33,飲食店,大盛屋,栄町6-3-6,,138.3173767,34.86915367
34,飲食店,桶どん　うおくん,八楠4-13-7,,138.3043009,34.88067556
35,飲食店,お好み焼・鉄板焼　もくじぃ,西小川2丁目6-25,,138.3095548,34.85998035
36,飲食店,母ちゃんの台所ふく,栄町2-7-24,,138.320589,34.87107286
37,飲食店,会席料理　味彩,田尻北1227-2,,138.3299409,34.84018869
38,飲食店,海賊料理　舟小屋,田尻北1628-2,,138.3350595,34.836312
39,飲食店,回転寿司のぶちゃん,八楠4丁目13-7,焼津さかなセンター内,138.3043009,34.88067556
40,飲食店,菓子職人リリピット,焼津2-1-7,,138.31643,34.86481923
41,飲食店,かぜんぐ,焼津1-6-3,,138.3153632,34.86640279
42,飲食店,cafe Baumkronen,惣右衛門732-2,,138.3140323,34.81771839
43,飲食店,Cafe&Restaurant  Fun Fun,南小川2丁目20-17,,138.3163286,34.84863646
44,飲食店,カフェセレサ,三ケ名1194-4,,138.3051228,34.86341117
45,飲食店,Caffe maar,一色115,,138.3107348,34.82212362
46,飲食店,カムカム,三ケ名1461-1,,138.3035111,34.86423335
47,飲食店,からあげ専門店　鶏笑焼津駅前店,栄町1-12-8,,138.3164253,34.87014451
48,飲食店,カルマカフェ　Karma Cafe,本町2-16-45,,138.3227989,34.86757588
49,飲食店,韓の食卓イェッコル,西小川2-1-6,,138.3116372,34.85911924
50,飲食店,きさらぎ,八楠2-25-13,,138.3073464,34.88172174
52,飲食店,キャノン,本町5丁目8-18,,138.3212287,34.86171812
53,飲食店,餃子番長,東小川2-11-15,,138.3133281,34.85845339
54,飲食店,金寿し地魚定,中港2-4-18,,138.3238678,34.87211311
55,飲食店,銀鮮,八楠4-14-12,,138.30293,34.88093397
