№,要配慮者利用施設名称,所管課,郵便番号,所在地,電話番号,区分,避難確保計画対象,地域防災計画分類,緯度,経度,津波浸水レベル,高潮浸水レベル
278,就労継続支援B型事業所 〇△□（まるさんかくしかく）,障害福祉課,425-0028,焼津市駅北１丁目2-3　ライオンズマンション焼津102,054-631-4460,就労継続支援B型,○,①障害福祉サービス等提供施設,34.873243,138.3177243,2,4
277,しおかぜ,こども相談課,425-0052,焼津市田尻1688番地,054-625-8760,地域小規模児童養護施設,○,④児童福祉施設,34.82745687,138.3174113,区域外,3
276,就労継続支援B型事業所　いっぽ西焼津,障害福祉課,425-0075,焼津市西焼津17-2　2階,054-631-7572,就労継続支援B型,○,①障害福祉サービス等提供施設,34.85913981,138.2839383,区域外,区域外
275,Luana　Base2,障害福祉課,425-0057,焼津市石津2-23-2,054-659-4659,就労継続支援B型,,①障害福祉サービス等提供施設,34.83956814,138.3171289,区域外,3
274,Luana,障害福祉課,421-0213,焼津市飯淵754番地の1,054-662-1238,就労継続支援A型,○,①障害福祉サービス等提供施設,34.78873806,138.2870063,2,区域外
273,インフィニティJOB Style 焼津,障害福祉課,425-0035,焼津市東小川4-14-1,054-631-6117,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.85226237,138.3171471,2,3
272,大井川中学校,学校教育課,421-0218,焼津市下江留191,054-622-0038,中学校,対象外,⑥学校,34.80115289,138.2813704,区域外,
271,港中学校,学校教育課,425-0051,焼津市田尻北584,054-624-6010,中学校,○,⑥学校,34.83843587,138.3301742,2,4
270,和田中学校,学校教育課,425-0052,焼津市田尻1984,054-624-4339,中学校,対象外,⑥学校,34.82647841,138.3209513,区域外,
269,大富中学校,学校教育課,425-0061,焼津市中根1-1,054-624-4329,中学校,対象外,⑥学校,34.83930474,138.2981421,区域外,
268,東益津中学校,学校教育課,425-0014,焼津市中里416,054-628-4428,中学校,対象外,⑥学校,34.88520616,138.3188072,区域外,
267,小川中学校,学校教育課,425-0035,焼津市東小川4-21-1,054-628-3777,中学校,対象外,⑥学校,34.85304308,138.3136526,区域外,
266,豊田中学校,学校教育課,425-0086,焼津市小土301-2,054-627-1166,中学校,対象外,⑥学校,34.86808295,138.2929953,区域外,
265,大村中学校,学校教育課,425-0082,焼津市大村3-25-1,054-628-3851,中学校,対象外,⑥学校,34.87184652,138.3043463,区域外,
264,焼津中学校,学校教育課,425-0026,焼津市焼津2-10-28,054-628-7255,中学校,対象外,⑥学校,34.86490072,138.3121935,区域外,
263,大井川南小学校,学校教育課,421-0211,焼津市吉永490,054-622-0104,小学校,対象外,⑥学校,34.79458876,138.2945687,区域外,
262,大井川西小学校,学校教育課,421-0217,焼津市上泉1688-1,054-622-0049,小学校,対象外,⑥学校,34.81455675,138.2647588,区域外,
