NO,市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,UTMポイント,開設される災害の種類（地震・津波）,開設される災害の種類（風水害）,開設される災害の種類（土砂災害）,開設される災害の種類（南海トラフ地震臨時情報）,電話番号,避難所面積平方メートル,備考
1,222127,静岡県,焼津市,二区コミュニティ防災センター,ニクコミニュティボウサイセンター,静岡県焼津市本町5-9-1,,34.86145068,138.3214856,54STD55136095,○,○,,,(054)628-3359,475,
2,222127,静岡県,焼津市,三区コミュニティ防災センター,サンクコミュニティボウサイセンター,静岡県焼津市本町2-13-18,,34.86593663,138.323251,54STD55316144,○,○,,,(054)628-5236,531,
3,222127,静岡県,焼津市,四区コミュニティ防災センター,ヨンクコミュニティボウサイセンター,静岡県焼津市焼津6-10-17,,34.86552102,138.3169446,54STD54736141,○,○,,,(054)628-2445,497,
4,222127,静岡県,焼津市,第５コミュニティ防災センター,ダイゴクコミュニティボウサイセンター,静岡県焼津市駅北5-1-24,,34.87517772,138.3203555,54STD55076248,○,○,,,(054)627-8401,538,
5,222127,静岡県,焼津市,小川新地コミュニティ防災センター,コガワシンチコミュニティボウサイセンター,静岡県焼津市小川新町1-11-2,,34.85864043,138.321568,54STD55136064,○,○,,,(054)627-0684,534,
6,222127,静岡県,焼津市,浜当目コミュニティ防災センター,ハマトウメコミュニティボウサイセンター,静岡県焼津市浜当目3-1-45,,34.87892677,138.331272,54STD56086286,○,○,○,,(054)627-7283,639,
7,222127,静岡県,焼津市,新屋コミュニティ防災センター,アラヤコミュニティボウサイセンター,静岡県焼津市本町1-3-28,,34.86834552,138.3221875,54STD55226171,○,○,,,(054)626-0487,529,
8,222127,静岡県,焼津市,石津コミュニティ防災センター,イシヅコミュニティボウサイセンター,静岡県焼津市石津1233-1,,34.84282212,138.3161437,54STD54595890,○,○,,,(054)623-5586,744,
9,222127,静岡県,焼津市,坂本コミュニティ防災センター,サカモトコミュニティボウサイセンター,静岡県焼津市坂本971-5,,34.89236667,138.311436,54STD54316440,○,○,○,,(054)626-0023,403,
10,222127,静岡県,焼津市,小川第13コミュニティ防災センター,コガワダイジュウサンコミュニティボウサイセンター,静岡県焼津市小川3118,,34.85127251,138.3200925,54STD54975982,○,○,,,(054)623-7035,539,
11,222127,静岡県,焼津市,利右衛門地区コミュニティ防災センター,リエモンチクコミュニティボウサイセンター,静岡県焼津市利右衛門2559-2,,34.78694067,138.3002361,54STD52975274,○,○,,,ー,363,
12,222127,静岡県,焼津市,吉永地区コミュニティ防災センター,ヨシナガチクコミュニティボウサイセンター,静岡県焼津市吉永1933-1,,34.79122004,138.3042264,54STD53355320,○,○,,,ー,380,
13,222127,静岡県,焼津市,高新田地区コミュニティ防災センター,タカシンデンチクコミュニティボウサイセンター,静岡県焼津市高新田1853-1,,34.79415977,138.306971,54STD53615352,○,○,,,ー,379,
14,222127,静岡県,焼津市,高新田東地区コミュニティ防災センター,タカシンデンヒガシチクコミュニティボウサイセンター,静岡県焼津市高新田2172-1,,34.7997886,138.3090806,54STD53825414,○,○,,,ー,380,
15,222127,静岡県,焼津市,藤守地区コミュニティ防災センター,フジモリチクコミュニティボウサイセンター,静岡県焼津市藤守2025,,34.80821717,138.3177559,54STD54645505,○,○,,,ー,384,
16,222127,静岡県,焼津市,下小杉地区コミュニティ防災センター,シモコスギチクコミュニティボウサイセンター,静岡県焼津市下小杉537,,34.81266905,138.315559,54STD54455555,○,○,,,ー,381,
