NO,名称,説明,緯度,経度,画像,備考
1,喫煙所,なお歯科クリニック喫煙所,34.8670638,138.3226256,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/40_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
2,ATM,清水銀行焼津支店,34.8671777,138.322309,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/36_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
3,水道,まゆ毛サロンMayuka横水道,34.8638414,138.3219259,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/28_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
4,トイレ,浜の堀緑地トイレ,34.8635475,138.322539,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/25_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
5,水道,浜の堀緑地水道,34.8635843,138.3226739,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/24_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
6,ATM,静岡銀行,34.8714623,138.3190491,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/22_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
7,ATM,静岡銀行焼津支店,34.8631079,138.3220651,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/20_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
8,その他,NTT西日本焼津ビル前公衆電話,34.8631719,138.3233708,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/19_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
9,コインロッカー、荷物預かり,,34.8709936,138.3187135,,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
10,喫煙所,,34.8703775,138.3198666,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/12_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
11,トイレ,城之腰地区津波緊急退避施設前トイレ,34.8623054,138.3260195,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/11_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
