NO,名称,説明,緯度,経度,画像,備考
1,ベンチ,本町地区ポケット地区ベンチ,34.8647457,138.3220394,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/34_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
2,ベンチ,小石川沿い,34.8708214,138.3192614,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/27_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
3,ベンチ,,34.870839,138.3189039,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/26_41_1000006022.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
4,ベンチ,浜の堀緑地ベンチ,34.8635213,138.3225466,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/23_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
5,ベンチ,眼鏡橋ベンチ,34.8707967,138.319469,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/15_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
6,ベンチ,フィッシングショップ3海里近くベンチ,34.862607,138.3250641,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/14_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
7,ベンチ,やきつや前ベンチ,34.8704266,138.3198499,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/13_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
8,ベンチ,みんなの図書館さんかく前ベンチ,34.8698363,138.3201915,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/9_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
9,ベンチ,焼津市場新屋売場近くベンチ,34.8630876,138.325837,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/8_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
10,ベンチ,だがしやくりさんち前,34.8697689,138.3201671,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/7_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
11,ベンチ,KANEDEN前ベンチ,34.8653417,138.3243303,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/4_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
12,ベンチ,市役所前ふれあい通りベンチ,34.866369,138.3228302,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/3_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
13,ベンチ,市役所前ベンチ,34.8667251,138.3230526,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/2_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
